Open,High,Low,Close,Adj Close,Volume
33.5,34.13,32.4,32.53,29.09,202131
32.8,33.0,31.35,32.15,28.76,250116
32.01,32.26,31.43,31.86,28.49,153020
30.11,31.22,29.81,30.8,27.54,296539
30.94,31.17,29.93,30.09,26.91,262966
30.02,30.75,30.01,30.27,27.07,212399
30.39,31.07,30.18,30.83,27.57,190396
31.14,32.41,31.1,32.37,28.95,217879
32.03,33.1,31.62,32.5,29.06,397257
32.69,32.69,30.52,31.23,27.92,295406
31.1,31.49,30.16,30.51,27.28,207734
31.6,32.21,30.9,31.14,27.84,292613
30.17,30.32,29.5,29.58,26.45,332363
29.41,31.16,29.38,30.75,27.5,273959
31.6,32.0,30.84,30.84,27.58,315749
31.24,31.24,29.91,30.47,27.24,161884
30.05,30.48,29.56,30.08,26.9,217640
29.77,29.77,28.78,29.18,26.1,186668
29.28,29.94,29.28,29.54,26.42,317522
29.97,30.65,29.53,30.4,27.19,361154
30.3,31.11,30.3,30.95,27.68,266144
30.72,30.72,29.3,29.42,26.31,242613
29.3,29.59,28.57,28.92,25.87,230740
29.5,29.51,27.69,28.2,25.22,362360
28.35,29.72,28.33,28.56,25.54,276822
28.52,28.52,26.79,26.95,24.1,330255
26.78,26.89,24.63,25.74,23.01,525705
25.96,26.77,25.7,25.83,23.1,294640
25.6,25.85,24.5,25.48,22.79,299471
25.7,25.97,25.27,25.73,23.01,188603
26.5,26.95,26.08,26.26,23.49,234635
26.66,26.77,25.44,25.83,23.1,210125
25.98,27.28,25.94,27.0,24.15,256887
27.24,27.4,26.78,26.91,24.06,237526
27.03,27.03,25.41,26.0,23.25,413087
26.27,27.5,26.0,27.35,24.46,519621
27.4,28.39,26.25,27.58,24.67,710516
27.62,27.78,27.0,27.02,24.16,208402
27.32,27.55,27.01,27.44,24.54,235743
27.75,28.66,27.75,28.34,25.34,293460
28.37,29.75,28.33,29.5,26.38,287023
29.39,30.59,29.22,30.35,27.14,248062
30.62,30.69,29.53,30.27,27.07,391669
30.49,30.86,29.92,30.0,26.82,181594
30.18,30.58,29.97,29.99,26.82,299483
30.01,30.11,29.0,29.2,26.12,499373
29.0,29.08,28.84,28.92,25.87,253464
28.99,29.1,28.68,28.92,25.86,175444
28.99,29.34,28.59,28.68,25.65,252824
29.0,29.36,28.6,29.35,26.25,174312
29.5,29.5,29.02,29.03,25.97,182245
29.0,29.2,28.82,28.93,25.87,135057
29.19,29.93,29.05,29.73,26.59,251444
30.0,30.1,29.25,30.0,26.83,197611
30.65,30.95,30.14,30.76,27.51,384470
30.88,31.53,30.8,31.45,28.13,352204
31.6,31.65,31.02,31.56,28.22,285792
31.8,32.38,31.36,32.24,28.84,222551
31.9,32.35,31.16,31.75,28.39,187310
32.2,32.6,31.5,32.5,29.06,224932
32.78,33.93,32.7,33.5,29.96,336088
33.5,33.5,32.65,32.96,29.48,731390
32.88,33.07,32.47,32.87,29.4,397767
33.02,33.05,32.25,32.25,28.84,424948
32.0,32.0,30.81,30.91,27.64,389799
31.07,31.62,30.76,31.28,27.98,440365
31.6,31.91,31.2,31.62,28.28,383137
31.88,33.0,31.8,32.73,29.27,341171
32.55,33.53,32.37,33.11,29.61,336774
33.25,33.42,32.24,32.48,29.05,408364
32.91,33.33,32.64,33.25,29.73,329187
33.34,34.1,33.1,33.99,30.39,428615
34.24,34.53,33.51,33.8,30.23,460247
33.36,34.04,33.06,33.8,30.23,326430
33.98,34.1,33.51,33.94,30.36,379001
33.97,34.55,33.67,34.54,30.89,341362
34.49,34.97,34.24,34.9,31.21,401064
34.8,34.87,34.38,34.65,30.99,335779
35.44,35.69,33.32,33.4,29.87,780662
33.9,34.06,33.47,33.64,30.08,551706
33.9,34.08,33.64,33.8,30.23,508594
33.83,34.61,33.6,34.39,30.75,536550
34.18,34.71,34.18,34.52,30.87,359877
34.83,35.82,34.56,35.35,31.61,357418
35.12,35.31,34.47,34.73,31.06,448148
34.29,34.46,33.63,34.24,31.25,509008
34.24,34.69,33.97,34.36,31.36,279446
34.43,34.52,33.93,34.21,31.22,395837
34.45,35.58,34.31,34.92,31.87,459298
35.13,35.81,35.08,35.81,32.68,380264
35.9,36.22,35.5,35.63,32.52,493428
35.38,35.99,34.25,34.42,31.41,765591
34.55,36.08,34.45,35.5,32.4,932061
35.65,35.97,35.15,35.97,32.83,576260
35.8,36.04,35.38,36.01,32.87,440792
34.93,35.21,34.56,34.83,31.79,938283
35.2,35.53,35.12,35.33,32.25,688848
34.99,34.99,33.81,34.5,31.49,1022300
34.5,35.97,34.39,35.74,32.62,969686
36.0,36.75,35.97,36.22,33.06,479440
36.38,36.87,36.24,36.7,33.5,348075
37.98,37.98,36.62,37.21,33.96,600613
37.15,37.74,37.0,37.63,34.35,247955
38.0,38.15,37.31,38.11,34.78,6433043
38.2,38.48,37.92,38.0,34.68,654099
37.85,38.87,37.85,38.87,35.48,785354
38.88,39.99,38.52,38.93,35.53,698147
39.19,39.79,38.51,38.88,35.49,631910
39.21,39.92,39.01,39.47,36.02,567832
39.47,39.76,39.15,39.67,36.21,441836
39.7,39.88,39.26,39.74,36.27,623522
39.55,39.69,39.1,39.48,36.03,614240
38.99,39.38,38.83,39.22,35.8,617136
38.75,39.36,36.92,38.51,35.15,777843
38.81,39.3,38.15,38.26,34.91,711701
37.88,39.12,37.63,38.26,34.92,682020
38.4,39.84,38.4,39.8,36.32,2802874
40.35,41.71,40.35,41.43,37.81,650345
41.3,42.26,41.3,42.21,38.52,669874
42.35,42.94,42.21,42.21,38.52,739784
42.46,43.24,41.88,42.0,38.33,820955
37.71,40.22,37.5,39.28,35.85,1853705
39.7,39.84,36.74,37.26,34.01,989343
38.03,38.49,37.54,38.04,34.72,683903
38.68,39.6,38.18,39.49,36.04,594358
39.57,40.08,38.48,39.94,36.46,915179
40.0,40.76,39.69,40.65,37.1,583802
40.6,40.76,39.97,40.18,36.67,355524
40.06,40.06,38.88,39.27,35.84,534528
39.15,39.4,38.58,39.3,35.87,597550
39.47,39.56,38.94,39.14,35.72,360376
39.1,39.19,38.29,38.95,35.55,405528
39.24,40.99,39.24,40.99,37.42,548962
40.99,41.66,40.78,40.9,37.32,349747
41.03,41.81,40.7,41.3,37.69,427021
40.72,41.53,40.42,40.95,37.37,564488
40.67,41.0,40.06,40.66,37.11,333451
40.85,41.31,40.67,41.06,37.48,344092
41.07,41.39,40.51,41.24,37.64,347669
41.45,41.56,40.91,41.56,37.93,225787
40.92,41.17,40.05,40.68,37.13,379883
40.52,41.24,40.21,40.84,37.27,277262
40.94,41.33,40.64,41.06,37.47,430991
42.22,42.74,39.97,41.74,38.1,1010730
40.9,41.87,40.47,41.24,37.64,979312
41.38,42.39,40.94,40.99,37.42,616955
41.28,42.0,40.9,41.78,38.13,799751
41.94,42.58,41.78,42.42,38.72,422745
42.04,42.38,41.58,41.98,38.31,303271
42.13,42.79,41.76,42.61,38.89,299181
42.75,43.27,42.29,42.65,38.93,339876
42.67,43.31,42.67,43.0,39.25,257320
43.1,43.68,43.1,43.32,39.54,262240
43.43,44.85,43.26,44.85,40.93,401327
44.86,45.15,44.26,44.55,40.66,473712
44.8,45.62,44.62,45.58,41.6,248543
45.63,45.78,44.74,45.2,41.25,251820
45.2,45.53,44.79,44.9,40.97,300050
45.16,45.56,44.89,44.94,41.02,331324
44.8,45.64,44.52,45.42,41.46,423151
45.85,46.43,45.49,46.28,42.23,324997
46.26,46.33,45.65,46.09,42.07,264340
46.17,46.36,45.38,45.85,41.85,258508
45.97,46.49,45.49,46.45,42.39,220121
46.28,46.53,45.97,46.32,42.28,264706
46.12,46.74,46.05,46.4,42.35,224889
46.42,47.26,46.12,46.99,42.89,230892
46.93,47.21,46.31,47.01,42.91,148404
47.34,48.15,47.19,47.22,43.1,377630
