Open,High,Low,Close,Adj Close,Volume
88.12,88.26,86.09,87.54,81.91,1266864
88.41,88.99,86.54,87.24,81.63,699633
86.69,86.69,85.1,86.23,80.69,918625
84.0,85.33,83.23,84.89,79.43,1233896
84.98,85.49,83.34,83.45,78.09,1154585
82.68,86.13,82.09,85.26,79.78,1256563
85.36,87.43,85.15,86.29,80.74,843200
87.07,87.13,85.24,85.74,80.23,799506
85.27,85.49,83.89,84.71,79.27,1194988
84.33,85.55,82.65,84.01,78.61,1519768
83.95,94.22,83.9,89.26,83.52,4148579
90.91,92.7,90.28,92.0,86.09,1792106
89.82,92.24,88.82,92.08,86.16,2235836
92.0,92.33,88.5,90.42,84.61,1960147
92.19,92.71,91.28,91.28,85.41,1728055
91.3,92.21,90.06,92.21,86.28,976787
91.0,93.32,90.68,92.62,86.67,1152476
92.73,93.16,91.59,93.01,87.03,900987
92.45,94.25,92.19,93.5,87.49,1330613
94.41,95.21,93.14,94.98,88.88,1307492
95.0,96.09,94.54,95.56,89.42,949383
95.62,95.73,93.79,94.05,88.01,1251776
94.37,94.67,91.66,92.0,86.09,1176228
94.76,95.21,91.38,92.9,86.93,1211424
92.48,92.82,90.05,90.21,84.41,1104443
90.62,91.01,86.35,86.54,80.98,1549641
86.35,87.32,84.77,86.46,80.9,1205310
86.97,88.88,85.93,87.02,81.43,1295089
90.1,91.15,87.06,89.05,83.33,2699289
89.38,89.89,87.04,88.14,82.47,1213982
90.0,91.3,89.85,91.14,85.28,808387
91.18,91.98,90.23,91.14,85.28,813287
91.18,95.49,91.18,95.33,89.2,1259353
95.71,98.88,95.2,98.79,92.44,1520123
98.5,99.9,97.6,99.34,92.95,1296353
100.0,100.65,98.67,99.24,92.86,805077
98.4,99.79,97.84,98.15,91.84,771383
97.81,98.0,95.48,96.49,90.29,1059642
97.23,99.22,96.73,98.76,92.41,848746
99.5,100.35,97.86,98.9,92.54,891235
98.11,98.69,97.2,98.46,92.13,901397
98.58,100.85,98.37,100.85,94.37,688892
101.0,101.7,98.1,98.88,92.52,982305
98.0,98.85,96.84,96.88,90.65,1041953
97.73,98.06,96.82,97.43,91.17,861319
98.0,98.22,96.83,96.97,90.74,636007
96.44,96.57,95.17,95.56,89.42,755989
95.92,98.0,95.25,96.33,90.14,727443
96.4,100.1,96.17,97.57,91.3,1687320
98.63,99.88,97.14,99.67,93.26,947451
100.5,102.25,100.3,101.95,95.4,698323
101.75,101.9,100.85,101.4,94.88,568365
101.5,102.75,101.5,102.5,95.91,521892
103.0,103.05,99.77,100.15,93.71,865335
100.3,100.75,99.23,100.2,93.76,2584949
99.66,101.15,99.1,100.1,93.67,442965
99.35,101.35,98.13,101.35,94.84,577391
101.1,103.15,101.1,103.15,96.52,609149
102.4,103.2,101.75,102.45,95.87,583493
103.1,103.35,101.9,102.4,95.82,624648
102.9,104.75,102.75,104.6,97.88,593457
104.3,104.7,102.95,103.0,96.38,562256
102.3,102.9,101.15,102.45,95.87,589447
102.15,103.95,101.9,103.85,97.18,512238
102.6,103.4,102.4,102.75,96.15,616977
102.8,104.15,101.65,104.1,97.41,514152
104.25,104.75,102.8,103.1,96.47,584383
102.95,103.4,102.0,103.0,96.38,589101
102.6,102.95,101.05,102.35,95.77,543623
102.1,103.15,100.45,103.1,96.47,463488
104.45,104.95,103.55,104.05,97.36,700285
103.8,105.3,103.0,105.25,98.49,664651
104.85,104.85,103.7,104.35,97.64,508361
103.5,106.55,103.5,106.5,99.65,559018
106.8,108.75,105.75,108.6,101.62,760455
108.25,108.5,106.6,107.4,100.5,657700
107.45,107.65,104.45,106.75,99.89,943768
106.25,108.4,105.9,107.15,100.26,626080
107.15,107.85,106.3,107.85,100.92,569192
107.85,109.45,106.9,107.6,100.68,667078
113.0,118.3,112.15,114.0,106.67,3055239
111.6,113.9,111.6,113.9,106.58,1326993
112.65,113.6,112.05,112.6,105.36,1104218
112.35,114.55,112.1,114.1,106.77,576267
113.35,114.3,112.6,113.45,106.16,652088
113.6,115.75,111.2,112.45,105.22,919854
113.05,113.2,110.65,113.1,105.83,682575
112.5,115.0,112.2,114.1,106.77,922316
114.2,115.0,113.2,114.3,106.95,747931
115.0,116.5,113.75,114.15,106.81,838988
114.5,114.9,113.05,113.3,106.02,705455
113.8,115.2,112.85,113.4,106.11,854173
111.0,111.1,108.9,109.9,104.31,1176195
110.4,111.45,109.45,109.95,104.36,864960
109.25,110.6,109.25,110.55,104.92,502564
110.05,110.3,109.1,109.5,103.93,532973
110.0,113.1,109.75,113.1,107.35,962446
113.75,115.45,112.85,114.05,108.25,790269
113.45,115.2,112.8,114.8,108.96,607558
115.9,115.9,114.0,114.6,108.77,575992
114.3,116.25,114.25,116.05,110.15,524531
115.45,115.85,115.05,115.65,109.77,419406
115.75,116.2,115.5,115.75,109.86,235436
116.0,116.2,114.25,115.15,109.29,1798089
114.5,116.35,114.1,116.15,110.24,710264
115.5,117.05,114.9,116.9,110.95,481830
117.1,117.75,115.45,116.85,110.9,571197
117.4,117.85,116.7,117.6,111.62,406150
117.9,119.8,117.6,119.6,113.51,644795
119.95,120.0,118.9,119.5,113.42,561102
119.0,119.4,117.9,119.4,113.32,703307
118.45,119.35,118.25,118.95,112.9,780669
117.0,119.05,116.75,117.5,111.52,765985
116.8,117.55,114.2,115.05,109.2,833592
115.35,116.05,114.15,115.3,109.43,767008
113.6,116.5,113.55,115.5,109.62,811676
116.15,117.45,115.6,117.2,111.24,1271475
118.7,121.95,118.65,121.95,115.74,1116140
121.7,123.15,121.15,123.0,116.74,739080
124.0,124.35,123.15,123.8,117.5,696158
123.65,124.75,121.8,123.5,117.22,943315
112.0,120.85,107.65,119.85,113.75,2289724
119.3,121.7,118.7,119.75,113.66,1157743
121.9,123.4,119.35,122.65,116.41,950627
123.1,125.8,121.85,125.8,119.4,996743
126.0,128.5,125.35,128.45,121.91,1007467
128.55,128.95,125.5,128.2,121.68,763519
128.5,129.3,127.25,127.4,120.92,381913
126.7,127.5,124.45,125.55,119.16,766242
124.4,128.15,124.35,128.0,121.49,921557
128.5,128.9,126.45,126.55,120.11,604606
125.95,127.3,124.3,126.9,120.44,670966
128.0,129.95,126.85,129.85,123.24,555536
129.4,131.1,128.95,130.95,124.29,611123
130.4,131.35,128.75,131.25,124.57,737740
132.05,132.4,129.55,129.8,123.2,649169
129.5,131.85,129.15,131.55,124.86,570630
131.35,132.3,130.25,131.15,124.48,466022
131.0,133.0,130.4,132.65,125.9,570521
132.95,136.85,132.8,136.6,129.65,903062
136.8,139.2,136.6,138.25,131.22,1536597
137.8,138.05,136.65,137.0,130.03,835398
137.6,139.3,137.3,139.1,132.02,668289
139.0,140.15,138.55,139.3,132.21,590849
140.55,142.55,140.2,140.55,133.4,646151
147.0,147.95,143.35,144.1,136.77,2326472
143.75,146.75,143.3,146.75,139.28,1254338
148.05,149.1,147.05,148.8,141.23,928499
148.1,149.2,147.3,148.2,140.66,838764
148.65,148.95,146.95,147.9,140.37,631045
148.8,148.8,141.85,145.0,137.62,1974150
145.5,146.85,144.65,146.5,139.05,868347
147.65,148.1,146.5,147.9,140.37,576119
148.4,148.75,146.65,148.5,140.94,701662
148.4,152.25,148.3,152.25,144.5,996496
152.8,154.3,151.5,154.3,146.45,666915
154.15,155.6,153.6,155.15,147.26,522089
154.95,156.35,154.7,156.15,148.2,416759
154.0,156.05,152.65,155.8,147.87,578873
156.45,157.2,154.9,156.1,148.16,569959
156.2,157.45,155.9,156.2,148.25,488082
156.5,156.9,154.95,156.55,148.58,614912
156.0,156.65,153.1,153.9,146.07,725260
154.7,155.15,152.75,153.95,146.12,652412
153.05,154.15,152.15,153.05,145.26,485514
152.3,153.4,151.45,152.1,144.36,631831
152.5,153.9,152.15,153.55,145.74,501536
152.25,153.05,150.8,152.7,144.93,290245
152.85,153.9,152.2,152.2,144.46,434428
151.45,151.5,148.05,148.95,141.37,954588
148.8,150.3,146.65,147.8,140.28,809800
145.15,146.4,143.65,145.45,138.05,1286879
145.2,148.15,144.75,147.35,139.85,519370
147.2,147.8,145.75,146.5,139.05,632563
147.25,148.95,147.0,148.35,140.8,625173
148.8,149.4,145.75,146.15,138.71,706147
145.4,146.15,144.05,145.05,137.67,557604
142.3,147.15,142.05,146.2,138.76,812277
146.45,149.9,146.35,148.05,140.52,884135
148.4,149.75,147.2,148.4,140.85,806879
147.85,150.6,147.15,150.6,142.94,876906
150.85,151.4,147.35,149.9,142.27,9908728
150.05,150.45,148.35,149.2,141.61,1017140
149.6,152.0,149.35,151.3,143.6,900807
152.45,154.55,152.3,153.05,145.26,866326
154.35,154.95,153.0,154.85,146.97,832928
155.0,155.35,154.4,155.1,147.21,601419
153.95,155.1,152.85,153.25,145.45,813460
154.05,154.45,151.1,152.3,144.55,615962
152.2,155.55,152.1,155.55,147.64,753357
156.75,157.4,153.3,153.6,145.78,615337
152.15,154.85,151.6,154.5,146.64,832981
154.4,157.4,154.15,157.4,149.39,852290
156.0,157.1,155.1,155.85,147.92,534460
155.75,156.0,153.55,153.8,145.97,586811
154.0,156.05,152.7,155.15,147.26,625325
154.95,157.85,154.9,157.85,149.82,525920
157.75,158.2,155.3,155.55,147.64,515954
155.3,156.45,154.5,155.7,147.78,481440
154.8,155.1,153.2,153.2,145.4,625893
154.3,157.35,154.3,157.1,149.11,703278
156.5,157.65,155.55,155.95,148.01,526529
156.7,158.3,156.35,157.8,149.77,772177
158.0,159.15,157.55,158.5,150.44,656359
158.65,159.5,157.4,159.5,151.38,669184
159.9,160.3,156.15,156.65,148.68,727377
157.3,157.35,154.9,155.2,147.3,577946
155.0,157.25,151.25,152.7,144.93,1191679
152.05,152.25,149.4,149.4,141.8,970793
148.8,149.65,147.3,149.65,142.04,823591
148.75,149.9,147.3,149.7,142.08,598484
149.05,150.1,148.4,149.4,141.8,613835
150.0,150.7,146.9,147.1,139.62,687610
145.8,147.15,145.2,146.55,139.09,713327
142.0,142.0,133.65,137.35,130.36,2873149
136.0,136.1,131.8,133.05,126.28,1701476
135.0,136.6,134.9,136.45,129.51,945770
136.85,137.7,135.9,136.6,129.65,756607
131.55,139.7,131.0,139.7,132.59,1302009
140.15,140.3,129.6,131.7,125.0,1802299
132.5,135.2,132.5,133.45,126.66,918438
134.5,136.2,134.0,134.2,127.37,982589
134.85,139.35,134.75,138.75,131.69,894017
139.05,139.5,136.15,137.45,130.46,667914
136.95,139.55,135.3,139.5,132.4,560903
140.0,140.65,137.9,139.0,131.93,708902
139.55,139.9,137.75,139.5,132.4,487029
140.45,140.45,138.35,139.05,131.97,529751
139.55,140.1,137.75,138.85,131.78,529300
139.5,140.15,138.5,138.65,131.6,322401
139.0,139.45,137.7,139.2,132.12,480654
138.45,139.9,137.3,137.6,130.6,513552
137.2,139.45,136.85,139.4,132.31,573260
138.15,139.5,137.45,139.0,131.93,930423
138.7,139.95,137.25,137.65,130.65,653981
137.75,139.45,136.75,138.5,131.45,670724
138.0,142.45,138.0,141.0,133.83,722690
141.2,141.45,139.9,141.15,133.97,512447
142.3,142.45,140.15,142.45,135.2,792920
144.5,145.1,142.7,144.7,137.34,1072977
144.25,145.1,143.85,144.4,137.05,620383
144.35,145.6,143.75,144.3,136.96,509874
144.65,146.45,144.65,145.8,138.38,612859
144.4,144.95,142.15,142.85,135.58,608841
142.85,143.85,140.95,143.7,136.39,834543
143.35,145.1,143.2,144.75,137.38,1163325
144.1,145.0,143.5,145.0,137.62,364384
145.5,146.3,144.95,146.15,138.71,419627
145.9,147.1,144.55,144.75,137.38,572514
144.2,145.3,143.8,144.9,137.53,275665
144.95,145.5,143.8,144.5,137.15,210865
144.5,145.6,144.5,145.55,138.14,180959
145.25,147.25,144.95,147.25,139.76,296572
146.7,148.2,146.4,147.95,140.42,249780
148.0,150.15,147.55,150.15,142.51,429338
149.75,151.95,149.35,151.3,143.6,445138
150.9,151.05,148.8,149.25,141.66,641172
149.4,149.4,146.35,146.4,138.95,618563
145.25,145.8,143.5,144.3,136.96,739147
143.8,145.05,142.95,144.8,137.43,641054
145.1,145.4,144.15,144.5,137.15,583147
145.25,146.1,144.45,144.8,137.43,460627
144.75,146.25,144.7,145.55,138.14,412401
144.8,146.5,144.3,146.0,138.57,534037
146.45,147.95,145.35,147.95,140.42,487101
146.85,148.9,146.85,148.3,140.75,351401
147.65,147.8,145.85,147.35,139.85,433069
147.3,151.8,147.3,151.7,143.98,680676
151.75,152.85,150.6,152.3,144.55,621644
151.25,152.9,149.85,152.2,144.46,755126
151.4,153.5,151.25,152.5,144.74,474302
153.15,155.2,152.6,152.8,145.03,582573
154.0,155.75,153.55,153.85,146.02,600743
154.95,155.65,154.35,155.4,147.49,504806
155.55,156.35,153.2,153.85,146.02,698509
153.1,153.75,150.15,150.5,142.84,629433
150.2,152.0,145.65,145.65,138.24,1333715
146.15,148.35,145.6,147.3,139.8,807251
147.0,148.35,146.5,146.95,139.47,466670
146.9,147.9,146.2,147.0,139.52,509997
146.25,146.55,143.8,143.8,136.48,965588
143.0,145.8,142.6,144.3,136.96,578766
143.8,144.3,142.85,144.0,136.67,480704
144.75,148.45,144.35,148.0,140.47,642175
149.0,150.05,148.65,149.4,141.8,473664
149.85,152.2,149.25,151.25,143.55,415760
151.55,152.4,150.75,150.8,143.13,411384
150.85,151.1,149.0,149.55,141.94,450100
149.4,149.95,147.6,147.6,140.09,572259
148.2,148.6,146.45,148.45,140.9,678885
149.45,149.65,148.2,148.4,140.85,329148
148.45,152.75,148.4,152.05,144.31,521084
151.75,153.45,150.95,153.15,145.36,683490
