Open,High,Low,Close,Adj Close,Volume
160.15,160.15,155.5,156.0,123.61,2742295
158.0,158.4,154.3,156.5,124.01,1521606
157.15,158.15,155.95,157.0,124.4,1686090
153.15,154.95,151.55,153.75,121.83,2454430
154.45,156.0,151.8,151.8,120.28,1847223
151.0,154.75,150.8,152.4,120.76,1622793
152.5,155.75,151.7,154.3,122.26,1619622
155.9,157.5,154.25,154.55,122.46,1458774
153.15,153.65,150.05,151.9,120.36,2137384
151.15,152.55,147.4,149.25,118.26,2906907
148.25,150.3,147.25,148.1,117.35,1369482
150.9,151.2,149.05,149.7,118.62,1517247
145.85,146.4,143.1,144.6,114.58,2766207
144.6,147.8,143.25,145.05,114.93,2641568
147.45,149.3,146.55,148.15,117.39,2135722
149.1,149.1,147.0,147.7,117.03,1284426
145.2,147.8,144.7,147.1,116.56,1480892
147.6,147.7,145.85,147.5,116.87,1214482
147.0,147.95,143.35,144.65,114.62,2010893
146.45,149.05,145.9,148.65,117.79,2400173
148.9,149.15,146.0,147.5,116.87,1405613
146.95,147.2,142.9,143.9,114.02,1942134
143.8,144.05,139.55,140.75,111.53,2277962
142.9,143.45,139.55,140.6,111.41,2120881
140.8,141.0,137.45,138.05,109.39,1955428
138.0,139.0,134.35,135.1,107.05,2448345
134.5,136.2,130.5,131.35,104.08,3355376
132.65,135.65,131.3,133.6,105.86,2287752
131.6,131.6,126.55,126.55,100.27,3090782
127.9,129.0,127.2,129.0,102.22,1888994
132.0,133.2,131.35,131.45,104.16,1687593
132.5,132.85,129.4,130.45,103.36,1429608
130.85,134.95,130.05,134.6,106.65,1844234
136.35,137.15,134.95,135.75,107.56,1794597
132.0,134.5,130.25,134.05,106.22,2911531
136.3,136.85,135.55,136.25,107.96,1561844
135.2,136.25,134.55,135.0,106.97,1585239
134.7,135.0,132.4,132.85,105.27,1742532
134.55,136.55,134.15,135.05,107.01,1545117
136.65,138.7,136.25,137.85,109.23,1836945
137.0,137.25,134.9,137.25,108.75,1729315
