1. open,2. high,3. low,4. close,5. volume
72.7,72.94,72.54,72.8375,242999.0
72.8,72.82,72.6,72.74,21767.0
72.76,72.86,72.65,72.79,20081.0
72.89,72.9,72.72,72.72,19236.0
72.72,72.75,72.29,72.31,22218.0
72.33,72.4,72.19,72.23,21798.0
72.22,72.25,71.69,71.73,46770.0
71.73,71.92,71.6,71.865,66894.0
71.85,72.11,71.78,72.06,187856.0
73.81,74.48,73.25,74.3114,139013.0
74.31,74.52,73.7,73.78,75186.0
73.84,74.33,73.78,74.175,58451.0
74.15,74.24,73.94,74.03,44122.0
74.015,74.15,73.98,74.11,29809.0
74.07,74.17,73.92,73.99,377894.0
74.04,74.15,73.98,74.1,25220.0
74.1,74.19,73.86,73.91,44994.0
73.9,74.06,73.755,74.02,49422.0
74.01,74.25,73.98,74.14,53136.0
74.13,74.34,74.11,74.2,147421.0
74.2,74.44,73.96,74.34,80447.0
74.35,74.47,74.16,74.46,138144.0
75.18,75.7,74.83,74.88,66836.0
74.87,74.99,74.61,74.955,30605.0
74.98,75.46,74.91,75.41,31453.0
75.35,75.54,75.26,75.31,37146.0
75.34,75.76,75.335,75.67,23451.0
75.63,76.09,75.5,76.05,40378.0
76.03,76.27,75.99,76.24,64051.0
76.21,76.25,76.02,76.1623,28554.0
76.17,76.35,76.16,76.33,43732.0
76.35,76.54,76.21,76.27,52629.0
76.27,76.37,76.115,76.36,32215.0
76.3,76.69,76.19,76.66,68899.0
76.655,77.11,76.64,77.005,161828.0
74.87,75.11,74.24,74.92,136129.0
74.84,74.98,74.52,74.94,60919.0
74.91,75.21,74.91,74.965,38876.0
75.01,75.18,74.76,74.87,68958.0
74.82,75.01,74.82,75.01,22846.0
75.0,75.05,74.45,74.83,39461.0
74.83,74.84,74.25,74.28,28592.0
74.29,74.76,74.26,74.73,23598.0
74.7,74.74,74.41,74.43,23604.0
74.43,74.62,74.4,74.62,33726.0
74.59,74.59,74.36,74.5,36397.0
74.49,74.72,74.3,74.64,42842.0
74.64,74.83,74.49,74.55,105296.0
74.86,74.91,74.17,74.71,41992.0
74.74,74.8,74.27,74.27,106220.0
74.21,74.48,74.19,74.31,25423.0
74.29,74.43,74.2,74.3701,150664.0
74.37,74.4,74.01,74.4,19477.0
74.36,74.41,74.125,74.19,14197.0
74.24,74.46,74.2,74.38,13829.0
74.39,74.53,74.21,74.245,13019.0
74.2,74.55,74.2,74.37,18059.0
74.31,74.695,74.31,74.57,16418.0
74.57,74.67,74.48,74.58,19757.0
74.59,74.67,74.44,74.485,20741.0
74.475,74.57,74.27,74.31,71196.0
73.58,73.75,73.0,73.57,39064.0
73.54,73.66,73.4,73.54,31463.0
73.53,73.9,73.18,73.79,43610.0
73.815,73.86,73.56,73.645,141536.0
73.67,74.03,73.56,74.01,11065.0
73.975,74.07,73.88,74.015,15592.0
74.01,74.27,74.01,74.27,20197.0
74.3,74.31,74.195,74.3,33626.0
74.38,74.55,74.26,74.48,128347.0
74.46,74.615,74.278,74.55,67817.0
74.53,74.72,74.47,74.7,27130.0
74.67,74.73,74.5,74.54,32493.0
74.56,74.61,74.28,74.28,88766.0
72.76,72.95,72.44,72.64,40187.0
72.55,72.765,72.22,72.28,19921.0
72.29,72.555,72.17,72.265,23614.0
72.29,72.83,72.29,72.58,36664.0
72.6073,72.97,72.6073,72.62,24323.0
72.6,72.73,72.53,72.73,21270.0
72.695,72.73,72.63,72.69,17290.0
72.64,72.85,72.59,72.81,17289.0
72.84,72.865,72.74,72.75,32828.0
72.78,72.8,72.725,72.77,24912.0
72.77,72.78,72.66,72.73,24683.0
72.71,72.79,72.68,72.745,40281.0
72.75,72.81,72.5,72.6,106398.0
73.18,73.364,72.9,73.25,73826.0
73.2,73.2,72.945,72.99,45973.0
72.99,72.99,72.71,72.95,29424.0
72.95,73.14,72.85,72.87,29266.0
72.89,72.95,72.77,72.84,21620.0
72.87,72.91,72.81,72.86,31249.0
72.915,73.1,72.915,73.1,11857.0
73.09,73.48,73.09,73.45,12080.0
73.46,73.5,73.17,73.19,24162.0
73.11,73.26,72.8635,73.06,25542.0
73.04,73.215,71.48,72.34,34870.0
72.31,72.81,72.21,72.6,52776.0
72.595,72.77,72.16,72.16,253689.0
