Open,High,Low,Close,Adj Close,Volume
69.31,69.31,67.09,67.58,57.8,4949927
67.32,67.97,66.13,67.2,57.47,3310320
66.83,66.9,65.05,66.08,56.52,3764782
64.98,65.24,63.45,64.47,55.14,5364709
64.45,65.53,63.64,63.68,54.46,3828473
63.5,64.73,63.22,63.25,54.1,3456405
63.25,65.16,62.83,64.31,55.0,3687729
65.27,65.95,63.98,64.28,54.98,3118637
63.53,64.35,62.06,63.92,54.67,5892683
63.63,64.16,61.33,61.81,52.86,6628912
61.51,62.34,60.61,60.79,51.99,3812796
62.36,62.79,60.92,61.17,52.32,3552608
59.87,60.78,59.0,60.12,51.42,5644857
59.85,61.82,59.63,61.51,52.61,5535182
63.4,63.7,62.74,62.94,53.83,3917629
63.4,63.4,61.07,61.68,52.75,3931828
60.19,62.31,59.93,62.08,53.1,3023258
59.2,61.42,59.01,60.95,52.13,5607004
60.5,61.95,60.22,60.65,51.87,4688270
61.83,62.0,60.1,61.1,52.26,4240432
61.65,61.65,59.6,60.44,51.69,3104448
60.05,60.23,58.23,58.91,50.38,4115188
58.63,59.66,58.21,58.82,50.31,4175904
60.09,60.21,58.19,59.33,50.74,4030808
59.29,60.37,58.55,59.4,50.8,3411088
59.8,60.11,57.05,57.84,49.47,4707896
57.85,58.55,57.03,57.4,49.09,5118282
57.9,58.5,56.96,57.86,49.49,3629570
57.2,57.57,56.01,56.7,48.49,4637484
57.26,57.85,56.87,57.85,49.48,3667565
58.97,59.41,58.55,59.13,50.57,3369506
59.58,59.94,57.97,58.36,49.91,3039763
58.56,60.15,58.36,59.89,51.22,3467956
60.2,60.95,59.37,60.37,51.63,3209469
60.6,60.97,59.65,60.04,51.35,3158680
60.6,61.49,60.55,61.27,52.4,2995925
60.75,60.9,59.64,59.87,51.21,2739306
59.9,59.9,57.78,58.07,49.67,3609839
58.9,59.76,58.26,59.19,50.62,2615742
59.7,61.6,59.29,60.96,52.14,4631075
60.25,60.27,58.44,60.18,51.47,4776664
60.3,62.13,60.13,62.07,53.09,3786092
62.7,62.99,61.68,62.25,53.24,3177775
62.53,63.26,62.31,62.91,53.81,2992366
63.27,63.48,62.33,63.28,54.12,2868766
62.3,63.6,61.63,63.56,54.36,3765598
63.18,64.7,62.78,63.69,54.47,3808242
63.85,64.85,63.61,64.35,55.04,2989878
64.25,66.31,62.16,62.16,53.16,5634192
63.3,64.41,63.05,64.41,55.09,2960012
65.22,65.82,64.95,65.5,56.02,2523367
65.0,65.17,64.41,64.97,55.57,2564140
64.94,65.82,64.94,65.3,55.85,2771316
66.1,66.31,64.46,65.0,55.59,3573584
64.98,66.48,64.27,66.48,56.86,9611284
65.99,67.7,65.76,66.94,57.25,3056696
66.4,67.31,65.85,67.31,57.57,2563742
67.53,68.35,66.78,67.34,57.59,2918708
66.85,67.01,65.8,66.04,56.48,3009952
66.67,66.87,65.62,65.93,56.39,2004259
66.4,67.61,66.37,67.12,57.41,2337101
66.81,66.81,65.96,66.3,56.7,2594924
65.45,65.76,64.34,65.12,55.7,3568533
64.89,65.7,64.64,64.98,55.58,2016341
63.9,63.91,62.8,63.04,53.92,3781976
63.15,63.35,62.17,63.02,53.9,2828802
63.2,63.6,61.58,62.01,53.04,3048641
62.07,63.54,62.07,63.09,53.96,2864003
63.09,64.59,62.55,64.11,54.83,2742899
64.47,64.94,63.77,64.83,55.45,2163643
65.62,66.93,65.62,66.92,57.23,3581517
67.09,68.58,66.94,68.17,58.3,4276301
68.09,68.6,67.91,68.26,58.38,2672741
67.0,68.65,66.56,68.47,58.56,3173385
68.92,70.54,68.76,69.99,59.86,3957742
69.92,71.33,69.62,71.1,60.81,2806527
71.2,71.44,70.5,71.06,60.78,3577936
71.0,71.35,70.64,70.93,60.66,2105556
71.45,71.5,69.87,70.33,60.15,2680415
71.29,71.7,70.1,70.57,60.36,2670131
70.6,72.07,70.46,71.93,61.52,3641968
71.61,73.06,70.66,72.74,62.21,3833246
74.5,74.54,71.74,72.15,61.71,6853046
69.63,70.9,69.43,69.77,62.17,3989879
69.74,69.74,67.84,68.11,60.69,3396628
67.67,68.47,67.17,67.29,59.96,2633418
67.53,68.47,67.24,67.92,60.52,2006366
67.7,68.89,67.17,68.4,60.95,3099137
68.8,69.92,68.13,68.78,61.29,2811940
69.29,69.57,68.55,69.0,61.49,2434164
69.0,69.19,68.15,68.41,60.96,2340710
67.88,68.56,66.42,66.97,59.68,4583297
66.21,68.39,65.84,67.73,60.35,2879792
68.85,69.1,67.21,67.69,60.32,2831515
66.99,67.68,66.92,67.65,60.28,2411717
66.75,67.04,65.85,66.55,59.3,2850832
67.26,67.92,66.95,67.29,59.96,2512107
67.43,67.98,66.46,67.23,59.91,2255746
66.83,69.3,66.45,69.11,61.58,2671479
69.93,70.0,69.38,69.76,62.16,2357870
69.8,70.62,69.75,70.05,62.42,2062760
69.73,70.17,69.65,69.92,62.3,1893234
69.99,70.13,69.71,70.08,62.45,907164
69.97,70.36,69.33,69.43,61.87,2371231
69.5,70.0,68.92,69.55,61.98,2153899
69.79,70.01,69.35,69.54,61.97,1868041
69.6,69.97,67.6,68.35,60.91,2771988
68.51,69.15,68.5,68.83,61.33,1488756
69.32,70.96,69.28,70.69,62.99,2794688
70.39,70.58,69.93,70.22,62.57,1678327
69.93,69.99,68.95,69.55,61.98,1758289
69.14,69.14,67.31,67.77,60.39,3720856
66.47,67.44,66.26,66.87,59.59,2517037
66.01,67.23,65.76,66.46,59.22,3423593
66.8,68.4,66.8,67.98,60.58,3235596
66.71,68.12,66.56,67.84,60.45,3261797
68.31,68.75,67.42,67.51,60.16,5276022
69.17,70.23,68.77,69.71,62.12,3016047
69.43,70.25,69.36,69.81,62.21,2064563
70.5,71.12,69.98,70.52,62.84,2488390
70.64,72.59,70.54,71.87,64.04,3291478
64.15,68.69,63.0,67.07,59.77,10390257
66.43,66.94,64.62,65.19,58.09,5188509
66.13,66.98,65.6,65.81,58.64,3600146
67.4,67.75,66.74,67.53,60.18,2749406
67.35,69.01,66.82,68.64,61.16,3506172
69.29,69.73,68.45,69.46,61.89,2523647
69.52,69.79,68.79,68.87,61.37,1337163
68.4,68.66,67.2,67.62,60.26,3013127
66.86,67.46,65.47,66.05,58.86,3003890
66.55,66.62,65.7,66.02,58.83,1947316
65.77,67.17,65.77,67.01,59.71,2569866
68.19,69.08,67.95,68.81,61.32,2832454
68.6,69.85,68.47,69.49,61.92,2252336
69.32,70.04,69.26,69.44,61.88,1939136
70.29,72.41,70.27,71.94,64.1,4632997
71.49,72.24,71.07,71.77,63.95,2584205
71.89,72.41,71.21,71.68,63.87,1585693
71.67,71.7,70.47,71.35,63.58,1624770
71.72,72.0,71.11,71.72,63.91,1516043
71.77,72.18,71.0,71.92,64.09,1624269
71.64,71.88,71.05,71.51,63.72,1593199
71.6,72.55,71.47,71.78,63.96,1871468
71.97,72.26,71.34,71.98,64.14,1580672
70.1,70.58,69.38,70.58,62.89,4159142
70.16,71.08,70.05,70.62,62.93,2876216
70.73,70.8,69.46,70.26,62.61,2873135
70.5,71.2,69.94,70.35,62.69,1928204
70.32,70.51,68.6,68.97,61.46,2579052
69.13,69.29,68.42,69.0,61.49,1667527
69.44,69.51,68.51,68.93,61.42,1522239
69.25,69.66,68.95,69.59,62.01,1896489
70.08,70.53,69.84,70.26,62.61,1674193
70.14,72.45,70.12,72.25,64.38,2369117
72.28,72.61,71.88,72.42,64.53,2346910
72.8,73.48,72.36,72.76,64.84,2066378
72.72,73.09,72.64,72.97,65.02,1373934
73.01,73.58,72.8,73.07,65.11,893169
72.61,73.13,72.22,72.85,64.92,1723288
73.02,73.35,71.75,72.08,64.23,1668804
72.68,72.89,72.22,72.75,64.83,1641250
72.72,72.81,71.92,72.14,64.28,2389515
72.02,72.61,71.06,71.51,63.72,2212653
71.91,73.0,71.79,72.5,64.6,2402152
72.03,73.24,71.82,73.02,65.07,1553246
72.7,72.75,71.98,72.45,64.56,1540627
