1. open,2. high,3. low,4. close,5. volume
2.071,2.09,2.06,2.09,39820.0
2.09,2.1,2.07,2.1,13661.0
2.11,2.11,1.88,1.94,356922.0
1.94,1.97,1.92,1.96,77218.0
1.965,2.0,1.96,1.985,53045.0
1.985,1.9913,1.93,1.96,55228.0
1.955,1.975,1.92,1.93,32080.0
1.9375,1.96,1.93,1.9497,60372.0
1.9499,1.95,1.86,1.865,90886.0
1.86,2.0,1.86,2.0,59048.0
1.98,2.0,1.9735,1.985,78332.0
1.97,1.98,1.95,1.95,19795.0
1.95,1.97,1.92,1.965,116079.0
1.96,1.98,1.95,1.9799,17908.0
1.97,1.98,1.9531,1.96,151463.0
1.97,1.97,1.955,1.96,8895.0
1.965,1.97,1.935,1.955,14929.0
1.955,1.98,1.955,1.975,9652.0
1.975,1.975,1.955,1.955,197260.0
1.9503,1.96,1.95,1.955,9551.0
1.955,1.98,1.94,1.955,48314.0
1.96,1.97,1.955,1.96,17439.0
1.95,2.0,1.9,1.96,22742.0
1.97,1.97,1.92,1.94,32594.0
1.94,1.9549,1.91,1.94,99094.0
1.93,1.95,1.93,1.93,12363.0
1.9351,1.94,1.91,1.91,14755.0
1.91,1.925,1.9,1.9249,35187.0
1.93,1.96,1.925,1.94,22366.0
1.93,1.94,1.93,1.94,6241.0
1.94,1.9534,1.93,1.93,7722.0
1.93,1.94,1.92,1.93,9001.0
1.95,1.95,1.93,1.94,10852.0
1.95,1.955,1.93,1.94,18850.0
1.945,1.95,1.93,1.935,16137.0
1.91,1.9399,1.84,1.87,57132.0
1.855,1.87,1.81,1.82,72952.0
1.83,1.83,1.77,1.78,67960.0
1.7847,1.79,1.75,1.765,83909.0
1.76,1.7897,1.76,1.7897,14636.0
1.79,1.81,1.785,1.79,358638.0
1.79,1.79,1.76,1.77,27962.0
1.77,1.785,1.76,1.785,18744.0
1.8,1.805,1.78,1.785,12625.0
1.78,1.79,1.77,1.77,36308.0
1.77,1.775,1.76,1.76,45085.0
1.76,1.78,1.75,1.77,28252.0
1.77,1.795,1.74,1.74,77784.0
1.73,1.82,1.73,1.82,22920.0
1.8,1.8,1.77,1.78,49561.0
1.78,1.78,1.71,1.73,219209.0
1.7299,1.76,1.72,1.76,11671.0
1.76,1.765,1.74,1.745,12949.0
1.75,1.75,1.7199,1.72,15101.0
1.73,1.735,1.72,1.725,11217.0
1.73,1.74,1.73,1.74,5779.0
1.74,1.74,1.71,1.7198,14898.0
1.71,1.7297,1.71,1.71,11997.0
1.71,1.73,1.71,1.73,17602.0
1.73,1.73,1.7,1.7,33781.0
1.7,1.71,1.67,1.67,70025.0
1.7,1.75,1.63,1.66,64848.0
1.6594,1.66,1.6,1.6199,24409.0
1.62,1.65,1.61,1.65,37166.0
1.645,1.66,1.64,1.645,136572.0
1.65,1.67,1.645,1.67,13779.0
1.67,1.68,1.67,1.6723,156370.0
1.68,1.71,1.68,1.69,9610.0
1.7,1.71,1.695,1.71,10340.0
1.71,1.71,1.6601,1.67,35839.0
1.6767,1.69,1.62,1.63,42816.0
1.64,1.64,1.59,1.6,51691.0
1.59,1.62,1.58,1.6,71249.0
1.6,1.63,1.53,1.57,207149.0
1.56,1.63,1.51,1.56,55009.0
1.56,1.62,1.56,1.5932,17965.0
1.595,1.63,1.59,1.6,23114.0
1.6,1.66,1.6,1.655,23949.0
1.67,1.67,1.64,1.655,148504.0
1.655,1.685,1.64,1.685,53622.0
1.68,1.76,1.68,1.76,47264.0
1.76,1.82,1.76,1.77,89276.0
1.77,1.7716,1.68,1.71,73976.0
1.71,1.75,1.71,1.725,32587.0
1.725,1.75,1.7,1.71,43681.0
1.7083,1.73,1.69,1.715,51240.0
1.715,1.735,1.68,1.68,103281.0
1.68,1.77,1.65,1.71,42156.0
1.71,1.76,1.71,1.76,17319.0
1.77,1.8,1.75,1.7804,34133.0
1.7801,1.82,1.77,1.8168,23907.0
1.815,1.84,1.8,1.81,15180.0
1.8,1.8,1.76,1.76,15787.0
1.7562,1.78,1.7562,1.775,6989.0
1.77,1.835,1.765,1.83,30518.0
1.83,1.85,1.785,1.85,54300.0
1.85,1.92,1.84,1.89,53976.0
1.885,1.89,1.8,1.81,72096.0
1.8297,1.8499,1.8022,1.845,39123.0
1.84,1.8498,1.78,1.79,59722.0
