Open,High,Low,Close,Adj Close,Volume
111.5,111.5,108.74,109.28,96.48,3502548
107.27,109.92,107.07,109.48,96.65,2390375
109.38,109.43,106.14,107.91,95.26,2162078
104.81,105.89,103.62,105.15,92.83,3606798
105.2,106.14,102.2,102.25,90.27,3251464
101.36,103.48,101.17,101.17,89.31,3096819
101.07,104.12,100.67,102.54,90.53,2469197
103.97,105.0,102.39,102.69,90.66,2030776
102.05,102.39,98.85,101.21,89.35,3847452
101.36,101.9,98.02,99.0,87.4,5368822
98.46,100.48,98.46,99.44,87.79,2187312
101.85,102.35,100.08,100.87,89.05,2378454
97.65,99.64,97.07,98.85,87.27,4505237
99.79,103.23,99.64,101.56,89.66,4156500
103.48,105.25,103.13,103.87,91.7,3010438
104.56,104.95,103.33,104.12,91.92,2001244
102.15,104.56,101.66,103.67,91.53,1818795
103.28,103.72,102.1,103.38,91.26,1765265
103.13,103.33,99.25,100.33,88.57,2199453
102.15,102.3,100.28,101.75,89.83,2295251
102.35,102.39,99.74,100.92,89.09,1672754
100.48,100.92,98.07,98.75,87.18,2241181
98.24,98.66,95.66,96.97,85.61,3001576
98.9,99.05,96.17,96.9,85.55,3237289
96.83,96.98,94.22,94.87,83.75,3581566
95.5,96.0,92.1,93.01,82.11,4792021
92.82,94.16,90.88,91.69,80.94,3815390
92.61,94.66,92.02,93.34,82.4,2967336
92.12,92.33,90.2,91.34,80.64,3792936
92.26,93.26,91.54,93.26,82.33,3229245
95.67,95.83,94.47,94.9,83.78,2852215
95.22,95.37,93.12,93.78,82.79,2258868
93.78,96.31,93.58,96.14,84.87,2469372
96.82,98.19,96.0,97.39,85.97,2554588
97.87,98.0,95.64,96.47,85.17,2872254
96.85,98.0,96.64,97.4,85.98,2267704
96.59,97.24,95.59,95.65,84.44,2536991
95.41,95.49,92.95,93.28,82.35,2844094
92.11,94.31,89.63,93.89,82.89,5420913
94.59,97.04,94.33,96.27,84.99,3777254
95.61,95.7,93.47,94.9,83.78,3308571
94.88,96.61,94.61,96.51,85.2,2739689
97.93,97.95,96.51,97.27,85.87,2945905
