Open,High,Low,Close,Adj Close,Volume
82.44,82.44,80.5,81.12,78.58,505026
81.97,82.36,81.25,82.0,79.43,338045
81.52,81.55,80.14,81.47,78.92,313177
79.64,80.0,78.14,79.48,76.99,500349
79.06,80.45,78.54,79.28,76.8,347951
79.22,80.18,78.45,78.58,76.12,301700
78.76,81.13,78.58,80.95,78.42,418973
81.71,82.1,80.71,81.46,78.91,469450
81.0,81.97,79.43,79.56,77.07,563044
79.13,79.92,77.78,78.46,76.0,457611
78.35,79.15,77.85,79.01,76.54,306824
80.36,80.84,79.82,80.84,78.31,345327
78.5,79.61,78.06,78.57,76.11,373350
78.31,79.88,78.24,79.39,76.91,376189
80.43,81.59,80.05,81.42,78.87,309572
81.27,82.05,81.13,82.05,79.48,212702
81.18,82.77,80.92,82.62,80.03,215194
82.83,83.61,82.13,83.61,80.99,287833
83.15,83.51,81.75,82.27,79.7,319634
83.55,85.08,83.09,85.08,82.42,375358
85.46,85.47,84.44,85.0,82.34,410343
85.12,85.63,84.57,85.56,82.88,337463
85.56,85.88,84.48,84.91,82.25,358502
85.7,85.7,82.69,82.91,80.32,404179
82.77,83.27,80.79,81.08,78.54,453390
81.23,81.46,78.76,78.96,76.49,402663
79.23,80.15,78.35,79.19,76.71,437180
79.47,80.6,78.86,79.24,76.76,359707
78.48,78.62,77.27,77.27,74.85,350283
77.65,78.43,76.65,78.39,75.94,417556
79.61,81.57,79.19,81.14,78.6,360289
81.23,82.81,80.83,81.51,78.96,478602
79.88,81.31,76.68,79.13,76.65,1040526
79.0,79.02,77.55,78.11,75.67,761400
78.18,80.0,78.15,79.4,76.92,619241
79.86,80.66,79.76,80.1,77.59,295251
79.9,81.2,79.37,80.57,78.05,367007
80.61,81.0,78.56,78.92,76.45,358150
79.46,80.82,79.06,80.53,78.01,402362
81.33,82.1,80.29,80.43,77.91,255958
79.95,80.2,78.75,79.95,77.45,339592
80.18,82.08,79.99,81.91,79.35,340039
82.0,82.0,79.6,80.41,77.89,369317
80.89,81.4,79.23,79.53,77.04,266581
