1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
21.8333,22.6667,21.6667,22.6667,22.6667,90.0,0.0,1.0
22.8333,22.8333,22.0,22.0,22.0,0.0,0.0,1.0
21.6667,21.6667,21.1667,21.1667,21.1667,210.0,0.0,1.0
21.1667,21.6667,21.1667,21.6667,21.6667,0.0,0.0,1.0
22.0,22.3333,21.6667,22.0,22.0,600.0,0.0,1.0
22.3333,22.6667,22.3333,22.5,22.5,213.0,0.0,1.0
22.3333,22.3333,21.6667,21.6667,21.6667,0.0,0.0,1.0
21.6667,21.6667,21.5,21.5,21.5,0.0,0.0,1.0
21.6667,21.6667,21.6667,21.6667,21.6667,0.0,0.0,1.0
22.0,22.3333,22.0,22.3333,22.3333,0.0,0.0,1.0
22.6667,23.1667,22.5,22.6667,22.6667,4500.0,0.0,1.0
22.6667,23.1667,22.6667,23.1667,23.1667,132.0,0.0,1.0
22.9167,22.9167,22.0,22.0,22.0,120.0,0.0,1.0
21.6667,21.6667,21.6667,21.6667,21.6667,0.0,0.0,1.0
21.6667,21.6667,21.5,21.5,21.5,0.0,0.0,1.0
21.5,21.5,21.3333,21.3333,21.3333,0.0,0.0,1.0
21.5,22.6667,21.5,22.6667,22.6667,0.0,0.0,1.0
22.5,22.6667,22.5,22.6667,22.6667,0.0,0.0,1.0
22.3333,22.6667,22.3333,22.6667,22.6667,0.0,0.0,1.0
22.3333,22.3333,21.3333,21.3333,21.3333,0.0,0.0,1.0
21.6667,22.3333,21.6667,22.1667,22.1667,30.0,0.0,1.0
22.0,22.3333,22.0,22.3333,22.3333,0.0,0.0,1.0
22.3333,23.1667,22.3333,22.6667,22.6667,210.0,0.0,1.0
22.6667,22.6667,22.3333,22.3333,22.3333,60.0,0.0,1.0
22.5,22.5,22.1667,22.1667,22.1667,1200.0,0.0,1.0
22.4,23.3333,22.4,22.5,22.5,1200.0,0.0,1.0
22.3333,22.55,22.2333,22.55,22.55,300.0,0.0,1.0
22.3333,23.3333,22.3333,23.3333,23.3333,2400.0,0.0,1.0
22.7333,23.3333,22.7333,23.3333,23.3333,0.0,0.0,1.0
22.6667,23.6667,22.6667,23.3667,23.3667,108.0,0.0,1.0
23.3333,24.0333,23.3333,23.3333,23.3333,240.0,0.0,1.0
23.6667,23.6667,23.6667,23.6667,23.6667,300.0,0.0,1.0
23.8333,23.8333,22.6667,22.6667,22.6667,0.0,0.0,1.0
22.6667,22.6667,22.3333,22.3333,22.3333,0.0,0.0,1.0
22.3333,22.6667,22.3333,22.6667,22.6667,0.0,0.0,1.0
22.5,22.6667,22.1667,22.1667,22.1667,228.0,0.0,1.0
22.3333,22.3333,21.6667,21.6667,21.6667,0.0,0.0,1.0
21.6667,22.0,21.6667,21.6667,21.6667,174.0,0.0,1.0
21.6667,21.6667,20.8333,21.1667,21.1667,4800.0,0.0,1.0
20.6667,21.0,20.6667,20.8333,20.8333,300.0,0.0,1.0
21.0,21.0,20.5,20.5,20.5,150.0,0.0,1.0
20.3333,20.3333,20.1667,20.1667,20.1667,600.0,0.0,1.0
20.6667,20.6667,20.1667,20.1667,20.1667,0.0,0.0,1.0
20.6667,20.6667,20.3333,20.3333,20.3333,45.0,0.0,1.0
20.3333,20.8333,20.3333,20.6667,20.6667,174.0,0.0,1.0
20.6667,20.6667,20.6667,20.6667,20.6667,0.0,0.0,1.0
20.6667,20.6667,20.6667,20.6667,20.6667,300.0,0.0,1.0
20.3333,20.3333,20.0,20.3333,20.3333,900.0,0.0,1.0
20.6667,21.3333,20.3333,21.3333,21.3333,600.0,0.0,1.0
21.6333,21.6333,20.6667,20.6667,20.6667,300.0,0.0,1.0
20.5,21.0,20.1667,20.1667,20.1667,300.0,0.0,1.0
21.3333,21.3333,20.6667,20.8333,20.8333,210.0,0.0,1.0
21.0,21.5,21.0,21.0667,21.0667,900.0,0.0,1.0
21.0,21.3333,21.0,21.1667,21.1667,240.0,0.0,1.0
21.1667,21.5,21.1667,21.3333,21.3333,90.0,0.0,1.0
20.6667,21.5,20.6667,21.3333,21.3333,300.0,0.0,1.0
21.3333,21.6667,21.3333,21.3333,21.3333,600.0,0.0,1.0
21.8,22.6667,21.8,22.5,22.5,1200.0,0.0,1.0
23.0,23.7667,22.6667,23.5,23.5,900.0,0.0,1.0
