Open,High,Low,Close,Adj Close,Volume
94.71,94.71,91.76,92.25,77.2,2376296
93.42,93.5,90.63,91.82,76.84,1533191
91.0,91.0,87.14,88.78,74.3,2301978
85.3,86.0,83.52,85.44,71.51,2812427
86.16,87.14,83.41,83.44,69.83,1969156
83.11,85.59,82.88,83.14,69.58,1832479
83.6,86.5,83.27,84.85,71.01,1766974
86.26,86.64,82.1,82.89,69.37,2155809
82.0,82.11,78.06,80.11,67.04,3759382
79.64,80.82,76.58,78.02,65.3,3031976
77.98,79.7,76.77,78.1,65.36,1434581
80.2,80.33,78.5,78.86,66.0,1797236
76.3,77.3,75.46,76.77,64.25,2233135
76.4,79.33,75.99,78.7,65.86,2139284
80.52,80.96,79.59,79.71,66.71,1988186
80.31,80.31,78.34,78.92,66.05,1448731
77.35,80.12,76.19,79.4,66.45,1560186
79.13,79.96,78.04,79.96,66.92,1239918
79.18,80.59,77.3,77.62,64.96,1860762
78.84,78.9,75.72,76.66,64.16,2448748
76.89,77.0,74.23,75.47,63.16,2236348
75.22,75.4,73.69,74.03,61.96,1593641
73.4,74.81,71.5,72.7,60.84,2686190
72.11,72.49,69.38,71.49,59.83,3232030
71.6,73.85,71.18,72.41,60.6,1967856
72.76,73.28,69.04,69.3,58.0,2041244
69.41,69.7,66.86,67.83,56.77,2402454
68.23,70.17,67.64,69.08,57.81,2283727
68.32,68.46,66.0,67.18,56.22,2124925
68.13,70.79,67.39,70.26,58.8,2671779
72.59,73.95,71.98,73.08,61.16,2120795
74.1,74.49,72.14,72.82,60.94,1885957
73.3,75.89,73.15,75.39,63.09,1660922
76.15,76.64,74.2,75.35,63.06,1585166
74.65,75.36,73.24,73.83,61.79,1632695
74.93,75.76,74.81,75.2,62.94,1274010
74.51,74.87,72.94,73.14,61.21,1294713
73.0,73.21,68.94,70.2,58.75,2313335
71.12,71.98,70.01,71.3,59.67,1353706
72.45,74.79,72.22,73.89,61.84,1568411
73.05,75.37,72.61,75.15,62.89,1726466
75.27,78.61,75.0,78.31,65.54,2189791
78.96,80.52,78.85,80.43,67.31,1998270
80.88,81.93,80.05,81.15,67.91,1571274
81.67,83.3,80.9,82.63,69.15,1715750
82.25,82.96,80.62,81.87,68.52,1192838
80.63,81.71,79.09,80.02,66.97,1861677
79.78,81.95,77.5,78.54,65.73,4328693
78.8,81.75,75.36,75.42,63.12,3855851
77.11,79.34,76.76,78.72,65.88,2289482
80.01,81.35,79.57,80.23,67.14,2004485
80.0,80.67,78.81,79.56,66.58,1565677
80.01,83.51,80.0,82.63,69.15,3191563
83.5,83.5,79.12,81.02,67.81,2512867
81.15,81.99,80.56,81.58,68.27,2973056
80.9,82.56,80.35,81.2,67.96,1357408
80.5,81.56,79.4,81.38,68.11,1478225
81.98,82.75,80.41,81.06,67.84,1279003
80.82,80.98,79.24,79.58,66.6,1506755
79.58,80.75,79.43,80.45,67.33,1243995
80.84,82.87,80.53,82.11,68.72,1457943
82.0,82.22,80.63,80.7,67.54,1537700
79.6,79.73,77.26,78.0,65.28,2215091
77.64,78.44,76.57,77.54,64.89,1766999
76.1,76.19,74.6,74.63,62.46,2052746
75.0,75.19,73.56,75.0,62.77,1659586
75.4,75.5,73.3,73.85,61.81,1708302
74.06,75.35,74.06,74.3,62.18,1284426
74.34,75.6,73.66,74.79,62.59,1165326
75.12,75.64,73.94,75.35,63.06,1320701
76.95,78.77,76.48,78.0,65.28,2267654
78.4,79.2,78.1,79.2,66.28,1718337
79.01,79.18,77.62,78.37,65.59,1495738
78.27,80.86,77.8,80.41,67.3,1869912
81.04,83.2,80.91,83.07,69.52,2054926
82.48,84.46,81.99,84.02,70.32,1922678
84.4,85.07,83.26,84.15,70.43,1823710
81.83,83.62,81.26,82.78,69.28,2129746
83.0,83.29,81.87,81.94,68.58,2338947
82.3,83.63,82.28,82.6,69.13,1400989
82.9,83.65,82.62,83.36,69.76,1214112
82.93,84.15,81.89,83.94,70.25,1766563
83.21,84.07,80.5,80.5,67.37,2252489
81.32,82.73,80.99,81.12,67.89,1531004
79.92,79.92,77.77,78.03,65.3,3093464
78.05,78.43,76.0,76.45,63.98,2096952
76.69,76.69,75.0,75.53,63.21,1480636
75.48,76.06,74.41,75.69,63.35,2446801
76.73,77.35,75.82,76.52,64.04,1624828
77.53,78.25,77.16,78.01,65.29,1783410
78.06,78.4,76.6,76.9,64.36,1307035
76.71,77.34,75.39,75.72,63.37,2708165
72.85,73.94,72.25,73.77,64.46,2570526
