Open,High,Low,Close,Adj Close,Volume
219.1,219.1,214.55,215.3,192.21,449973
218.75,220.1,212.95,216.65,193.41,431218
214.85,215.65,208.35,209.8,187.3,399323
201.75,205.55,198.75,204.7,182.74,600922
206.75,210.25,202.8,202.8,181.05,529144
198.35,206.0,196.1,201.3,179.71,529376
201.5,208.0,201.5,205.2,183.19,441112
208.45,209.0,200.0,200.8,179.26,433524
199.0,199.3,192.4,196.25,175.2,810372
195.55,196.85,188.15,191.5,170.96,795494
190.75,194.35,189.5,192.9,172.21,407337
196.8,197.35,193.95,194.4,173.55,385903
190.0,190.25,187.05,189.25,168.95,604561
189.85,195.75,189.15,194.0,173.19,569194
197.8,198.85,196.05,196.75,175.65,383408
198.15,198.15,194.8,196.1,175.07,262982
193.2,198.8,191.55,197.5,176.32,311386
196.0,199.8,195.8,199.6,178.19,337270
198.35,201.0,193.05,193.5,172.74,353728
196.45,196.7,190.8,192.6,171.94,480826
192.0,193.0,188.75,190.7,170.25,507271
191.15,191.6,186.65,188.25,168.06,544329
187.85,191.85,185.0,187.45,167.34,559001
190.05,190.2,179.45,183.8,164.09,666752
183.0,188.2,182.35,183.8,164.09,497856
184.8,186.2,177.8,179.6,160.34,517078
179.2,181.85,175.95,179.35,160.11,710469
180.4,185.7,177.95,183.2,163.55,683814
181.0,181.2,175.6,177.3,158.28,506779
178.7,180.4,176.1,178.95,159.76,517607
183.4,185.6,182.85,184.35,164.58,355514
183.4,186.35,180.55,182.75,163.15,497885
182.8,188.1,182.5,187.15,167.08,357899
187.75,188.25,183.55,186.4,166.41,424664
186.75,188.15,185.9,187.65,167.52,335777
189.85,191.95,189.65,190.2,169.8,346888
188.4,189.1,186.1,187.05,166.99,315888
186.9,187.35,176.9,178.5,159.35,630594
180.6,181.0,177.7,178.9,159.71,468299
181.1,184.05,179.25,181.7,162.21,489717
179.85,184.8,179.4,184.6,164.8,541897
185.9,192.4,184.8,191.5,170.96,529119
192.4,195.45,189.75,192.85,172.16,513409
193.25,206.55,192.4,201.85,180.2,852829
203.7,203.8,196.9,198.2,176.94,585080
197.75,198.0,194.65,197.6,176.41,277248
196.2,196.9,193.3,194.45,173.59,405927
194.05,196.9,193.3,195.05,174.13,337207
195.25,196.5,184.65,184.85,165.02,788150
188.5,192.8,187.45,191.25,170.74,413167
193.85,195.9,191.9,194.25,173.41,264729
193.55,194.85,191.85,192.4,171.76,284715
192.65,197.15,192.65,196.65,175.56,351942
198.2,198.2,191.0,193.3,172.57,427435
193.25,196.25,192.5,195.65,174.66,613229
193.8,198.25,193.3,196.15,175.11,386732
