Open,High,Low,Close,Adj Close,Volume
75.26,75.26,73.25,73.64,59.14,6727275
74.45,74.52,72.64,73.63,59.13,3786297
73.0,73.23,70.68,71.76,57.63,5168968
69.0,69.27,68.0,69.0,55.41,8261207
69.99,70.77,68.14,68.19,54.76,5717168
68.1,70.0,67.75,68.13,54.71,4609716
68.54,70.47,68.31,69.14,55.53,4398845
70.57,70.94,67.8,68.24,54.8,4599572
67.05,67.08,63.84,65.81,52.85,10950969
65.92,66.49,63.51,64.53,51.82,8193955
64.5,65.93,63.78,64.92,52.14,4642741
66.58,66.9,65.28,65.53,52.63,4689274
64.0,64.52,62.82,63.81,51.25,6507955
64.0,66.38,63.35,65.62,52.7,6398233
67.27,67.35,66.13,66.23,53.19,5354813
66.71,66.88,64.6,65.1,52.28,4685154
63.0,65.5,62.73,65.09,52.27,5476929
64.91,65.93,64.27,65.93,52.95,3437769
65.59,66.62,63.58,63.89,51.31,5146466
65.04,65.05,63.15,64.16,51.53,5146869
64.23,64.5,62.46,63.74,51.19,4043689
63.75,63.92,62.48,62.83,50.46,5550114
62.61,64.33,61.84,62.97,50.57,8368367
59.95,61.41,59.16,60.94,48.94,13178704
61.9,62.59,60.5,61.29,49.22,7660409
61.55,61.97,59.1,59.36,47.67,6993682
59.19,60.03,57.72,59.15,47.5,7513766
59.5,60.26,58.36,59.3,47.62,6378573
58.66,60.04,57.01,58.83,47.25,7314063
59.44,61.25,59.26,60.91,48.92,6194534
62.78,63.42,62.26,62.8,50.43,4847538
63.54,63.67,61.69,62.33,50.06,3631662
62.73,65.23,62.6,64.86,52.09,5332712
65.5,65.86,64.15,64.72,51.98,5131519
62.02,63.8,62.0,63.37,50.89,5782771
64.2,64.7,64.1,64.39,51.71,3410439
64.01,64.21,62.6,62.85,50.47,4309412
62.85,62.91,59.67,60.28,48.41,5966101
61.17,61.69,59.67,60.77,48.8,4743709
61.8,63.29,61.42,62.65,50.31,5322849
61.73,63.24,61.4,63.1,50.67,4205167
62.89,64.86,62.68,64.69,51.95,4037644
65.28,66.53,65.1,66.39,53.32,4623483
66.66,67.12,65.52,66.65,53.53,3445617
67.15,67.72,66.45,67.3,54.05,4370997
67.1,67.46,66.01,66.98,53.79,2659735
66.12,66.51,64.52,65.05,52.24,5379390
65.04,66.28,64.35,65.28,52.43,5464600
65.3,67.6,62.36,62.56,50.24,9273469
63.97,65.28,63.53,65.09,52.27,4118025
66.32,67.29,65.78,66.28,53.23,4659120
66.14,66.87,65.84,66.43,53.35,3847765
67.13,68.16,66.99,67.65,54.33,5149462
68.5,68.52,65.21,66.63,53.51,5172393
66.65,67.45,66.17,67.27,54.02,12196941
67.09,68.39,66.36,66.68,53.55,3594096
66.13,66.95,65.15,66.95,53.77,3901591
67.48,68.25,66.8,67.28,54.03,4952401
67.2,67.2,65.74,65.86,52.89,4241917
66.84,66.97,65.47,66.35,53.28,3536016
66.76,68.4,66.75,67.93,54.55,4317904
67.8,68.06,67.12,67.37,54.1,4836573
66.9,66.91,65.43,65.88,52.91,6164143
66.02,66.49,65.07,65.4,52.52,4730263
64.7,64.7,62.91,63.1,50.67,7781240
63.81,63.93,61.78,62.5,50.19,9900926
60.04,60.61,59.07,59.52,50.42,7746968
59.83,60.46,59.6,59.62,50.51,4859834
59.53,60.93,58.9,60.5,51.25,3797200
60.69,61.3,60.0,61.3,51.93,3428309
62.33,63.7,62.19,63.5,53.79,5072362
63.51,63.88,63.19,63.86,54.1,3212697
63.49,63.66,62.39,62.51,52.95,4849700
61.63,63.84,61.45,63.51,53.8,3933160
63.8,65.92,63.42,65.64,55.61,6463263
65.18,66.41,64.93,66.13,56.02,4349734
66.27,66.95,65.8,66.66,56.47,5087863
