Open,High,Low,Close,Adj Close,Volume
79.77,79.77,77.51,78.03,70.62,1020424
79.22,79.36,77.55,77.79,70.41,528536
77.29,77.29,76.07,76.82,69.53,492932
75.5,75.67,74.22,74.99,67.87,728164
75.36,76.3,74.39,74.39,67.33,568509
74.39,75.6,74.03,74.62,67.54,494248
74.55,76.88,74.32,76.39,69.14,742721
77.28,78.77,76.24,76.37,69.12,780325
76.0,76.7,75.1,76.4,69.15,973442
76.5,76.98,74.18,75.07,67.94,1410805
74.72,75.72,74.51,74.93,67.82,534786
76.88,76.88,75.3,75.48,68.32,602637
73.95,74.35,72.36,73.14,66.2,763343
73.09,74.72,72.98,74.31,67.26,742247
75.9,76.2,75.45,75.87,68.67,711589
77.34,77.94,76.54,77.0,69.69,842888
75.87,76.7,75.47,76.44,69.18,705116
77.82,79.01,77.2,79.01,71.51,876115
78.36,79.3,76.52,76.85,69.56,518576
77.58,78.61,77.3,78.61,71.15,538565
78.65,78.94,77.9,78.94,71.45,486240
78.94,79.05,78.25,78.68,71.21,561976
78.7,79.6,78.0,79.09,71.58,761001
80.3,80.54,77.38,77.5,70.14,779348
77.09,77.64,75.74,75.86,68.66,748512
75.9,76.04,72.69,72.93,66.01,886214
72.8,72.89,70.46,71.5,64.71,1121936
71.99,74.27,71.74,73.15,66.21,771563
72.16,72.16,69.88,69.88,63.25,1026240
70.21,71.44,69.8,71.41,64.63,766965
73.09,74.15,72.71,73.82,66.81,591614
73.87,74.06,71.94,72.38,65.51,617693
72.16,73.34,72.12,73.01,66.08,690158
74.84,77.59,74.77,75.01,67.89,1044161
75.01,75.43,73.67,74.32,67.27,660737
75.29,76.36,75.07,76.34,69.09,733981
76.73,83.0,75.79,78.8,71.32,2868134
78.92,79.59,75.54,76.14,68.91,1262870
77.07,77.84,76.53,77.01,69.7,852466
78.03,78.82,77.22,78.23,70.8,819658
77.42,77.81,75.41,76.17,68.94,787761
75.66,77.9,74.92,76.87,69.57,1133941
76.45,78.55,76.02,78.22,70.8,877710
78.37,78.42,77.06,78.2,70.78,572775
77.55,78.29,76.15,76.62,69.35,675785
76.09,76.6,74.74,75.31,68.16,663009
75.44,75.44,74.25,74.61,67.53,486121
74.41,75.93,74.4,74.88,67.77,408593
74.9,76.36,74.25,74.25,67.2,597384
75.67,75.85,74.85,75.6,68.42,495479
76.33,76.48,75.33,76.0,68.79,407822
75.82,76.36,75.3,75.75,68.56,385076
76.5,77.12,75.66,75.87,68.67,575749
76.85,77.01,74.34,74.53,67.46,581624
74.64,74.64,73.0,73.95,66.93,1362574
73.37,74.06,72.13,72.66,65.76,595363
72.52,73.4,70.9,73.2,66.25,542392
73.11,73.73,73.0,73.62,66.63,548658
73.47,74.59,73.36,73.92,66.9,667291
74.51,74.98,73.6,74.0,66.98,457907
74.12,75.03,74.12,74.74,67.65,449721
74.43,75.15,74.23,74.99,67.87,565923
74.04,74.55,72.4,74.35,67.29,612570
74.14,75.2,73.71,74.38,67.32,342640
73.76,73.76,72.58,72.58,65.69,429910
72.8,73.2,72.35,73.03,66.1,286050
72.92,73.34,71.14,71.55,64.76,359596
72.9,73.03,71.45,71.68,64.88,413136
71.22,71.72,70.61,71.31,64.54,454738
71.18,71.19,70.17,71.18,64.42,392515
71.81,72.6,70.9,72.6,65.71,630023
73.18,73.25,72.39,72.88,65.96,492007
72.98,72.99,72.15,72.48,65.6,450274
71.65,72.4,71.61,72.17,65.32,558376
72.64,73.83,71.9,73.51,66.53,768007
73.47,74.18,73.27,74.01,66.99,356428
74.3,74.83,73.73,74.38,67.32,387778
74.15,75.62,73.77,75.05,67.93,453202
75.0,75.77,74.58,74.72,67.63,501473
75.05,75.49,74.57,74.8,67.7,354829
75.29,76.13,74.43,75.52,68.35,327198
75.0,75.45,74.0,74.55,67.47,373891
73.65,73.97,71.69,71.69,64.89,629633
71.26,71.63,70.8,71.15,64.4,482821
70.81,71.09,70.32,70.67,63.96,426116
70.62,76.34,70.32,74.78,67.68,1728101
74.92,76.39,74.54,75.14,68.01,636506
75.28,75.28,73.57,74.03,67.0,585561
74.95,75.48,74.44,75.3,68.15,407401
75.94,76.24,75.37,76.0,68.79,507396
76.14,76.46,75.83,76.41,69.16,715839
74.34,75.9,73.79,75.19,70.12,797036
74.35,76.57,74.25,75.54,70.44,772287
76.15,77.02,75.35,76.09,70.96,556402
75.35,76.95,75.22,76.76,71.58,492504
77.1,77.1,75.92,75.95,70.83,335561
76.38,77.29,76.38,76.66,71.49,401784
76.96,77.56,76.18,76.51,71.35,318747
75.81,77.89,75.81,77.77,72.52,483617
78.5,79.38,77.95,79.3,73.95,486531
78.8,79.36,78.75,79.07,73.74,319771
78.89,79.21,78.73,79.19,73.85,273365
79.08,79.55,78.95,79.21,73.87,150227
79.29,80.0,78.75,78.75,73.44,801699
78.65,80.05,78.51,79.5,74.14,432046
79.68,80.04,78.97,79.18,73.84,450549
79.28,79.63,78.02,78.4,73.11,364921
78.39,78.8,78.11,78.36,73.07,275779
78.52,79.2,78.42,79.19,73.85,377446
78.75,79.33,78.65,79.05,73.72,271976
78.84,78.94,78.27,78.6,73.3,289566
78.2,78.35,76.7,77.0,71.81,469354
75.73,76.22,74.64,74.64,69.6,694620
74.07,74.52,73.68,73.68,68.71,537347
74.3,74.3,72.78,72.8,67.89,622887
71.68,72.44,70.93,72.25,67.38,734483
72.85,74.19,72.85,74.19,69.19,788599
75.76,77.78,75.67,77.78,72.53,584011
77.56,79.48,77.39,79.26,73.91,695767
79.59,80.78,79.07,80.32,74.9,837591
80.39,82.14,79.62,81.65,76.14,758813
73.0,78.0,72.8,74.09,69.09,1781259
74.5,75.3,70.24,70.63,65.87,1279806
72.0,74.31,71.71,73.67,68.7,625768
74.53,74.84,73.61,73.91,68.92,499451
73.9,74.19,72.49,73.54,68.58,570547
74.1,74.27,72.0,73.19,68.25,505771
73.43,73.55,72.32,72.32,67.44,363892
71.81,71.83,69.76,70.0,65.28,735634
69.72,70.67,69.6,70.43,65.68,614247
70.99,71.39,70.39,70.5,65.74,489666
69.78,72.16,69.33,71.96,67.11,634943
72.9,73.8,72.14,73.73,68.76,530274
73.24,74.9,73.2,74.81,69.76,465958
74.36,75.75,74.3,74.88,69.83,445945
75.45,76.08,75.32,76.04,70.91,426909
75.31,76.2,74.42,75.43,70.34,523182
75.24,76.95,75.08,76.63,71.46,470001
76.04,76.53,75.24,75.27,70.19,467094
75.3,76.35,75.09,75.24,70.16,504022
75.14,75.31,73.24,73.94,68.95,524955
73.64,73.86,73.11,73.32,68.37,245846
73.56,74.15,73.08,73.96,68.97,240630
73.4,73.7,73.0,73.46,68.5,161162
73.65,75.0,73.47,74.0,69.01,178662
74.04,75.92,74.01,74.5,69.47,328796
74.94,75.22,74.27,75.11,70.04,247366
74.64,75.55,73.98,75.0,69.94,245536
74.95,74.95,74.32,74.32,69.31,185243
74.0,74.5,73.71,74.01,69.02,245634
74.1,74.36,73.48,73.67,68.7,281024
73.73,74.25,73.3,74.1,69.1,330699
74.1,74.39,73.8,74.11,69.11,276282
74.0,75.61,73.58,75.61,70.51,492048
75.5,75.8,74.84,75.35,70.27,374870
75.25,75.9,75.19,75.78,70.67,280622
75.37,75.91,74.98,75.65,70.55,315267
74.12,75.99,73.66,75.49,70.4,238025
74.98,75.25,73.71,74.84,69.79,176999
75.08,75.89,74.7,75.67,70.57,190370
75.1,76.99,74.24,76.99,71.8,270104
76.0,76.5,75.14,76.18,71.04,104254
75.82,76.61,74.22,74.33,69.32,115336
74.32,75.65,73.7,75.65,70.55,67633
75.2,76.4,73.86,73.86,68.88,80425
73.58,74.07,72.07,73.61,68.64,80777
73.74,73.8,72.61,73.15,68.22,61887
73.07,74.01,72.42,73.0,68.08,91068
72.95,74.25,72.53,73.31,68.36,68805
73.1,73.4,71.63,71.63,66.8,175437
71.99,73.65,71.76,73.06,68.13,93912
73.16,73.94,73.16,73.91,68.92,46629
73.73,74.2,73.43,73.54,68.58,66334
73.0,74.0,73.0,73.25,68.31,49003
73.18,73.46,71.84,72.33,67.45,94110
72.12,73.25,72.12,72.7,67.8,80554
72.39,72.91,71.5,71.94,67.09,69593
71.5,71.99,70.8,71.68,66.84,104782
71.99,71.99,70.35,71.94,67.09,99543
71.98,72.19,70.9,70.9,66.12,138129
70.5,71.59,70.46,71.12,66.32,108697
71.99,72.16,70.16,70.16,65.43,249134
70.72,71.85,70.12,71.19,66.39,97602
71.26,73.67,71.26,72.52,67.63,136850
73.1,75.0,72.68,73.11,68.18,124290
73.22,74.56,73.22,73.79,68.81,109994
73.73,74.59,72.31,72.52,67.63,115924
72.01,72.7,71.06,71.9,67.05,157530
72.49,72.49,70.6,71.22,66.42,158951
71.64,72.25,70.51,71.05,66.26,112027
72.36,72.36,70.95,71.28,66.47,65033
70.51,70.71,69.11,69.47,64.78,169873
68.9,70.94,68.9,70.06,65.33,222086
70.0,70.78,69.3,70.0,65.28,95954
70.0,70.94,69.71,69.99,65.27,108991
69.9,70.14,68.33,68.57,63.94,97327
69.55,69.55,68.51,68.62,63.99,79877
68.22,69.75,68.22,69.05,64.39,98161
68.96,69.27,68.43,68.57,63.94,64700
68.2,68.54,67.08,67.74,63.17,124983
67.55,68.68,67.51,68.25,63.65,67598
68.5,68.5,67.25,67.26,62.72,66820
67.1,68.28,66.66,67.31,62.77,111459
68.0,68.0,67.2,67.45,62.9,131854
67.5,67.81,66.87,67.03,62.51,160910
67.15,67.25,66.49,66.84,62.33,94009
66.9,67.81,66.9,67.56,63.0,63235
68.0,68.39,67.81,67.81,63.24,90890
67.66,68.04,66.9,67.48,62.93,42606
67.47,67.91,67.06,67.67,63.11,50736
67.51,68.16,67.18,68.01,63.42,112001
68.5,68.5,67.26,68.07,63.48,92200
68.2,68.79,67.86,67.92,63.34,133752
67.27,67.75,67.0,67.64,63.08,106966
67.64,67.64,66.75,67.0,62.48,190332
66.39,66.77,66.11,66.22,61.75,84314
66.87,68.58,66.87,68.47,63.85,59498
68.33,68.9,67.2,68.01,63.42,65079
66.5,70.13,66.2,69.95,65.23,160050
69.96,74.05,69.93,73.19,68.25,257080
