Open,High,Low,Close,Adj Close,Volume
19.55,19.7,18.97,19.14,18.41,10874965
19.72,19.72,19.14,19.45,18.7,7489151
19.34,19.54,19.1,19.29,18.55,7130077
18.87,19.01,18.41,18.88,18.15,11562341
18.9,19.13,18.27,18.27,17.56,8803405
18.15,18.81,18.15,18.48,17.77,8905912
18.58,19.04,18.45,18.76,18.03,7081251
18.95,19.26,18.53,18.65,17.93,6785053
18.33,18.37,17.57,17.85,17.17,15700993
17.84,17.97,17.01,17.12,16.46,12560094
17.02,17.22,16.46,16.56,15.92,11449086
17.02,17.24,16.76,16.83,16.19,7935436
16.33,16.51,15.72,15.82,15.21,13066894
15.17,15.37,14.31,15.28,14.7,28278920
15.58,15.91,15.37,15.69,15.09,14548338
15.86,15.86,14.73,14.82,14.25,13818236
14.57,15.3,14.26,15.28,14.69,13431144
15.3,15.33,14.99,15.27,14.68,8139985
15.04,15.27,14.35,14.44,13.88,15320486
14.72,14.77,14.25,14.64,14.07,14981327
14.72,14.82,14.49,14.57,14.01,12979470
14.52,14.52,13.94,14.0,13.46,16426748
13.83,13.83,13.04,13.16,12.65,21655761
13.43,13.71,13.13,13.52,13.0,16876896
13.49,13.88,13.31,13.63,13.1,15612485
13.7,13.72,12.02,12.33,11.86,25800026
12.58,13.0,11.63,11.81,11.35,25952098
12.31,13.77,12.05,13.01,12.51,32044995
12.76,12.76,11.72,12.21,11.74,28154950
12.52,13.73,12.44,13.66,13.13,31092656
14.31,14.32,13.42,13.62,13.09,18397091
13.72,13.73,12.77,13.58,13.06,16985671
13.55,14.52,13.42,14.44,13.89,16039569
14.54,14.55,13.74,13.84,13.31,15208586
13.76,14.06,13.37,13.57,13.04,15485949
13.67,14.14,13.63,14.1,13.56,11725911
13.99,14.15,13.56,13.58,13.06,12509752
13.54,13.63,13.0,13.07,12.57,12706369
13.28,13.59,13.19,13.42,12.91,12043775
13.61,14.27,13.59,14.2,13.65,11515976
14.02,14.28,13.7,14.27,13.72,9957493
14.2,14.6,14.06,14.58,14.02,8674293
14.73,15.41,14.7,15.33,14.74,13822547
15.45,15.97,15.29,15.74,15.14,12688842
15.89,16.14,15.72,16.08,15.46,13848315
15.98,16.06,15.34,15.83,15.22,9633731
15.54,15.92,15.34,15.5,14.9,10473643
15.44,15.77,15.22,15.37,14.78,9383538
15.38,16.65,15.2,15.24,14.65,27087520
15.54,16.4,15.53,16.37,15.74,18173463
16.62,16.81,16.41,16.54,15.9,12963522
16.42,16.52,15.98,16.11,15.49,11014044
16.16,16.21,15.11,15.4,14.8,19573041
15.57,15.61,14.49,15.08,14.5,16002429
15.14,15.49,14.74,15.24,14.65,19169940
15.12,15.59,14.94,15.1,14.52,8668178
14.92,14.92,14.52,14.91,14.34,10304457
14.99,15.11,14.36,14.48,13.92,11102502
14.35,14.45,13.86,13.94,13.4,11254261
14.03,14.21,13.53,13.71,13.19,8549933
13.84,14.02,13.51,13.53,13.01,11945183
13.44,13.52,13.18,13.34,12.83,12659339
13.16,13.72,13.08,13.31,12.8,11958531
13.27,13.41,13.05,13.21,12.7,9900721
12.94,12.95,12.53,12.54,12.06,12055089
12.58,12.9,12.46,12.64,12.16,13405850
12.67,12.71,12.2,12.27,11.8,11903739
12.25,12.62,12.25,12.49,12.01,11331778
12.5,12.81,12.34,12.5,12.01,11724513
12.58,12.68,12.16,12.48,12.0,13892225
12.71,13.71,12.68,13.71,13.19,21256711
13.74,13.94,13.46,13.76,13.23,13402811
13.66,13.73,13.44,13.7,13.17,7766528
13.43,14.01,13.31,13.95,13.41,9695625
14.06,14.3,13.91,13.96,13.42,10816855
13.95,14.73,13.86,14.67,14.11,13619965
14.74,15.18,14.68,14.92,14.34,13037300
14.86,15.14,14.8,14.99,14.42,8376534
15.01,15.09,14.24,14.35,13.8,10824362
14.4,14.85,14.27,14.67,14.11,9579453
14.71,15.03,14.68,14.9,14.33,8968626
15.08,15.65,14.93,15.49,14.9,15189815
15.31,15.34,14.7,14.7,14.13,12655910
14.79,14.81,14.14,14.31,13.76,8756998
14.2,14.2,13.39,13.41,12.89,14419132
13.45,13.65,13.19,13.34,12.83,11759403
13.42,13.43,12.98,13.06,12.56,8634937
12.95,13.28,12.7,13.16,12.65,12954854
13.3,13.48,13.02,13.08,12.57,8311534
13.22,13.65,13.22,13.39,12.88,9342654
13.33,13.44,12.98,13.14,12.63,9108106
13.03,13.41,12.9,12.96,12.46,8399280
12.91,13.22,12.74,13.1,12.59,8038994
12.9,13.36,12.74,12.86,12.37,12990043
12.79,13.18,12.65,13.16,12.65,10404617
