Open,High,Low,Close,Adj Close,Volume
25.41,25.41,24.99,25.23,22.03,4680951
25.64,25.64,25.05,25.22,22.02,2504942
25.03,25.1,24.77,25.09,21.91,3301841
24.1,24.48,23.98,24.33,21.24,5878929
24.33,24.52,24.06,24.06,21.01,4865038
23.92,24.33,23.72,23.73,20.71,4705148
23.85,24.25,23.64,23.98,20.94,3599143
24.25,24.31,23.62,23.69,20.68,4113560
23.5,23.57,23.07,23.39,20.42,5140934
23.35,23.49,22.52,22.72,19.84,7371603
22.68,22.94,22.61,22.69,19.81,3357342
23.09,23.34,23.02,23.09,20.16,3048760
22.67,22.84,22.21,22.37,19.53,4763718
22.33,22.93,22.31,22.78,19.89,4745769
23.25,23.57,23.1,23.43,20.46,4530559
23.49,23.49,23.1,23.24,20.29,2408452
22.56,22.75,22.05,22.6,19.73,7228580
22.69,22.69,22.11,22.52,19.66,5093818
22.49,22.57,21.92,21.97,19.18,5273075
22.3,22.4,22.06,22.33,19.5,4382384
22.4,22.48,22.11,22.3,19.47,3952616
22.15,22.18,21.72,21.84,19.07,4351694
21.81,21.87,20.97,21.17,18.49,6881022
21.45,21.5,20.69,20.89,18.24,6272176
20.84,21.34,20.77,20.99,18.33,4764911
20.97,21.07,20.03,20.1,17.55,6842105
20.0,20.14,19.64,20.0,17.46,7434352
20.16,20.67,19.92,20.46,17.86,4839360
20.08,20.11,19.55,19.73,17.22,7296135
19.84,19.92,19.65,19.87,17.35,6115943
20.27,20.95,20.15,20.91,18.25,5454519
21.1,21.2,20.88,21.17,18.48,5200315
21.18,21.55,21.11,21.51,18.78,3893938
21.68,21.75,21.39,21.53,18.8,3435225
21.43,21.44,20.98,21.08,18.4,4634784
21.23,21.8,21.23,21.77,19.01,3772741
21.57,21.67,21.39,21.42,18.7,2599499
21.44,21.45,20.78,20.92,18.26,3507559
21.42,22.12,21.41,21.81,19.04,5603574
22.16,22.34,21.93,22.03,19.23,3648086
21.9,21.97,21.49,21.93,19.15,3205193
21.94,22.19,21.77,22.14,19.33,3957011
22.23,22.33,21.98,22.26,19.43,3676160
22.27,22.45,22.13,22.36,19.53,2414126
22.5,22.71,22.31,22.67,19.79,3311834
22.52,22.58,22.27,22.57,19.71,2107441
22.5,24.12,22.24,23.3,20.34,9415416
23.25,23.51,22.82,22.91,20.0,6467852
23.02,23.78,22.53,22.57,19.7,7627531
22.95,23.59,22.84,23.51,20.53,4945204
23.9,24.02,23.61,23.83,20.81,4675786
23.78,23.97,23.74,23.92,20.88,2762406
23.99,24.01,23.82,24.0,20.95,3449886
24.0,24.41,23.77,24.01,20.97,4529461
24.13,24.44,23.9,24.36,21.27,9634211
24.19,24.69,24.06,24.39,21.29,3219640
24.2,24.53,23.92,24.53,21.42,3836401
24.64,24.96,24.47,24.59,21.47,4664943
24.58,24.58,24.19,24.25,21.18,3328823
24.38,24.52,23.97,24.16,21.09,2944924
24.27,25.08,24.27,25.0,21.82,4333373
24.79,24.88,24.3,24.42,21.32,4802673
24.14,24.2,23.71,23.98,20.93,4312199
23.79,24.31,23.75,24.23,21.15,2837972
23.81,23.81,23.41,23.56,20.57,4107466
23.55,23.76,23.41,23.74,20.73,3373063
23.7,23.91,23.36,23.52,20.54,3184129
23.5,24.2,23.5,24.05,20.99,3272711
24.05,24.41,23.93,24.3,21.21,3146902
24.2,24.43,24.07,24.43,21.33,3276687
24.72,25.2,24.65,25.17,21.98,5193984
25.27,25.41,25.16,25.32,22.11,3511576
25.19,25.36,25.11,25.23,22.02,3031381
24.97,25.35,24.94,25.25,22.04,2314109
25.35,25.92,25.33,25.88,22.6,4008180
25.77,26.0,25.69,25.97,22.67,2780053
26.01,26.12,25.83,26.07,22.76,3202151
26.03,26.31,25.94,26.1,22.79,2661477
26.08,26.2,25.81,26.04,22.73,2451585
26.14,26.34,25.91,25.98,22.68,2291927
25.97,26.32,25.91,26.15,22.83,2216122
26.08,26.27,25.72,26.27,22.94,2668667
25.92,26.03,25.5,25.64,22.39,4436368
25.7,26.0,25.64,25.82,22.54,1706985
25.75,25.75,25.22,25.26,22.05,4039714
25.22,25.42,25.14,25.23,22.02,2981988
25.3,25.48,25.13,25.24,22.04,1847221
25.2,25.6,25.07,25.38,22.15,3645979
25.71,26.0,25.58,25.67,22.41,2785819
25.93,26.08,25.75,25.84,22.56,3925951
26.22,26.72,26.19,26.42,23.06,6338441
26.27,26.9,26.16,26.47,23.11,4138703
26.18,26.88,26.14,26.85,23.45,3799168
26.88,27.0,26.6,26.81,23.41,4585748
26.7,27.02,26.59,27.01,23.59,4641822
26.08,26.39,25.73,25.74,23.2,5269006
26.07,26.15,25.84,25.87,23.32,3494888
25.9,26.12,25.72,25.94,23.39,3107149
25.84,26.23,25.81,26.12,23.55,3678474
25.99,26.32,25.88,26.17,23.59,4179128
26.2,26.44,26.2,26.42,23.82,2548583
26.36,26.75,26.28,26.67,24.05,3509427
26.69,26.76,26.57,26.64,24.01,1598120
26.59,26.68,26.22,26.22,23.63,4219008
26.13,26.27,26.02,26.25,23.66,3063365
26.24,26.51,26.2,26.47,23.86,2679802
26.47,26.59,25.8,26.03,23.46,3554469
26.0,26.18,25.95,26.09,23.52,2057306
26.32,26.72,26.29,26.6,23.98,3854096
26.54,26.63,26.42,26.52,23.91,1850033
26.57,26.65,26.36,26.58,23.96,3520272
26.48,26.51,25.85,25.91,23.35,4201101
25.5,25.72,25.4,25.4,22.89,3577686
25.1,25.31,25.0,25.05,22.58,3832434
25.2,25.37,25.02,25.2,22.72,3109037
24.89,25.24,24.84,25.17,22.69,3807732
25.34,25.54,25.24,25.24,22.75,6350848
25.78,26.49,25.7,26.28,23.69,4500064
26.16,26.23,25.95,25.95,23.39,4415557
26.22,26.26,25.88,25.88,23.33,2906139
26.05,26.42,25.89,26.41,23.8,4409441
24.03,25.33,24.0,24.56,22.13,10952525
24.26,24.52,23.5,23.67,21.34,7623299
24.05,24.55,24.03,24.25,21.86,4304366
24.6,24.94,24.54,24.86,22.41,3498510
24.85,25.23,24.68,25.17,22.69,4082734
25.32,25.5,25.02,25.4,22.9,3187820
25.49,25.55,25.11,25.16,22.68,1733846
24.94,25.02,24.65,24.74,22.3,3091058
24.49,24.74,24.17,24.33,21.94,3590965
24.37,24.74,24.37,24.44,22.04,2545013
24.32,24.85,24.29,24.77,22.33,2513504
25.08,25.47,24.99,25.38,22.87,2745745
25.27,25.78,25.22,25.66,23.13,2820283
25.57,25.75,25.46,25.46,22.95,1876319
25.8,25.96,25.58,25.82,23.28,2626864
25.8,25.94,25.62,25.78,23.24,2137961
25.75,25.95,25.48,25.62,23.1,2578971
25.6,25.77,25.39,25.5,22.99,2270607
