Open,High,Low,Close,Adj Close,Volume
16.35,16.35,15.9,16.04,12.28,15083311
16.25,16.33,15.89,15.99,12.24,9436857
15.88,16.15,15.81,16.09,12.32,11207194
15.7,16.11,15.48,15.99,12.24,15776405
16.05,16.23,15.76,15.76,12.06,11868126
15.65,15.92,15.65,15.66,11.99,8735026
15.6,16.1,15.52,15.89,12.16,9320857
16.07,16.28,15.86,15.91,12.18,10349713
15.76,15.8,15.39,15.69,12.01,14709728
15.63,15.81,15.18,15.39,11.78,17424751
15.32,15.55,15.12,15.26,11.68,8138003
15.56,15.6,15.41,15.55,11.9,8277511
15.12,15.19,14.72,14.9,11.4,17650585
14.97,15.5,14.95,15.36,11.76,14288033
15.65,15.9,15.58,15.85,12.13,13371811
15.88,15.97,15.72,15.93,12.19,9403837
15.57,15.93,15.49,15.84,12.12,9705491
15.78,16.1,15.76,16.1,12.32,8193396
16.02,16.05,15.48,15.55,11.9,11940883
15.76,16.01,15.69,16.01,12.26,11347472
16.03,16.03,15.82,16.01,12.26,8234108
15.92,16.23,15.85,15.94,12.2,11494336
15.82,15.84,15.47,15.64,11.97,11305482
15.85,15.91,15.35,15.48,11.85,12941585
15.51,15.53,14.79,14.89,11.4,20791414
14.93,14.97,14.21,14.3,10.95,17140078
14.28,14.57,14.15,14.44,11.06,18037030
14.61,14.85,14.44,14.59,11.17,10279499
14.38,14.44,14.01,14.27,10.92,16318753
14.49,14.6,14.28,14.57,11.15,12285212
14.85,14.97,14.62,14.66,11.22,10670781
14.7,14.75,14.48,14.58,11.16,8883918
14.57,15.06,14.56,15.02,11.5,10435968
15.1,15.48,15.08,15.37,11.76,12173732
15.43,15.47,15.08,15.23,11.66,9547211
15.35,15.68,15.33,15.66,11.99,7508304
15.52,15.59,15.35,15.35,11.75,7711172
15.3,15.38,14.92,15.02,11.5,9750354
15.15,15.54,14.76,15.34,11.74,15227706
15.66,15.77,15.25,15.35,11.75,13608733
15.22,15.47,15.12,15.47,11.84,8108274
