Open,High,Low,Close,Adj Close,Volume
75.4,75.46,74.23,74.6,69.74,924759
77.2,78.98,76.49,78.98,73.83,1256509
78.5,79.74,77.78,79.74,74.54,848332
77.35,78.73,76.35,78.05,72.96,1117850
78.23,78.67,77.39,77.5,72.45,774653
76.92,77.42,75.96,75.96,71.01,749009
75.83,77.26,75.26,77.04,72.02,642766
77.8,78.33,76.02,76.15,71.19,743060
75.68,75.72,73.33,74.53,69.67,982934
74.28,74.75,71.52,72.11,67.41,1059847
71.62,72.96,71.16,71.72,67.05,454312
73.15,74.14,72.93,73.67,68.87,571883
71.65,72.28,71.12,71.63,66.96,812405
71.85,74.6,71.85,74.36,69.51,1209192
75.53,76.18,75.14,76.02,71.07,782360
76.23,78.34,75.99,77.93,72.85,762145
76.8,78.09,76.55,78.09,73.0,514049
79.0,81.59,78.31,81.35,76.05,1252526
80.56,80.77,79.0,79.02,73.87,990718
80.24,81.67,79.36,81.67,76.35,1063558
81.95,82.89,81.28,82.89,77.49,833226
82.67,82.96,81.91,82.3,76.94,796241
82.31,82.8,79.72,79.97,74.76,879956
82.06,82.09,76.82,77.48,72.43,1095839
77.13,77.55,74.26,74.45,69.6,1099531
74.37,74.44,72.03,72.36,67.65,964543
72.45,73.21,70.73,72.79,68.05,893300
73.05,75.08,72.17,74.59,69.73,812309
74.48,74.53,71.77,71.77,67.09,864960
72.1,73.81,71.19,73.81,69.0,807660
75.53,76.95,75.12,76.28,71.31,676620
76.8,76.88,75.14,75.55,70.63,559375
75.88,76.96,75.82,76.84,71.83,540605
77.02,77.92,76.41,77.42,72.38,555548
77.81,78.0,76.11,76.73,71.73,620590
77.55,77.86,77.14,77.56,72.51,525132
77.17,77.4,75.86,76.01,71.06,715254
73.72,76.26,72.93,73.73,68.93,904704
74.8,78.62,74.41,77.2,72.17,841827
78.36,79.53,77.65,78.43,73.32,737665
78.05,78.09,76.51,77.77,72.7,595787
77.37,79.42,77.18,78.78,73.65,605049
79.41,79.68,77.31,77.79,72.72,565313
77.77,77.82,75.44,75.64,70.71,780824
76.06,77.0,75.39,75.69,70.76,695252
75.2,76.15,75.07,75.67,70.74,461289
74.89,76.18,74.47,75.97,71.02,554963
76.2,76.93,75.7,75.83,70.89,565266
75.78,78.1,74.15,74.15,69.32,999202
75.0,76.16,74.5,75.99,71.04,689906
77.02,78.1,76.7,77.72,72.66,469643
77.57,77.72,76.69,77.01,71.99,347334
77.02,77.38,75.94,76.53,71.54,418045
77.06,77.86,75.11,75.51,70.59,600836
75.08,75.96,74.5,75.84,70.9,1280495
75.32,77.44,75.14,75.99,71.04,341329
75.44,76.28,74.66,76.28,71.31,460713
76.87,77.65,76.57,77.1,72.08,513026
76.69,76.93,75.94,75.98,71.03,347751
76.24,77.03,75.62,77.03,72.01,335268
77.27,78.01,77.22,77.91,72.83,411817
77.75,78.21,77.27,77.84,72.77,570035
76.72,77.11,75.74,76.83,71.82,710188
77.36,78.67,77.0,78.26,73.16,509324
76.51,77.37,76.35,76.91,71.9,509338
76.95,78.22,76.54,78.22,73.12,540726
78.49,78.91,77.85,78.21,73.11,518732
78.68,78.7,77.78,78.23,73.13,504524
77.85,79.07,77.29,78.21,73.11,414933
78.16,78.57,77.36,78.34,73.24,380398
79.27,79.3,77.83,78.65,73.53,554943
79.0,79.76,78.62,78.99,73.84,555867
78.99,79.13,78.36,78.48,73.37,501823
77.86,79.52,77.78,79.36,74.19,336948
79.73,80.69,78.9,80.0,74.79,538583
79.79,80.15,78.93,79.38,74.21,350781
79.81,79.81,78.3,79.35,74.18,497669
79.22,80.44,78.97,79.05,73.9,454772
79.22,79.6,78.51,78.73,73.6,453695
78.65,79.3,77.65,77.92,72.84,547399
78.14,79.04,77.04,78.22,73.12,432273
77.55,78.43,76.26,78.26,73.16,469710
77.36,77.47,75.73,75.75,70.81,921107
75.64,76.74,75.64,76.5,71.52,380806
76.0,76.06,74.22,75.78,70.84,813905
75.5,76.11,74.59,74.59,69.73,517447
74.82,75.42,74.25,74.89,70.01,334902
74.42,74.99,73.65,74.72,69.85,594510
75.26,76.43,74.9,76.17,71.21,459809
76.37,76.59,75.39,75.67,70.74,515474
75.51,75.54,74.87,74.87,69.99,403757
74.57,75.81,74.09,74.36,69.51,450031
73.56,73.91,72.75,73.69,69.64,427460
74.66,74.87,72.54,72.64,68.65,569791
72.41,73.38,72.2,73.33,69.3,418987
73.07,73.72,72.5,73.06,69.04,360940
73.49,74.78,73.49,74.75,70.64,541688
74.9,75.53,74.18,75.0,70.88,497440
75.0,75.95,74.66,75.73,71.57,539558
76.21,77.4,76.0,77.29,73.04,514660
76.9,77.75,76.85,77.75,73.47,368319
77.53,78.51,77.37,78.34,74.03,417413
78.21,78.64,78.21,78.6,74.28,148600
78.49,78.88,77.85,78.0,73.71,670634
77.74,78.44,77.42,77.6,73.33,475743
77.51,77.59,76.75,77.01,72.78,330327
77.11,77.75,75.86,76.09,71.91,539893
76.02,76.69,75.74,76.37,72.17,250959
76.38,77.08,76.38,77.05,72.81,404105
76.76,76.85,76.1,76.55,72.34,356314
76.96,77.0,75.58,76.01,71.83,411373
75.5,75.85,73.88,73.88,69.82,541979
73.0,73.57,72.72,72.72,68.72,491950
72.4,73.07,71.84,72.67,68.67,674830
72.94,73.5,72.53,72.53,68.54,521892
71.54,72.62,71.42,72.02,68.06,565566
72.25,73.11,71.8,72.49,68.5,966600
73.93,74.77,73.84,74.07,70.0,654653
73.92,74.68,73.6,74.46,70.37,377156
75.04,75.99,74.58,75.5,71.35,515465
75.84,77.27,74.9,75.85,71.68,488834
70.56,74.94,70.0,73.66,69.61,1411345
72.97,74.15,72.72,73.43,69.39,887319
74.57,76.84,74.03,76.75,72.53,1019830
77.29,77.95,76.53,77.95,73.66,603608
77.74,78.34,77.36,78.03,73.74,787129
78.53,78.65,77.89,78.16,73.86,508735
78.13,78.75,78.1,78.4,74.09,265983
78.04,78.53,77.35,78.07,73.78,417471
77.48,78.18,76.37,76.77,72.55,606783
77.1,78.4,76.98,77.66,73.39,446139
77.91,79.15,77.6,79.08,74.73,479833
79.8,79.98,79.2,79.85,75.46,428226
79.6,79.8,78.7,78.99,74.65,452652
79.01,79.46,78.78,79.08,74.73,345815
79.83,79.84,78.59,78.68,74.35,300783
78.66,78.95,78.08,78.95,74.61,336438
78.87,79.88,78.68,79.59,75.21,428266
79.49,79.71,78.85,79.57,75.19,427047
79.95,80.99,79.94,80.82,76.38,433263
81.18,81.2,80.13,80.94,76.49,465020
80.7,80.94,79.89,80.92,76.47,309882
80.95,81.55,80.73,81.01,76.56,285361
80.83,81.83,80.83,81.64,77.15,367391
82.0,82.06,80.93,81.52,77.04,322890
81.31,82.47,81.09,82.12,77.6,661924
82.2,82.2,80.87,81.76,77.26,513359
82.39,82.73,81.72,81.93,77.42,435239
82.82,83.79,82.45,82.45,77.92,724191
82.2,82.89,81.32,81.62,77.13,687255
81.55,82.64,81.05,82.54,78.0,458379
82.5,83.25,82.2,83.17,78.6,426844
83.45,83.47,82.9,83.2,78.62,336068
83.0,85.65,82.7,85.65,80.94,581834
84.97,85.12,84.04,84.04,79.42,600528
84.44,85.24,84.21,84.95,80.28,410919
84.99,85.0,84.2,84.67,80.01,269190
84.69,85.55,84.34,84.34,79.7,297270
84.03,84.44,82.79,83.38,78.79,542292
83.46,83.64,81.79,81.79,77.29,398689
82.48,82.53,81.32,81.86,77.36,429326
82.0,82.11,76.92,78.85,74.51,1801630
79.26,81.36,79.25,80.01,75.61,946560
80.47,81.52,80.3,80.6,76.17,630665
80.25,81.22,80.16,80.65,76.22,350374
80.12,80.24,78.82,79.6,75.22,509740
79.44,79.91,78.8,79.63,75.25,328451
79.22,80.0,78.82,79.64,75.26,204408
79.85,80.61,79.82,80.16,75.75,309385
80.01,80.35,79.2,79.34,74.98,433971
79.56,79.56,77.6,77.78,73.5,477075
77.89,80.25,77.71,80.2,75.79,602556
80.55,80.94,79.79,80.07,75.67,252337
81.4,81.45,80.25,80.79,76.35,457890
80.55,80.92,80.1,80.39,75.97,405748
80.24,80.8,79.48,79.88,75.49,378938
79.52,80.57,78.81,79.01,74.67,433379
78.48,78.7,77.67,78.31,74.0,583996
79.08,79.47,78.43,78.52,74.2,496462
78.74,79.14,78.52,78.54,74.22,504995
78.26,78.55,78.06,78.46,74.15,557622
78.24,78.75,77.82,77.82,73.54,1167513
78.33,78.54,77.67,78.54,74.22,610867
78.35,79.49,78.32,79.07,74.72,508266
79.75,79.75,78.8,78.8,74.47,411710
79.45,80.48,79.11,80.36,75.94,948218
80.21,81.12,80.0,80.53,76.1,450925
80.0,80.14,78.32,78.32,74.01,575604
78.64,78.91,77.59,78.23,73.93,570919
78.34,78.94,78.09,78.16,73.86,346818
78.41,78.54,76.89,77.11,72.87,512468
76.26,77.83,75.31,77.76,73.48,755784
78.01,78.01,76.89,77.15,72.91,750939
76.73,76.87,76.07,76.09,71.91,391228
76.49,76.49,74.92,75.37,71.23,562962
75.49,75.53,74.35,74.4,70.31,921855
74.26,75.43,73.82,75.31,71.17,615264
75.25,75.91,74.66,74.88,70.76,510869
74.92,74.99,74.51,74.75,70.64,510106
74.45,75.22,74.01,75.22,71.08,596460
75.29,76.17,74.63,75.92,71.75,592946
76.08,76.37,75.0,75.11,70.98,485242
75.48,76.05,75.48,75.89,71.72,646456
75.85,76.65,75.63,76.53,72.32,475949
76.81,77.12,75.99,76.9,72.67,587849
77.05,77.05,76.03,76.03,71.85,481847
76.39,76.99,75.88,75.98,71.8,465272
76.06,76.22,74.29,74.35,70.26,756271
74.22,74.56,74.1,74.45,70.36,529950
75.6,75.8,73.08,74.43,70.34,798853
74.29,76.06,73.49,74.73,70.62,792318
74.42,74.54,73.26,74.21,70.13,828149
74.28,74.39,73.5,73.57,69.52,736907
73.58,74.33,73.21,73.71,69.66,565226
73.76,74.54,73.6,74.11,70.03,697392
73.68,73.83,73.16,73.5,69.46,679470
74.54,74.99,74.28,74.87,70.75,602105
74.89,75.98,74.56,75.0,70.88,639170
74.35,77.37,74.15,77.37,73.12,1603074
77.5,77.77,72.29,73.66,69.61,1674714
73.66,73.99,72.99,73.34,69.31,646907
73.83,73.85,71.96,72.26,68.29,837431
72.97,72.97,70.69,71.62,67.68,1138607
71.96,72.82,71.79,72.52,68.53,722785
72.37,73.48,71.84,73.34,69.31,830915
73.9,73.98,72.95,72.95,68.94,645557
73.06,73.2,72.13,73.0,68.99,590686
73.5,73.58,72.07,72.19,68.22,623397
72.43,72.94,71.89,72.3,68.32,579143
72.63,73.93,72.39,73.43,69.39,584347
73.5,74.44,73.08,74.26,70.18,483674
74.01,74.24,73.45,73.61,69.56,430246
73.55,74.0,73.15,74.0,69.93,465421
74.08,74.39,73.6,73.6,69.55,835559
73.29,73.34,71.96,72.31,68.33,620210
71.94,72.94,71.49,72.63,68.64,434210
72.35,74.12,72.35,73.02,69.0,576380
74.33,74.91,73.59,74.91,70.79,924330
75.12,75.36,73.6,73.99,69.92,1086601
74.28,75.09,73.78,74.87,70.75,723817
74.88,77.72,74.88,77.54,73.28,796110
77.55,78.02,76.6,77.63,73.36,586720
77.63,78.54,77.41,78.33,74.02,634686
78.02,78.02,76.97,77.05,72.81,557391
77.07,78.57,77.05,78.47,74.15,1107446
78.36,79.37,78.14,78.92,74.58,1229610
78.89,79.66,78.51,79.46,75.09,478440
79.7,80.57,79.7,80.57,76.14,756975
80.38,81.15,80.21,81.08,76.62,793659
80.89,81.61,80.84,81.41,76.93,442595
81.39,81.61,81.16,81.39,76.91,273261
81.48,81.9,81.48,81.75,77.25,203324
81.77,81.85,81.31,81.48,77.0,308956
80.99,81.83,80.68,81.58,77.09,223703
81.41,81.58,80.45,80.45,76.03,363122
80.5,82.24,80.5,82.2,77.68,380089
82.2,82.2,81.06,81.26,76.79,507886
81.26,81.26,80.63,80.87,76.42,501102
80.5,81.0,79.74,80.54,76.11,524049
80.37,81.06,80.29,80.6,76.17,697152
77.02,77.94,74.71,75.11,70.98,2815020
74.73,77.0,73.87,76.95,72.72,1580662
76.65,76.8,75.73,76.1,71.92,880120
75.8,75.88,75.08,75.41,71.26,812314
76.09,76.39,75.4,76.32,72.12,785504
76.37,76.75,75.96,76.47,72.26,629611
76.4,76.74,75.91,76.04,71.86,699252
76.43,76.75,76.09,76.23,72.04,637261
76.2,76.37,75.55,75.82,71.65,519555
75.77,76.07,75.47,75.72,71.56,714433
75.17,75.75,74.89,75.02,70.89,558797
75.14,75.53,74.64,74.69,70.58,480553
75.33,75.4,74.43,74.88,70.76,756743
