Open,High,Low,Close,Adj Close,Volume
100.5,100.9,98.11,98.98,91.44,681719
100.5,100.85,98.07,98.68,91.17,421071
98.02,98.38,96.56,98.18,90.7,359673
96.05,97.55,94.94,96.01,88.7,584791
96.37,97.38,95.3,95.3,88.04,517312
95.0,95.72,93.96,93.96,86.8,449435
93.82,96.13,93.2,95.66,88.38,473963
96.88,97.11,95.52,96.57,89.22,461678
96.0,96.01,94.0,94.5,87.3,520431
94.28,95.36,92.26,93.48,86.36,645553
93.53,94.04,87.89,89.64,82.81,1464615
91.14,91.71,90.5,90.93,84.01,691631
89.2,89.58,88.58,88.95,82.18,600621
88.8,90.86,88.75,90.47,83.58,759291
92.05,93.35,91.62,93.1,86.01,738415
94.09,94.49,93.39,94.49,87.29,630791
92.99,95.65,92.76,95.26,88.01,469833
95.22,95.53,94.6,95.4,88.14,391812
94.83,95.68,94.18,94.87,87.65,513394
96.48,97.77,95.82,97.77,90.32,793968
97.69,98.48,96.92,98.43,90.93,711533
98.28,98.67,97.41,98.2,90.72,660167
98.11,99.55,97.6,98.27,90.79,967769
99.93,99.93,96.34,97.33,89.92,960663
96.92,98.13,96.07,96.65,89.29,783228
96.7,96.91,94.08,94.43,87.24,769604
94.42,95.1,91.13,91.43,84.47,858423
91.76,93.55,91.3,92.72,85.66,598306
91.59,91.79,89.65,90.06,83.2,650431
90.77,91.7,90.37,91.7,84.72,639375
93.63,95.94,92.88,95.72,88.43,623463
95.87,96.66,94.79,95.4,88.14,420527
95.32,96.86,95.32,96.69,89.33,397959
96.69,98.5,96.39,97.47,90.05,616272
97.7,98.33,96.9,97.97,90.51,413697
98.44,99.76,98.26,99.17,91.62,393529
98.55,98.9,97.72,98.01,90.55,438614
98.01,98.21,94.91,95.31,88.05,562575
94.0,95.47,93.02,95.2,87.95,844352
95.99,96.48,92.25,93.51,86.39,1213276
93.07,93.11,91.19,92.84,85.77,816373
92.81,95.1,92.35,94.87,87.65,532542
95.19,95.47,93.83,94.55,87.35,567147
94.73,94.83,93.54,93.89,86.74,424480
94.44,96.4,93.83,94.97,87.74,525939
94.67,95.08,94.03,94.55,87.35,305754
94.18,95.37,93.15,94.18,87.01,597665
94.69,96.39,94.28,95.04,87.8,580811
94.63,96.6,93.1,93.1,86.01,935162
94.0,95.03,93.44,94.56,87.36,574735
95.34,96.22,95.06,95.83,88.53,466687
95.7,96.63,95.5,96.04,88.73,384807
96.45,96.6,95.73,95.81,88.51,341403
96.28,96.28,94.11,95.02,87.78,524833
95.44,95.95,94.55,95.95,88.64,958923
95.61,97.0,95.07,96.48,89.13,449670
95.47,96.11,93.75,96.1,88.78,452166
96.64,97.96,96.64,97.75,90.31,529234
97.17,97.7,96.59,96.8,89.43,497771
97.54,98.03,96.78,97.52,90.09,359393
98.33,99.65,97.9,98.93,91.4,552042
98.82,98.82,96.85,96.9,89.52,425796
95.79,96.12,93.5,95.94,88.63,632674
95.87,97.32,95.65,96.63,89.27,381660
95.31,97.09,95.31,96.7,89.34,673994
96.92,98.04,96.37,98.04,90.57,538865
98.18,98.58,97.42,97.81,90.36,558007
98.53,99.35,98.24,98.35,90.86,473471
98.63,99.75,97.81,98.48,90.98,569498
97.34,98.25,96.5,98.15,92.05,454113
99.44,99.48,98.5,98.96,92.81,520167
99.32,100.3,98.57,100.0,93.78,353533
100.0,100.3,99.32,100.05,93.83,449937
99.5,100.95,99.36,100.7,94.44,334674
101.35,104.25,101.1,104.05,97.58,611172
103.75,104.25,102.9,103.9,97.44,371243
103.9,104.25,101.75,103.5,97.07,494585
103.2,103.7,102.05,102.4,96.04,357051
102.2,102.75,101.4,101.75,95.43,296189
