Open,High,Low,Close,Adj Close,Volume
13.2,13.2,12.95,13.1,12.39,5888306
13.23,13.23,12.77,12.95,12.25,5807472
12.65,12.65,12.21,12.55,11.87,7959657
12.05,12.29,11.99,12.24,11.58,7143489
12.16,12.24,11.93,11.93,11.29,6783040
11.77,12.14,11.71,12.0,11.35,6019919
12.02,12.4,11.92,12.14,11.48,7016322
12.36,12.44,12.09,12.15,11.5,5852618
12.05,12.12,11.77,11.94,11.3,7007610
11.9,12.07,11.3,11.38,10.76,10666269
11.35,11.76,11.35,11.69,11.05,6331103
11.94,12.02,11.72,11.88,11.24,7578771
11.66,11.99,11.65,11.73,11.1,7683580
11.86,12.04,11.69,11.9,11.26,8479184
12.27,12.36,12.18,12.31,11.64,11522334
12.44,12.44,12.19,12.32,11.66,6254324
12.1,12.38,11.98,12.31,11.64,4929628
12.33,12.35,12.12,12.28,11.62,5967716
12.24,12.35,11.85,11.85,11.21,6462051
12.02,12.28,11.88,12.28,11.62,6466365
12.53,12.56,12.19,12.44,11.77,6642232
11.96,12.34,11.62,11.73,11.09,12733156
11.66,11.74,11.35,11.48,10.86,6429210
11.72,11.77,10.95,11.2,10.59,9954884
11.01,11.32,10.99,11.06,10.47,8891270
11.13,11.15,10.4,10.47,9.9,10099716
10.41,10.73,10.3,10.48,9.91,8636133
10.56,10.69,10.43,10.5,9.93,5918511
10.34,10.58,10.11,10.48,9.91,7700931
10.56,10.56,10.33,10.5,9.93,6472960
10.85,11.06,10.78,10.93,10.34,6137652
11.01,11.01,10.73,10.79,10.21,4940837
10.89,11.06,10.87,11.06,10.46,5562960
11.15,11.48,11.06,11.47,10.85,9547001
11.35,11.44,11.18,11.26,10.84,5755794
11.4,11.57,11.38,11.47,11.04,4898108
11.36,11.52,11.33,11.43,11.0,4472600
11.38,11.43,10.83,10.9,10.5,6431243
11.1,11.19,10.98,11.04,10.63,6158903
11.18,11.29,11.06,11.18,10.76,6081096
11.1,11.27,11.06,11.27,10.85,6615083
11.28,11.56,11.22,11.53,11.1,8167997
11.66,11.85,11.55,11.62,11.19,7486000
11.66,11.68,11.32,11.5,11.07,6599322
11.54,11.6,11.35,11.43,11.0,5501597
11.34,11.47,11.3,11.45,11.02,3694058
11.34,11.39,11.2,11.28,10.86,4975852
11.27,11.41,11.21,11.27,10.86,4168240
11.31,11.73,11.27,11.32,10.9,10184625
11.48,11.85,11.4,11.82,11.38,7374654
11.93,12.15,11.89,11.98,11.53,5056186
11.9,12.05,11.82,12.01,11.56,3661452
12.06,12.15,12.02,12.1,11.65,3905696
12.19,12.23,11.78,11.9,11.46,6588559
11.89,12.18,11.81,12.14,11.68,9797768
12.02,12.24,11.99,12.08,11.63,4354546
11.98,12.19,11.85,12.19,11.74,4800425
12.27,12.59,12.24,12.44,11.97,5963743
12.39,12.4,12.19,12.25,11.79,4513279
12.31,12.44,12.25,12.4,11.94,4247713
12.5,12.69,12.44,12.65,12.18,4407913
12.56,12.63,12.46,12.51,12.04,4609597
12.3,12.6,12.28,12.56,12.1,6636100
12.52,12.83,12.49,12.66,12.19,4586337
12.44,12.5,12.23,12.23,11.78,5590090
12.25,12.32,12.06,12.28,11.83,5311308
12.32,12.56,12.26,12.31,11.86,3783753
12.34,12.46,12.34,12.4,11.94,3241616
12.35,12.53,12.26,12.38,11.92,2603720
12.41,12.44,12.1,12.26,11.8,4533762
12.44,12.68,12.39,12.68,12.2,4290275
12.75,12.75,12.53,12.61,12.15,3590678
12.49,12.56,12.38,12.52,12.05,4198424
12.36,12.48,12.34,12.38,11.92,3310018
12.51,12.93,12.44,12.81,12.34,5290405
12.82,12.91,12.39,12.57,12.1,7279722
12.62,12.78,12.57,12.6,12.13,4839455
12.57,12.66,12.47,12.49,12.03,5745257
12.46,12.68,12.46,12.57,12.1,4271212
12.56,12.64,12.39,12.52,12.05,5179349
12.56,12.7,12.45,12.69,12.21,4892124
12.62,12.99,12.59,12.95,12.47,5031876
12.8,12.84,12.43,12.43,11.96,5059080
12.51,12.77,12.47,12.74,12.27,5141672
12.2,12.52,11.9,12.15,11.7,13208691
12.07,12.1,11.91,11.93,11.48,5283310
11.95,12.02,11.78,12.02,11.58,3829394
12.0,12.03,11.85,11.99,11.54,4529035
12.06,12.28,12.01,12.09,11.64,4184399
12.18,12.19,11.95,12.11,11.66,4114100
12.07,12.13,11.98,12.02,11.58,3616975
12.15,12.39,11.94,11.95,11.51,6962481
11.85,12.07,11.81,12.04,11.59,4603876
12.14,12.24,11.93,11.99,11.55,3696541
11.9,12.28,11.85,12.27,11.81,4299990
12.19,12.39,12.05,12.26,11.8,4192525
12.36,12.49,12.24,12.48,12.02,3684313
12.55,12.86,12.51,12.66,12.19,4929085
12.61,12.9,12.54,12.87,12.39,3134672
12.98,13.22,12.94,13.11,12.62,4980369
13.02,13.23,13.01,13.2,12.71,2820505
13.2,13.41,13.2,13.41,12.91,3157654
13.4,13.42,13.33,13.4,12.9,1571427
13.45,13.5,13.34,13.48,12.98,4641834
13.42,13.46,13.12,13.18,12.69,5357963
13.15,13.27,13.07,13.16,12.67,4143752
13.18,13.4,13.04,13.18,12.69,4354315
13.19,13.34,13.12,13.28,12.79,2359466
13.35,13.58,13.35,13.53,13.03,5221022
13.51,13.61,13.47,13.5,13.0,4922362
13.43,13.55,13.4,13.48,12.98,4737507
13.38,13.41,13.1,13.12,12.64,5162093
12.94,13.0,12.69,12.69,12.22,6751637
12.6,12.68,12.51,12.52,12.06,4332653
12.66,12.73,12.53,12.53,12.06,3511044
12.28,12.56,12.23,12.36,11.9,4140913
12.45,12.76,12.4,12.74,12.27,6832965
12.96,13.26,12.96,13.21,12.72,3987615
13.19,13.19,12.97,13.09,12.6,4244331
13.22,13.63,13.22,13.51,13.01,5948018
13.53,13.85,13.5,13.7,13.19,5041887
12.11,13.23,12.0,12.99,12.51,12046068
