Open,High,Low,Close,Adj Close,Volume
14.27,14.73,14.18,14.48,13.0,6379529
14.67,14.99,14.62,14.93,13.41,6522185
14.91,15.41,14.9,15.16,13.62,8036235
14.8,15.15,14.61,15.01,13.48,8073080
15.06,15.14,14.84,14.92,13.4,5900874
14.85,14.99,14.64,14.65,13.17,6880780
14.78,14.89,14.35,14.35,12.89,5222415
14.5,14.66,14.23,14.32,12.86,4490207
14.02,14.02,13.53,13.83,12.42,7579871
13.8,13.99,13.51,13.61,12.23,5069435
13.6,13.78,13.31,13.41,12.05,4061010
13.65,13.77,13.58,13.67,12.28,3562466
13.35,13.55,13.2,13.27,11.93,4811843
13.4,13.89,13.35,13.85,12.45,7140380
14.11,14.44,13.93,14.21,12.77,7450424
14.35,14.38,14.02,14.1,12.67,2887373
13.94,14.25,13.84,14.16,12.72,3185532
14.19,14.27,13.94,14.16,12.73,3573841
14.12,14.12,13.31,13.47,12.1,6921112
13.61,13.73,13.33,13.47,12.1,4952518
13.53,13.94,13.45,13.88,12.47,4672690
13.86,13.94,13.73,13.78,12.38,2728289
13.78,13.83,13.15,13.25,11.9,4945348
13.44,13.47,12.66,12.94,11.63,5655497
12.94,13.28,12.82,12.88,11.57,4125066
12.95,12.98,12.23,12.24,11.0,5994161
12.15,12.31,11.85,12.18,10.94,5780005
12.29,12.79,12.23,12.57,11.3,4108886
12.49,12.49,12.06,12.24,11.0,5594645
12.39,12.53,12.27,12.4,11.14,3228729
12.65,12.76,12.56,12.56,11.28,3007144
12.62,12.65,12.38,12.55,11.27,3887781
12.53,13.1,12.53,12.99,11.67,4306542
13.14,13.69,13.09,13.5,12.13,6028619
13.49,13.66,13.35,13.6,12.22,3406575
13.74,13.86,13.43,13.54,12.16,3826662
13.46,13.8,13.42,13.57,12.19,2935943
13.58,13.65,13.07,13.27,11.93,3911924
13.42,13.85,13.41,13.74,12.35,3577731
13.81,13.85,13.47,13.65,12.26,2823812
13.55,13.83,13.4,13.78,12.38,3289431
13.78,14.14,13.72,14.12,12.69,3742835
14.15,14.28,13.97,14.04,12.61,3654270
14.03,14.07,13.81,13.9,12.49,2667085
13.98,14.56,13.9,14.49,13.02,5114170
14.38,14.65,14.32,14.55,13.07,4004080
14.42,14.46,14.26,14.37,12.91,3422219
14.36,14.55,14.33,14.47,13.0,2714538
14.45,14.72,14.15,14.18,12.73,4469956
