Open,High,Low,Close,Adj Close,Volume
87.69,87.69,85.71,86.15,80.84,578140
86.79,87.69,85.87,87.62,82.22,451169
86.98,87.13,85.44,86.4,81.07,401340
85.0,86.39,83.42,83.64,78.48,630736
83.66,84.54,83.11,83.11,77.99,449856
82.5,83.28,81.8,81.8,76.76,411714
81.78,83.78,81.19,83.26,78.13,378122
83.9,84.91,82.87,83.12,77.99,295157
82.59,82.59,80.47,81.82,76.78,429430
81.81,82.36,78.39,79.2,74.32,573674
78.79,80.34,78.79,79.85,74.93,329644
81.42,81.83,80.5,80.83,75.85,341831
78.8,79.73,78.49,78.92,74.05,389901
79.0,81.73,78.98,81.0,76.01,538657
82.85,83.07,82.19,82.44,77.36,496733
83.33,83.62,82.06,83.4,78.26,404748
82.4,83.44,82.19,83.0,77.88,449033
83.02,83.05,81.86,82.17,77.1,426785
81.56,81.61,77.43,78.13,73.31,653995
78.9,80.1,78.53,80.08,75.14,759813
80.75,80.87,79.34,80.41,75.45,349780
80.28,80.66,79.62,80.12,75.18,410273
79.69,79.71,77.37,77.82,73.02,393845
79.07,79.07,75.45,76.08,71.39,439954
75.82,77.09,75.28,75.69,71.02,583159
75.72,76.34,73.19,73.33,68.81,668780
73.05,73.59,71.1,72.0,67.56,608090
72.14,73.72,71.84,73.0,68.5,520973
72.9,72.9,70.68,71.4,67.0,633179
71.71,73.48,71.43,73.48,68.95,575177
74.9,75.38,74.22,75.07,70.44,512507
75.1,75.49,74.35,74.85,70.23,346775
74.87,76.44,74.53,76.26,71.56,410586
76.45,77.89,76.4,77.49,72.71,346611
77.57,77.57,75.28,76.05,71.36,583473
76.98,78.0,76.86,77.55,72.77,394543
77.12,77.61,76.36,76.98,72.23,350434
76.88,77.02,74.46,75.0,70.38,417063
76.59,78.4,76.18,78.29,73.46,607911
79.45,80.11,78.13,79.7,74.79,495103
78.96,78.96,77.23,78.41,73.58,473610
78.57,80.42,78.07,80.38,75.42,465150
80.68,80.87,79.3,80.2,75.25,551769
80.19,80.19,78.83,79.34,74.45,345678
79.51,80.72,78.84,79.87,74.95,397132
79.55,79.96,79.31,79.71,74.8,373092
79.09,80.09,77.39,78.3,73.47,828773
78.37,78.97,77.42,77.61,72.82,560799
77.63,79.06,75.58,75.74,71.07,793825
76.44,76.78,75.0,76.16,71.46,821993
77.15,78.48,76.6,78.28,73.45,630983
78.17,78.17,76.54,76.92,72.18,530551
77.0,77.09,75.62,76.1,71.41,509064
76.6,76.6,74.32,74.53,69.93,750657
74.33,74.49,73.47,73.8,69.25,1269049
73.58,75.35,73.26,74.03,69.47,631739
73.53,74.74,73.0,74.56,69.96,637322
75.21,76.22,75.04,75.52,70.86,674834
75.22,75.41,73.84,74.08,69.51,512866
74.02,74.79,73.29,73.97,69.41,336908
74.63,74.88,74.07,74.07,69.5,453872
74.07,74.2,73.01,73.31,68.79,531519
72.56,73.2,71.15,73.04,68.54,622876
73.18,75.91,72.84,75.55,70.89,806956
74.45,75.21,74.12,74.42,69.83,756758
74.8,76.47,74.23,76.41,71.7,734274
77.0,77.74,76.18,76.44,71.73,697659
76.5,76.92,76.38,76.6,71.88,481529
76.85,77.5,75.75,76.39,71.68,441102
76.23,76.27,74.63,75.88,71.2,457818
77.31,77.75,76.5,77.3,72.53,525984
77.69,78.07,77.29,78.04,73.23,412925
78.04,78.1,77.15,77.79,72.99,385873
77.13,78.75,76.89,78.57,73.73,366496
79.02,80.53,78.63,79.29,74.4,547461
