Open,High,Low,Close,Adj Close,Volume
180.9,180.9,177.05,178.15,148.52,1020885
180.35,180.35,175.35,177.55,148.02,636544
176.5,178.5,176.35,178.05,148.44,599537
174.0,175.4,171.75,174.75,145.69,1079208
174.9,177.25,172.85,172.85,144.1,666031
171.85,175.0,171.55,173.05,144.27,637117
173.0,176.2,172.05,175.55,146.35,641472
177.3,180.0,176.25,177.35,147.85,759416
175.6,176.75,173.15,175.85,146.6,986660
174.95,176.35,172.05,173.3,144.48,1418462
172.65,174.45,171.2,172.0,143.39,607356
174.95,175.9,173.3,175.0,145.89,650576
171.45,172.1,168.3,169.3,141.14,986338
169.3,172.85,168.4,170.95,142.52,1016579
173.5,174.6,172.2,173.45,144.6,734340
174.45,174.65,172.7,173.4,144.56,506651
170.1,173.85,169.7,173.45,144.6,644105
174.8,175.8,173.4,175.75,146.52,685005
175.05,176.1,171.8,172.75,144.02,666728
175.05,176.85,174.4,176.85,147.44,677037
177.35,177.5,172.75,174.4,145.39,566962
173.2,173.9,171.5,172.75,144.02,664192
171.6,172.2,168.1,168.95,140.85,996818
175.6,177.8,173.5,174.3,145.31,1247629
175.0,175.65,170.1,170.65,142.27,1091022
171.9,173.15,168.9,169.35,141.18,1287542
169.35,170.6,165.0,166.05,138.43,1294133
167.35,171.3,166.4,168.8,140.73,882413
167.3,167.3,161.35,161.35,134.51,1136413
163.0,164.35,162.1,164.1,136.81,866808
167.35,170.55,166.7,169.6,141.39,753645
170.1,170.95,167.85,168.85,140.77,672751
169.2,172.7,168.6,172.5,143.81,578373
172.45,175.6,171.95,174.8,145.73,713257
175.1,175.85,173.85,175.2,146.06,808750
176.45,179.85,176.1,179.85,149.94,636781
178.3,179.3,176.65,176.85,147.44,523967
177.25,177.5,174.3,175.4,146.23,641852
177.6,180.05,176.85,178.25,148.6,618357
180.0,182.25,179.7,181.8,151.56,596117
180.25,181.9,178.35,181.55,151.35,551246
181.45,184.65,180.6,183.5,152.98,600481
184.45,185.05,181.9,183.45,152.94,622635
183.15,183.4,179.2,180.6,150.56,502974
181.0,181.45,178.8,179.75,149.85,548619
179.2,179.95,177.35,178.0,148.39,348980
178.55,179.25,176.1,178.7,148.98,553000
179.45,182.75,179.25,180.2,150.23,512151
180.35,185.8,178.15,178.25,148.6,1114390
180.9,185.1,180.1,184.65,153.94,699675
186.4,187.35,184.55,185.7,154.81,444278
185.2,185.95,184.05,185.5,154.65,565214
185.05,186.95,183.9,186.5,155.48,625476
187.0,187.15,181.05,183.25,152.77,810965
181.65,183.0,179.95,181.4,151.23,2493758
180.55,183.3,178.95,180.6,150.56,580576
179.45,180.9,177.3,180.9,150.81,490684
182.25,182.5,178.8,180.25,150.27,588330
179.15,179.6,176.4,176.65,147.27,587199
177.5,179.2,176.55,177.5,147.98,414817
178.85,180.0,178.4,179.65,149.77,479781
179.3,179.45,177.85,178.75,149.02,581731
177.05,177.15,174.5,175.8,146.56,885226
176.1,178.2,175.2,176.2,146.89,425284
174.0,174.75,172.9,173.55,144.69,684441
173.25,174.85,172.5,174.4,145.39,551041
175.1,175.5,172.4,173.1,144.31,496732
173.25,175.85,173.1,174.8,145.73,457700
174.95,176.6,173.1,175.45,146.27,508994
176.15,178.35,174.95,177.9,148.31,558265
180.25,181.85,179.4,181.85,151.6,668997
182.4,183.1,181.25,182.25,151.94,557003
182.25,182.25,180.45,181.05,150.94,448514
179.15,181.15,178.15,180.95,150.85,501248
182.35,184.9,181.75,183.3,152.81,615550
183.3,184.4,182.2,184.2,153.56,532231
185.0,185.0,181.55,182.6,152.23,559373
182.9,183.8,181.8,182.05,151.77,556681
183.2,183.3,180.05,181.0,150.9,692533
182.0,182.35,179.35,180.8,150.73,1001964
181.75,181.95,170.7,174.0,145.06,2074721
165.75,166.65,164.8,166.45,145.67,1120902
165.55,165.75,161.95,161.95,141.73,1056735
162.7,165.1,162.45,164.1,143.62,565014
163.25,163.65,162.05,162.65,142.35,677446
162.15,163.4,160.75,160.8,140.73,578239
161.0,162.4,160.6,161.75,141.56,431757
161.4,162.85,160.25,162.6,142.3,734366
163.1,164.2,161.55,163.25,142.87,507568
160.0,160.95,158.15,159.7,139.77,1084844
158.7,160.05,158.3,158.8,138.98,591311
158.1,160.2,156.8,156.95,137.36,781422
156.0,159.25,154.65,158.4,138.63,647314
159.4,160.9,158.3,158.55,138.76,498377
158.75,160.15,158.2,160.15,140.16,598670
160.15,161.4,159.0,159.0,139.15,529508
159.95,160.65,159.25,159.75,139.81,817198
160.0,162.05,158.65,160.5,140.47,532790
160.0,165.2,159.95,165.0,144.4,809246
166.5,168.15,165.4,166.85,146.02,647424
169.0,169.4,167.55,168.95,147.86,610383
168.3,169.8,167.7,169.45,148.3,438308
170.0,170.1,168.75,169.7,148.52,218459
169.7,170.2,168.2,168.85,147.77,604403
168.0,169.9,165.25,167.1,146.24,843071
166.4,166.85,161.75,163.45,143.05,914365
163.8,163.85,159.55,160.65,140.6,739201
160.85,162.1,160.45,161.65,141.47,323248
162.1,163.2,161.65,162.15,141.91,408210
161.4,161.5,159.3,160.45,140.42,497452
160.0,160.45,158.1,159.5,139.59,637303
158.55,159.05,154.6,155.4,136.0,796051
153.0,154.25,151.65,151.65,132.72,914800
150.1,151.4,148.95,149.4,130.75,960928
150.95,152.5,150.15,150.3,131.54,872273
148.55,149.6,147.45,149.15,130.53,891830
150.2,152.55,150.0,150.45,131.67,1688744
154.45,156.3,154.0,155.2,135.83,669738
155.4,156.95,154.5,156.45,136.92,601612
157.75,159.25,157.45,158.0,138.28,588973
159.25,160.85,157.9,160.8,140.73,821307
149.45,152.9,146.65,149.35,130.71,2503942
149.25,150.4,142.8,143.75,125.81,1574742
146.75,148.35,144.6,145.1,126.99,1095040
146.25,149.95,145.75,149.1,130.49,841781
148.6,150.85,147.75,150.25,131.49,742924
151.65,152.4,149.45,152.25,133.25,625569
152.3,152.4,150.05,150.5,131.71,375743
149.8,150.05,146.45,146.45,128.17,767776
144.3,145.15,140.9,141.2,123.57,1242123
141.55,144.0,141.55,142.3,124.54,699217
142.9,145.8,142.0,145.1,126.99,574977
146.0,146.35,143.85,146.35,128.08,528274
146.1,149.6,145.45,148.35,129.83,587278
148.1,149.3,148.1,148.7,130.14,618520
150.25,150.65,146.95,149.15,130.53,706099
148.95,150.35,147.15,148.2,129.7,594429
148.6,149.95,147.9,148.7,130.14,350307
148.45,148.8,146.2,146.95,128.61,502523
147.1,148.7,146.35,148.4,129.88,430082
148.7,148.9,145.75,147.05,128.69,561679
146.95,147.7,146.2,146.6,128.3,437098
147.0,148.35,145.75,147.7,129.26,381229
147.75,148.15,146.5,146.95,128.61,480028
148.15,149.15,147.25,148.65,130.09,446876
147.8,148.85,147.1,148.25,129.74,541053
149.0,150.55,148.65,149.2,130.58,623870
150.75,151.45,147.9,148.65,130.09,442610
148.55,148.9,146.35,147.7,129.26,519323
148.55,149.4,147.3,148.4,129.88,497331
149.0,149.75,148.1,148.6,130.05,472935
148.9,150.9,148.15,150.9,132.06,487386
151.6,153.25,151.3,152.6,133.55,533844
155.8,161.65,155.5,161.3,141.17,1275870
161.4,162.05,159.05,159.65,139.72,576842
160.5,160.6,158.8,160.45,140.42,378385
159.95,160.6,159.3,160.4,140.38,435721
160.95,161.2,160.05,160.05,140.07,268751
160.1,161.6,159.75,160.75,140.68,527247
161.35,161.55,158.55,158.8,138.98,375270
160.35,160.35,159.0,159.55,139.63,348815
159.8,160.05,157.05,159.1,139.24,557009
159.15,161.35,157.85,158.65,138.85,405800
159.05,161.75,159.05,161.4,141.25,379408
160.25,162.1,159.75,161.1,140.99,376100
160.25,160.75,158.85,159.9,139.94,367049
159.55,160.45,158.25,159.5,139.59,409630
158.7,159.9,157.95,159.0,139.15,247214
160.0,161.4,159.45,160.4,140.38,454930
160.55,162.85,160.35,162.05,141.82,946589
162.5,164.35,161.35,161.8,141.6,672349
162.95,164.95,161.6,164.95,144.36,546490
165.0,166.05,164.5,164.55,144.01,435687
165.0,165.6,163.35,163.65,143.22,355796
164.25,165.55,163.3,164.75,144.18,435264
164.15,165.3,162.55,165.1,144.49,589570
165.2,167.4,165.1,166.8,145.98,666199
164.15,165.35,163.25,164.15,143.66,561936
164.65,165.25,162.55,162.6,142.3,391988
163.4,163.6,161.8,161.95,141.73,377292
162.0,163.5,161.3,163.15,142.78,518351
163.3,163.8,160.65,160.65,140.6,1117693
162.05,163.85,161.3,163.8,143.35,390469
163.85,166.3,163.05,165.6,144.93,503466
167.45,170.05,167.05,167.2,146.33,693346
168.5,171.85,168.2,171.0,149.65,771195
170.5,170.95,169.65,170.45,149.17,481348
169.65,169.8,166.4,166.75,145.94,621209
168.3,168.55,164.35,165.85,145.15,547243
165.85,166.9,165.15,165.6,144.93,560034
167.35,167.95,164.1,164.6,144.05,412514
160.2,166.65,159.2,166.0,145.28,956457
166.2,166.3,163.85,165.0,144.4,732972
163.7,166.95,162.45,165.85,145.15,492854
166.95,167.15,164.0,165.1,144.49,659066
164.7,166.2,163.4,164.8,144.23,760925
164.4,168.95,163.15,168.15,147.16,716483
167.75,169.45,167.4,168.7,147.64,476069
168.6,169.3,167.3,169.1,147.99,476561
167.95,167.95,165.85,167.35,146.46,630824
168.2,171.8,168.2,171.1,149.74,592908
170.3,172.15,170.2,170.5,149.22,532256
172.05,174.25,171.45,173.95,152.24,652014
173.95,175.4,172.9,174.4,152.63,412448
174.95,176.15,173.65,175.4,153.51,495385
176.0,176.9,175.35,176.1,154.12,506615
176.5,178.95,176.25,177.7,155.52,466396
178.05,179.4,177.55,178.65,156.35,477372
178.0,179.1,177.1,177.95,155.74,530620
178.35,179.4,177.3,179.15,156.79,618428
177.75,177.8,176.2,176.45,154.42,823831
176.1,177.5,175.55,176.6,154.56,546149
177.3,177.5,174.8,175.3,153.42,517676
174.1,174.2,171.2,171.95,150.49,768112
171.75,174.55,171.4,172.7,151.14,494566
171.6,172.5,170.3,171.55,150.14,692873
174.2,175.2,173.4,174.9,153.07,589322
175.6,175.6,173.25,174.8,152.98,436258
166.5,175.05,165.55,175.05,153.2,1440194
175.9,179.95,175.65,177.9,155.69,1048038
178.5,179.75,177.55,178.35,156.09,800387
179.4,180.0,176.45,177.25,155.12,815794
175.7,175.95,172.75,175.15,153.29,835283
175.5,176.6,172.75,173.65,151.97,630058
173.1,174.85,172.85,174.85,153.02,590628
174.35,175.3,172.1,173.4,151.76,708380
173.8,175.05,172.4,173.15,151.54,440158
173.95,176.25,173.55,175.4,153.51,495156
175.1,175.55,172.95,173.85,152.15,483417
174.1,174.85,173.3,174.25,152.5,302248
174.8,174.8,173.35,173.85,152.15,321753
173.35,173.6,171.55,172.4,150.88,471243
170.9,173.25,170.45,172.9,151.32,437994
172.35,173.9,171.45,171.85,150.4,606330
171.1,172.55,169.3,169.8,148.6,663921
168.9,170.05,168.45,169.8,148.6,511894
169.2,173.5,169.2,172.05,150.57,522916
172.6,175.2,171.75,175.05,153.2,532323
175.7,177.75,175.55,177.05,154.95,577053
176.8,177.45,171.2,175.85,153.9,838049
175.5,176.2,174.3,175.1,153.24,532730
172.0,174.35,172.0,173.95,152.24,520672
174.35,176.7,174.25,175.5,153.59,530365
175.1,176.85,174.8,176.1,154.12,476692
176.0,178.25,175.7,176.15,154.16,793306
175.95,178.1,175.85,176.8,154.73,1325953
176.25,176.9,175.6,176.65,154.6,350443
176.55,178.55,176.45,178.3,156.04,368339
177.9,178.8,177.5,178.55,156.26,296049
177.65,178.65,177.5,178.15,155.91,294754
178.45,179.3,177.85,178.5,156.22,259431
178.75,179.8,178.55,179.45,157.05,167664
179.15,179.75,178.35,178.75,156.44,254219
178.1,179.05,178.1,178.75,156.44,222754
178.4,179.65,178.1,179.65,157.23,306984
178.65,180.75,178.35,180.3,157.79,273988
180.3,181.65,179.5,180.0,157.53,504381
180.15,181.2,180.1,180.75,158.19,348636
180.0,180.25,177.85,178.4,156.13,558838
177.9,179.45,177.9,178.35,156.09,527828
178.7,179.05,176.85,177.4,155.26,428845
177.7,177.95,175.9,177.65,155.47,372569
177.9,179.2,176.8,178.15,155.91,440109
177.95,178.25,176.2,176.55,154.51,489762
177.4,179.85,177.4,179.65,157.23,452562
178.9,179.3,177.85,178.85,156.52,297112
177.5,177.95,175.55,177.6,155.43,545357
177.75,178.05,176.35,176.9,154.82,470132
177.35,178.75,176.8,177.7,155.52,363658
177.65,178.15,175.3,176.0,154.03,759299
175.0,175.45,173.65,174.15,152.41,551419
174.6,175.0,173.9,174.35,152.59,444522
175.8,177.95,175.1,177.05,154.95,629687
178.65,179.5,176.2,177.2,155.08,645517
177.3,178.55,176.8,177.0,154.91,476321
176.75,177.2,174.65,175.55,153.64,506596
175.2,176.1,173.8,173.8,152.11,585070
174.95,175.6,173.15,174.65,152.85,610610
174.65,176.2,174.1,175.15,153.29,547777
174.2,178.85,174.15,177.9,155.69,611564
177.9,178.2,175.4,175.8,153.86,637668
173.25,176.35,171.65,175.0,153.16,1047688
175.3,177.3,175.1,176.65,154.6,650878
177.4,178.0,176.2,177.3,155.17,550693
178.1,178.75,177.1,178.5,156.22,604061
178.75,179.15,178.2,178.9,156.57,391019
178.85,178.9,177.7,178.55,156.26,393212
178.8,179.1,176.75,177.05,154.95,603312
177.05,178.0,176.65,177.7,155.52,456475
177.85,178.65,175.65,177.45,155.3,545391
178.0,178.7,177.85,177.95,155.74,245743
178.15,179.3,177.35,178.7,156.39,373910
179.15,180.65,178.9,180.15,157.66,569081
179.95,180.55,179.3,180.55,158.01,404962
180.45,180.8,177.0,178.15,155.91,629718
178.5,178.9,177.8,178.05,155.82,262651
178.4,178.5,176.85,178.4,156.13,509350
179.35,181.1,179.1,180.55,158.01,468266
180.25,181.55,180.05,181.4,158.76,358541
180.6,181.85,180.2,180.25,157.75,449163
180.0,181.55,179.65,180.95,158.36,428838
181.25,181.5,180.45,180.85,158.28,391208
180.5,180.85,179.1,179.4,157.01,571940
179.05,181.2,179.05,180.25,157.75,492487
180.5,181.0,179.1,179.5,157.09,480896
180.5,181.75,180.0,180.85,158.28,535184
180.55,180.75,179.05,179.35,156.96,656798
177.1,178.3,176.1,178.15,155.91,947396
180.4,180.4,177.5,178.45,156.17,742006
178.05,180.2,177.85,180.0,157.53,1085579
179.75,180.45,179.0,179.0,156.66,445381
179.0,179.4,176.8,177.3,155.17,1017664
176.55,177.85,176.25,177.0,154.91,605866
177.55,180.35,177.15,180.15,157.66,626116
179.8,179.9,178.45,178.7,156.39,529309
178.0,179.15,176.9,179.15,156.79,457927
181.1,182.1,180.3,181.75,159.06,725835
182.35,182.95,181.95,182.5,159.72,478859
183.0,184.0,182.6,183.55,160.64,555909
183.6,183.95,182.75,183.4,160.51,676589
184.4,184.5,182.75,182.75,159.94,472853
183.05,183.95,182.8,183.9,160.94,458650
183.0,184.0,182.2,183.0,160.16,469812
182.35,183.5,181.6,183.2,160.33,490340
182.65,182.95,181.75,182.75,159.94,541597
183.45,183.45,182.25,182.6,159.81,377455
182.1,182.95,180.95,182.3,159.54,592546
183.0,183.95,181.85,182.85,160.03,408127
183.0,183.05,181.9,183.0,160.16,525773
183.75,184.0,182.0,182.25,159.5,511510
182.45,182.75,181.25,181.55,158.89,521543
181.25,182.8,180.4,182.65,159.85,573957
182.6,183.7,182.3,182.4,159.63,856706
185.15,188.5,185.1,188.4,164.88,1130666
188.4,188.4,187.05,188.0,164.53,787725
188.15,189.4,187.1,189.4,165.76,1158902
180.8,181.2,177.75,177.85,163.05,1142574
177.85,178.1,175.95,175.95,161.31,721186
177.0,178.5,176.35,177.65,162.87,629618
177.55,178.2,177.0,178.2,163.37,406790
178.5,180.4,178.3,180.4,165.39,584178
179.5,180.65,178.9,180.3,165.3,564529
180.9,180.9,179.15,180.05,165.07,485277
177.1,177.95,174.75,177.2,162.46,924730
176.3,177.75,175.85,176.55,161.86,678072
176.4,176.7,174.35,175.35,160.76,623082
175.75,175.75,175.2,175.5,160.9,535847
176.15,176.35,174.45,175.0,160.44,451272
174.9,175.3,174.35,175.1,160.53,429061
174.35,175.05,171.75,172.45,158.1,550053
172.35,173.6,170.5,172.85,158.47,681408
173.2,173.85,172.2,172.35,158.01,539507
173.0,173.3,171.95,172.05,157.74,319579
171.6,173.3,171.35,172.95,158.56,462379
172.8,173.3,172.45,173.05,158.65,310400
173.65,174.35,171.75,172.95,158.56,295885
172.6,172.85,171.7,172.6,158.24,321743
172.2,175.15,172.2,174.15,159.66,322030
174.0,174.85,173.3,173.65,159.2,440829
173.9,176.8,173.5,175.75,161.13,887649
176.2,177.15,175.8,176.9,162.18,481533
178.05,179.25,177.35,177.4,162.64,503524
177.4,177.4,177.4,177.4,162.64,0
176.65,176.65,174.1,174.5,159.98,641363
174.45,175.65,173.95,174.0,159.52,448323
174.6,176.65,174.4,175.85,161.22,472421
176.1,177.7,175.5,177.3,162.55,348438
176.9,178.25,176.55,177.7,162.92,441269
178.0,178.4,177.0,177.4,162.64,473410
177.7,179.6,177.6,178.4,163.56,649928
178.4,178.45,174.6,176.05,161.4,797327
176.4,176.95,175.0,176.55,161.86,1777280
177.4,179.3,177.4,178.75,163.88,472343
179.6,180.95,178.75,178.75,163.88,514731
178.3,178.65,176.9,178.15,163.33,416645
178.05,178.15,176.75,177.75,162.96,364155
177.4,177.95,176.2,177.3,162.55,305678
178.0,179.55,177.7,178.05,163.24,348496
178.25,178.3,175.95,176.4,161.72,411171
175.6,176.6,175.1,176.35,161.68,419304
176.9,178.3,175.4,175.75,161.13,634519
176.05,178.2,175.45,176.55,161.86,773223
178.6,179.9,177.95,179.8,164.84,526868
178.8,180.65,178.4,179.7,164.75,364240
180.1,180.8,179.4,180.25,165.25,408230
180.5,181.25,179.2,179.9,164.93,616119
180.35,180.35,178.95,180.1,165.12,346820
181.0,181.5,180.2,180.75,165.71,375805
180.85,182.15,179.7,179.7,164.75,427214
180.0,180.95,179.6,180.65,165.62,493470
181.0,182.6,181.0,182.3,167.13,487880
182.55,182.55,181.0,181.8,166.67,330123
182.1,182.35,180.65,181.4,166.31,292366
181.0,181.4,178.95,180.05,165.07,444952
180.55,181.05,179.7,180.7,165.67,362107
181.5,181.5,178.5,179.65,164.7,500771
177.95,179.85,176.65,177.65,162.87,946756
178.15,178.5,176.15,178.25,163.42,478361
178.45,181.2,178.15,180.7,165.67,485718
180.5,182.3,179.6,181.5,166.4,437209
181.1,182.35,180.2,181.6,166.49,454688
180.65,181.0,179.4,180.9,165.85,523082
180.7,181.5,180.7,181.5,166.4,511475
182.25,184.55,181.05,183.95,168.65,579308
183.9,185.75,183.8,184.45,169.1,577502
183.85,184.6,183.1,184.6,169.24,561080
183.5,186.45,182.95,186.15,170.66,566156
185.95,186.65,185.7,185.95,170.48,426847
185.95,186.45,184.85,186.1,170.62,461615
184.9,187.85,180.55,181.5,166.4,997565
181.3,181.6,177.1,177.35,162.6,943959
176.1,177.05,175.15,176.3,161.63,689777
177.4,178.4,176.85,177.9,163.1,614125
178.85,178.85,177.0,177.15,162.41,346432
177.95,178.45,177.45,177.8,163.01,390067
177.35,177.35,175.7,176.4,161.72,596247
175.9,179.25,175.45,178.7,163.83,857182
177.9,178.8,176.55,176.95,162.23,349218
177.7,178.1,177.15,177.8,163.01,271783
177.8,178.6,176.65,177.25,162.5,283930
177.2,178.9,177.2,177.5,162.73,299234
177.75,178.15,176.7,176.8,162.09,317888
175.95,176.3,174.85,174.85,160.3,422759
174.0,174.1,170.55,172.25,157.92,790095
174.65,175.4,173.9,173.9,159.43,558559
174.9,175.3,172.55,173.4,158.97,1016725
174.0,174.55,173.0,173.35,158.93,504549
172.45,172.45,171.45,171.65,157.37,353994
171.8,172.0,169.2,169.35,155.26,680964
169.0,170.25,167.3,169.5,155.4,783716
170.15,170.25,167.8,168.0,154.02,743422
167.5,169.5,166.6,169.5,155.4,862042
174.45,177.65,174.1,176.4,161.72,1243755
177.0,177.15,175.6,176.7,162.0,600072
176.55,176.85,174.95,175.9,161.27,569939
173.7,177.8,173.25,176.05,161.4,1359007
176.55,176.85,175.2,175.3,160.72,1457358
176.1,176.3,174.6,174.6,160.07,426856
174.5,174.9,173.9,174.7,160.17,431437
174.05,175.05,173.65,174.25,159.75,380889
175.7,178.1,175.2,176.8,162.09,623022
176.0,178.05,175.6,178.0,163.19,516199
177.55,178.15,176.85,177.6,162.82,349282
176.0,176.8,175.7,176.15,161.49,532584
176.0,179.4,176.0,178.25,163.42,690227
179.25,180.0,178.5,179.15,164.25,514267
179.4,181.35,179.2,180.9,165.85,778321
182.0,182.1,180.3,181.2,166.12,429674
181.2,181.2,181.2,181.2,166.12,0
182.0,182.1,180.3,181.65,166.54,489621
182.0,184.4,181.2,183.85,168.55,642375
184.05,185.1,183.95,185.0,169.61,603206
185.0,185.3,184.15,184.3,168.97,329205
184.5,184.85,183.55,183.55,168.28,392095
184.5,184.6,183.2,184.25,168.92,443067
184.35,185.25,183.8,184.55,169.2,383386
184.7,185.4,184.3,184.65,169.29,325594
184.75,185.1,184.2,184.45,169.1,258006
184.3,185.0,183.95,184.2,168.88,349752
184.6,186.15,184.4,185.8,170.34,478423
185.4,186.7,183.9,186.7,171.17,819006
186.9,188.9,186.9,188.35,172.68,718398
189.0,189.0,185.8,186.05,170.57,572271
185.55,187.25,185.2,185.95,170.48,520566
186.35,187.15,185.1,186.4,170.89,512348
185.15,195.3,185.15,194.25,178.09,1670228
194.9,195.4,192.2,192.85,176.81,850842
192.65,193.35,191.7,192.05,176.07,411336
192.05,192.05,192.05,192.05,176.07,0
194.25,195.5,193.75,194.6,178.41,627288
194.85,195.7,193.75,195.45,179.19,555283
195.7,195.85,194.05,194.85,178.64,486615
194.3,196.2,194.15,195.6,179.33,385280
196.7,198.0,196.1,196.9,180.52,641021
197.25,197.35,195.4,196.3,179.97,626664
196.8,199.0,196.45,197.3,180.89,674772
197.95,198.5,194.45,195.4,179.14,859175
196.0,196.1,191.25,192.8,176.76,745192
192.0,192.45,190.4,191.0,175.11,612227
189.85,191.0,188.35,190.5,174.65,682525
191.1,191.5,190.1,190.2,174.38,398669
192.0,192.9,190.8,190.8,174.93,649586
189.45,191.25,189.0,190.1,174.28,457281
189.6,192.6,188.6,191.1,175.2,448563
191.1,191.8,188.6,188.85,173.14,539936
189.4,190.05,188.45,188.95,173.23,462736
188.85,191.1,188.35,189.6,173.83,290543
189.4,191.15,188.2,188.55,172.86,375228
188.75,190.15,188.3,189.6,173.83,413701
190.0,193.8,189.5,192.2,176.21,662030
192.15,193.5,186.95,186.95,171.4,1085656
187.5,187.9,183.55,184.45,169.1,1084093
186.95,187.5,186.4,186.5,170.98,463432
186.55,187.15,184.35,185.3,169.88,541189
183.55,185.9,182.8,185.1,169.7,592816
185.55,186.35,183.95,184.0,168.69,637444
185.5,186.6,184.45,184.8,169.43,624353
184.9,185.1,183.45,183.95,168.65,391094
183.9,185.25,183.55,185.25,169.84,362093
185.45,185.95,184.3,184.3,168.97,423858
183.75,184.9,183.2,184.25,168.92,764353
183.85,187.45,183.55,186.3,170.8,1439126
187.55,189.9,186.5,189.4,173.64,660903
189.05,189.8,186.8,186.9,171.35,486659
187.45,187.7,183.9,184.4,169.06,496535
184.6,184.7,182.6,184.15,168.83,497480
183.4,184.75,183.4,183.5,168.23,311370
183.5,184.4,182.35,182.95,167.73,256870
182.95,183.25,181.5,181.6,166.49,297405
181.5,181.65,180.4,180.75,165.71,327427
181.5,181.85,179.2,180.2,165.21,537540
180.95,182.0,179.7,181.5,166.4,520730
183.35,185.6,182.45,184.55,169.2,918868
184.7,185.65,184.1,184.75,169.38,481718
185.4,186.3,184.15,185.55,170.11,460108
185.7,186.65,185.05,186.65,171.12,487987
186.25,187.05,185.35,185.95,170.48,540801
186.8,187.95,186.05,187.05,171.49,506782
187.15,190.0,187.15,190.0,174.19,616941
190.25,190.5,189.4,190.25,174.42,436439
190.9,192.7,189.75,190.15,174.33,588363
190.15,191.75,190.0,190.55,174.7,507260
191.0,192.75,190.85,191.65,175.71,590748
191.35,193.2,191.1,192.25,176.26,606178
193.3,193.35,191.7,192.1,176.12,415265
193.15,194.25,192.15,192.8,176.76,619981
192.55,193.85,191.6,191.75,175.8,572579
191.2,193.35,190.15,191.5,175.57,611108
191.05,192.4,190.3,191.05,175.16,520067
191.55,192.5,190.7,191.8,175.84,411343
190.95,192.25,190.65,190.85,174.97,599204
191.0,191.2,189.55,189.55,173.78,615381
190.8,191.1,187.6,189.2,173.46,763895
188.35,190.6,187.55,189.45,173.69,744996
188.2,191.25,187.65,190.5,174.65,1009936
182.0,183.75,178.45,180.35,165.35,1992367
182.35,182.6,178.8,180.45,165.44,1440611
183.0,184.5,176.75,177.8,163.01,1087349
177.8,179.45,175.2,177.45,162.69,1286618
181.4,182.45,180.0,181.3,166.22,811475
180.95,181.5,180.05,180.25,165.25,521924
181.6,182.75,179.45,181.6,166.49,755882
182.65,183.75,181.85,182.75,167.55,602219
183.3,184.15,181.5,182.1,166.95,758899
183.3,184.7,182.5,182.8,167.59,445750
183.25,184.95,183.05,184.8,169.43,579880
184.4,184.7,183.0,183.85,168.55,507081
183.0,183.6,181.65,182.75,167.55,558702
183.5,184.5,182.55,183.55,168.28,407146
184.2,184.7,183.25,184.0,168.69,403361
184.5,185.7,183.9,184.45,169.1,383656
184.1,185.75,184.0,184.1,168.78,542329
183.45,184.0,181.3,182.3,167.13,663692
180.3,180.8,177.9,178.05,163.24,1030340
177.0,181.1,176.3,180.65,165.62,791125
182.5,184.15,181.9,182.2,167.04,644106
181.95,183.3,181.1,183.05,167.82,525561
