Open,High,Low,Close,Adj Close,Volume
11.39,11.39,10.84,10.88,10.19,5676324
11.2,11.22,10.84,11.11,10.4,4021303
11.14,11.27,10.9,11.16,10.46,3531979
10.84,10.98,10.51,10.86,10.17,4931613
10.95,11.14,10.64,10.64,9.96,3601153
10.64,11.15,10.62,10.95,10.25,4929338
11.42,11.44,10.97,11.03,10.33,6578085
11.21,11.75,11.16,11.43,10.7,5555114
11.3,11.44,10.98,11.35,10.62,4777796
11.42,11.44,10.73,10.82,10.14,6367162
10.86,11.15,10.77,10.91,10.22,4228638
11.19,11.98,11.14,11.86,11.11,9090735
11.55,11.63,11.06,11.11,10.4,6749691
11.13,11.86,10.95,11.78,11.04,7157518
12.03,12.3,11.78,11.98,11.22,5500735
12.05,12.27,11.86,12.04,11.28,4219311
11.84,12.91,11.75,12.8,11.99,6459994
12.85,13.03,12.6,12.88,12.06,5392785
12.85,13.26,12.71,13.03,12.2,6579422
13.2,13.33,12.64,12.87,12.05,5629644
12.94,13.06,12.52,12.8,11.98,3836820
12.7,12.77,12.17,12.3,11.52,3912819
12.27,12.56,11.95,12.29,11.51,4809305
12.57,12.85,12.28,12.7,11.89,4218965
12.61,13.06,12.36,12.83,12.02,5996230
12.85,12.88,12.05,12.16,11.39,4509088
12.16,12.32,11.5,11.62,10.88,5271150
11.7,11.86,11.23,11.26,10.54,4865554
11.01,11.07,10.48,10.76,10.07,6242917
11.07,11.51,10.93,11.41,10.69,5284585
11.77,11.99,11.6,11.91,11.16,4417414
12.0,12.07,11.52,11.8,11.05,4005653
11.82,11.92,10.11,10.34,9.68,20532905
10.34,11.01,10.2,10.57,9.9,10542949
10.7,10.72,10.24,10.3,9.64,6147853
10.49,11.19,10.49,10.88,10.18,6949812
10.65,10.73,10.26,10.31,9.65,6436212
10.32,10.32,9.98,10.16,9.52,5229290
10.32,10.53,10.28,10.38,9.72,4123511
10.47,10.82,10.43,10.66,9.99,4945368
10.6,10.65,10.31,10.54,9.87,4803679
10.53,11.19,10.49,11.18,10.47,5973241
11.19,11.26,10.73,11.22,10.51,6875575
11.19,11.48,11.14,11.31,10.6,4105866
11.39,11.48,11.1,11.3,10.58,4456826
11.06,11.35,10.92,11.29,10.57,4828224
11.0,11.54,10.69,10.79,10.1,5889569
10.72,10.98,10.59,10.68,10.0,5102209
10.55,10.97,10.44,10.44,9.78,7517929
10.58,10.85,10.35,10.79,10.1,6438442
10.84,11.11,10.78,11.06,10.35,4546749
11.05,11.06,10.69,10.71,10.03,3733315
10.76,10.9,10.59,10.61,9.94,3761832
10.65,10.81,10.43,10.7,10.02,3493046
10.75,11.18,10.74,11.01,10.31,7803490
10.89,10.89,10.53,10.62,9.95,4187001
10.55,10.95,10.55,10.84,10.15,5122242
10.93,10.95,10.69,10.77,10.09,2904397
10.75,10.92,10.66,10.85,10.16,3144352
10.9,10.97,10.6,10.8,10.11,3534833
10.89,11.45,10.88,11.39,10.66,6404236
11.38,11.48,11.28,11.38,10.65,3736648
11.22,11.47,11.19,11.35,10.62,3448428
11.5,11.84,11.4,11.69,10.95,4762531
11.52,11.52,11.02,11.13,10.42,4247723
11.24,11.35,10.73,11.02,10.32,5372239
11.02,11.09,10.84,11.07,10.37,4702271
11.22,11.72,11.19,11.65,10.91,5176927
11.65,11.94,11.51,11.88,11.12,4489662
11.85,12.07,11.58,11.78,11.03,3825919
11.91,12.07,11.78,11.94,11.18,3820378
11.94,12.06,11.83,11.98,11.22,2887292
11.98,12.19,11.92,12.13,11.36,4136998
12.07,12.09,11.55,11.97,11.21,3889066
12.1,12.56,11.99,12.53,11.73,5223559
12.4,12.57,12.1,12.54,11.74,4362429
12.56,12.99,12.35,12.68,12.0,5493017
12.6,12.91,12.49,12.78,12.09,3604853
12.74,12.78,12.38,12.49,11.82,2743648
12.59,12.73,12.32,12.4,11.73,4795306
12.4,13.47,12.25,13.18,12.47,10842935
13.13,13.13,12.64,13.01,12.31,4732858
12.8,13.35,12.77,13.05,12.34,4973653
13.02,13.05,12.63,12.8,12.11,2668474
12.72,12.77,11.98,12.02,11.38,4975065
12.04,12.1,11.57,11.59,10.96,7521088
11.65,11.92,11.58,11.79,11.16,3609283
11.74,11.96,11.53,11.88,11.24,2903881
11.92,11.97,11.53,11.57,10.95,3323366
11.65,11.94,11.63,11.86,11.22,3139847
11.85,11.97,11.24,11.44,10.83,4910421
11.69,12.52,11.62,12.22,11.56,8606804
12.1,12.44,12.02,12.35,11.69,3977795
12.2,12.4,11.64,11.81,11.18,7021231
11.71,11.77,11.52,11.7,11.07,3613963
11.66,11.69,11.35,11.38,10.76,3116588
11.51,11.63,11.36,11.49,10.87,3088472
11.52,11.54,11.25,11.32,10.71,2782250
11.32,11.47,11.25,11.4,10.79,3546202
11.57,11.72,11.51,11.67,11.04,2988144
11.65,12.07,11.61,12.02,11.38,3191609
11.98,12.06,11.88,12.0,11.36,2308805
12.03,12.19,11.98,12.03,11.39,1430824
12.02,12.11,11.72,11.77,11.13,4207524
11.76,11.79,11.31,11.42,10.81,4674715
11.44,11.74,11.41,11.57,10.95,2896153
11.98,12.42,11.95,12.12,11.47,6854963
12.1,12.65,12.09,12.62,11.94,3939579
12.7,12.98,12.66,12.91,12.22,4086718
12.85,13.4,12.85,13.27,12.56,5194800
13.31,13.5,13.22,13.31,12.59,5005886
13.19,13.2,12.82,12.86,12.17,4362157
12.7,12.74,12.42,12.48,11.81,3437103
12.39,12.39,11.8,11.85,11.21,5311394
11.91,12.27,11.85,12.1,11.45,3773275
11.82,12.01,11.74,11.95,11.31,3035830
12.02,12.68,11.99,12.43,11.76,6409507
12.77,13.15,12.69,13.12,12.42,3766302
13.1,13.4,12.98,13.15,12.45,3576170
13.23,13.53,13.1,13.39,12.67,4179820
13.56,14.19,13.52,13.8,13.05,6044190
12.06,12.87,11.88,12.49,11.82,9782913
12.48,12.6,12.07,12.13,11.48,6171386
12.57,12.98,12.53,12.7,12.02,5545002
13.0,13.28,12.87,13.28,12.57,5798976
13.23,14.31,13.07,14.19,13.43,9423755
14.27,14.57,13.89,14.4,13.63,6693591
14.43,15.03,14.43,14.91,14.11,6868298
14.81,14.94,14.33,14.52,13.74,5482227
14.35,14.71,13.82,13.99,13.24,6286282
14.25,14.82,14.19,14.61,13.83,5255299
14.6,14.91,14.55,14.89,14.09,3396877
15.13,15.42,14.94,15.12,14.31,3651228
15.09,15.35,15.04,15.26,14.44,3291166
15.18,16.06,15.15,15.94,15.09,6995699
16.15,16.49,15.74,15.74,14.9,6091946
15.65,15.9,15.51,15.64,14.8,5613878
15.69,16.06,15.68,15.78,14.94,3625966
15.76,15.88,15.52,15.56,14.73,2536979
15.65,16.04,15.42,15.66,14.82,3433044
15.69,16.03,15.69,15.85,14.99,3248696
15.78,15.97,15.69,15.8,14.95,2522420
15.83,16.0,15.64,15.77,14.93,2221148
15.75,15.98,15.61,15.93,15.07,2438745
16.03,16.17,15.85,15.89,15.04,1816943
15.95,16.26,15.76,15.76,14.91,3880087
15.78,15.98,15.73,15.9,15.05,3861012
16.0,16.12,15.13,15.31,14.48,5012153
15.24,15.3,14.85,15.05,14.24,3551532
15.15,15.26,14.91,15.19,14.37,2145859
15.24,15.49,15.24,15.34,14.52,2203576
15.39,15.56,15.03,15.07,14.27,4158915
15.1,15.42,15.06,15.41,14.58,2618388
15.4,15.69,15.35,15.61,14.78,2464116
15.55,15.56,14.98,15.05,14.24,4634495
14.35,15.65,14.25,15.65,14.81,6884141
15.63,15.82,15.25,15.46,14.63,4096256
15.5,15.57,15.36,15.37,14.54,2070950
15.21,15.35,15.1,15.22,14.4,2108098
15.25,15.25,14.71,14.8,14.0,3012843
15.05,15.16,14.81,14.94,14.13,2507217
14.95,15.0,14.44,14.51,13.73,3256628
14.47,14.77,14.42,14.6,13.82,2874688
14.68,14.73,14.5,14.6,13.82,1951746
14.55,14.77,14.35,14.68,13.89,1585592
14.69,14.72,14.52,14.65,13.86,1803072
14.63,14.9,14.55,14.78,13.99,1690859
14.68,14.77,14.52,14.71,13.92,1216308
14.77,14.94,14.69,14.75,13.96,1777823
14.71,14.77,14.54,14.66,13.88,2673967
14.71,14.83,14.16,14.23,13.47,2932347
14.31,15.1,14.3,15.03,14.22,4178942
14.95,15.3,14.91,15.22,14.4,2871648
15.22,15.35,15.1,15.15,14.34,2083260
15.1,15.24,14.77,15.19,14.38,3327605
15.16,15.31,14.97,15.18,14.36,3054376
15.1,15.25,14.84,14.9,14.1,3305087
14.51,14.65,14.27,14.65,13.86,4212905
14.7,14.79,14.42,14.51,13.73,3499264
14.6,14.8,14.48,14.73,13.93,3447732
14.7,14.75,14.52,14.61,13.83,2992929
14.61,14.61,14.3,14.35,13.58,4830452
14.43,14.83,14.43,14.77,13.98,4008138
14.8,14.85,14.6,14.6,13.81,2724962
14.71,14.78,14.41,14.51,13.73,3229972
14.65,15.15,14.61,15.1,14.28,3385697
15.09,15.09,14.74,15.01,14.2,4455038
14.86,14.89,14.61,14.73,13.94,3241261
14.9,14.93,14.38,14.53,13.75,3928296
14.54,14.94,14.34,14.94,14.13,4504194
15.15,15.75,15.14,15.35,14.53,7035939
15.03,15.35,14.82,15.34,14.51,5405744
15.64,15.7,14.97,15.27,14.45,9457453
15.1,15.15,14.7,14.71,13.92,5333376
14.8,14.86,14.35,14.46,13.68,6335270
14.5,14.54,13.31,13.4,12.68,12188294
13.49,13.57,12.96,13.36,12.64,6821732
13.35,13.65,13.26,13.6,12.86,6791968
13.72,13.86,13.47,13.59,12.86,5545822
13.48,13.52,13.27,13.39,12.67,3442785
13.44,14.24,13.43,13.95,13.21,6713302
13.95,14.03,13.82,13.84,13.09,2461596
13.99,14.39,13.94,14.25,13.48,4606709
14.24,14.49,14.11,14.23,13.47,3650044
14.31,14.31,13.98,14.18,13.42,3311493
14.17,14.22,13.9,14.05,13.29,2544552
14.05,14.27,13.97,14.0,13.25,2406870
14.02,14.18,14.02,14.09,13.33,3044113
14.05,14.36,14.05,14.31,13.54,3429647
14.27,14.37,14.14,14.2,13.44,2204963
14.11,14.22,13.94,14.13,13.37,3105599
14.02,14.56,14.02,14.46,13.68,4007862
14.52,14.94,14.21,14.24,13.48,4561225
14.14,14.2,13.75,13.75,13.01,4532784
13.77,14.2,13.65,14.11,13.36,4112676
14.08,14.12,13.84,13.94,13.2,3357515
14.13,14.26,14.06,14.08,13.32,2484966
13.95,13.99,13.56,13.58,12.85,4726206
13.3,13.65,12.95,13.48,12.75,7253532
13.55,13.62,12.52,12.68,12.0,9835272
12.57,12.6,12.05,12.33,11.67,11620666
12.7,12.8,11.86,11.9,11.27,8561619
12.2,12.4,12.07,12.22,11.56,7350620
12.46,12.64,12.19,12.23,11.57,6019809
12.23,12.27,11.91,12.01,11.36,4910733
12.03,12.1,11.68,11.74,11.11,6166814
11.8,11.86,11.65,11.86,11.23,3635853
11.95,12.17,11.89,11.95,11.31,3858432
11.96,12.07,11.84,11.87,11.23,3306474
11.89,11.93,11.69,11.72,11.09,2729939
11.76,11.84,11.6,11.77,11.14,2983088
11.51,11.76,11.35,11.65,11.03,4890857
11.72,12.05,11.64,12.02,11.37,4351743
12.04,12.1,11.86,11.86,11.22,4678293
11.88,11.89,11.56,11.61,10.99,4596487
11.51,11.73,11.48,11.6,10.98,3608508
11.56,11.8,11.5,11.74,11.11,4117626
11.8,12.48,11.78,11.92,11.28,11480986
12.09,12.09,11.56,11.6,10.98,7636984
11.69,11.72,11.03,11.15,10.56,14134483
11.18,11.3,11.14,11.19,10.59,5930404
11.55,11.6,11.38,11.57,10.95,6892849
11.55,11.63,11.29,11.38,10.77,6464437
11.34,11.48,11.12,11.39,10.78,6396820
11.35,11.37,11.02,11.18,10.58,9680691
11.2,11.33,11.14,11.31,10.71,9084871
11.34,11.48,11.31,11.4,10.79,4810477
11.4,11.55,11.38,11.52,10.9,2771786
11.5,11.61,11.48,11.59,10.96,3005157
11.56,11.67,11.48,11.6,10.98,2615376
11.59,11.65,11.54,11.58,10.96,1409605
11.59,11.69,11.57,11.68,11.05,1237269
11.65,11.81,11.61,11.68,11.05,2344731
11.65,11.72,11.59,11.69,11.06,1364048
11.69,11.81,11.6,11.81,11.18,1774842
11.95,12.19,11.85,12.09,11.44,3706107
12.16,12.27,11.98,11.98,11.34,4979070
12.0,12.04,11.82,11.85,11.22,3354236
11.85,12.0,11.84,11.98,11.34,2357164
11.94,12.02,11.8,11.8,11.17,3304833
11.85,11.98,11.73,11.8,11.17,2787562
11.81,11.9,11.6,11.81,11.18,3152845
11.94,12.3,11.9,12.23,11.57,7220067
12.23,12.65,12.2,12.44,11.77,7069116
12.51,12.51,12.26,12.44,11.78,3477907
12.44,12.99,12.38,12.67,11.99,5187701
12.69,12.74,12.64,12.7,12.02,4234291
12.8,13.03,12.66,12.8,12.11,3639119
12.8,12.85,12.65,12.72,12.03,4696243
12.73,12.86,12.68,12.75,12.07,3058368
12.69,12.78,12.61,12.72,12.03,3009109
12.72,12.89,12.59,12.78,12.1,3573233
