Open,High,Low,Close,Adj Close,Volume
71.5,71.76,70.1,70.58,66.6,4580799
71.74,71.74,70.17,71.43,67.4,2771848
73.5,73.78,71.24,72.05,67.98,3767568
69.6,71.94,69.5,71.34,67.31,4636705
71.9,72.48,71.03,71.05,67.04,4104441
70.63,72.15,70.55,71.6,67.56,2948824
73.75,74.79,73.35,74.25,70.06,5782531
74.51,74.71,73.48,73.73,69.57,3165341
72.91,73.6,71.77,73.03,68.91,4234652
72.66,73.03,70.08,70.68,66.69,5791546
70.7,71.62,70.61,71.22,67.2,2963381
72.5,72.83,71.99,72.29,68.21,3068150
70.75,71.46,70.04,70.96,66.96,4555426
70.66,72.59,70.34,71.71,67.66,3777215
72.5,72.9,69.95,72.0,67.94,5905723
72.59,73.12,72.16,72.68,68.58,3731248
71.33,72.63,70.98,72.49,68.4,2823465
72.54,73.38,71.99,73.38,69.24,2377541
73.13,73.67,70.75,71.01,67.0,3383890
71.85,73.19,71.46,73.19,69.06,3527924
73.14,73.19,72.0,73.19,69.06,2255031
72.99,73.0,71.45,71.79,67.74,2714647
71.64,71.84,70.04,70.85,66.85,3146874
71.69,71.76,69.2,69.9,65.96,3509383
69.72,70.0,67.61,67.96,64.13,4741891
67.99,68.17,65.62,65.98,62.26,4675130
66.06,66.78,65.04,66.38,62.63,4619862
66.89,67.84,66.33,67.06,63.28,3342782
66.02,66.44,64.9,64.9,61.24,4464779
64.9,65.55,64.62,65.29,61.61,3856835
66.67,67.34,66.2,67.14,63.35,2918733
67.23,67.54,66.83,67.16,63.37,2559191
68.05,68.78,67.66,68.6,64.73,3120807
68.85,69.85,68.79,69.25,65.34,2701333
69.39,69.93,68.88,69.58,65.65,3033868
70.41,70.95,70.09,70.5,66.52,2248746
69.99,70.41,69.69,69.94,65.99,1873750
69.85,69.98,67.66,68.0,64.16,3430963
68.82,70.29,68.82,69.91,65.97,2760853
70.97,71.73,69.96,70.24,66.28,2951315
69.4,70.03,68.83,69.94,65.99,2714983
69.75,71.34,69.58,71.13,67.12,2258781
71.81,71.81,70.7,71.17,67.15,2232011
71.62,71.62,69.33,69.56,65.63,2586686
69.57,70.73,69.36,69.89,65.95,2123312
69.81,70.14,69.43,69.57,65.64,1535206
69.0,69.56,68.21,69.38,65.46,2231446
69.8,70.75,69.4,69.77,65.83,2117692
69.84,72.0,68.58,68.62,64.75,4521838
69.3,70.1,68.65,69.97,66.02,2478568
70.95,71.38,70.59,71.07,67.06,1831442
70.7,71.51,70.62,71.25,67.23,1671661
71.95,71.96,71.16,71.52,67.48,2010081
71.75,71.81,69.66,70.58,66.6,2579432
70.68,71.12,70.17,71.03,67.02,7429793
70.3,71.41,70.11,70.7,66.71,1860027
70.05,71.07,69.47,71.07,67.06,1757447
71.47,72.16,70.96,71.45,67.42,2023754
70.9,71.3,70.66,70.84,66.84,1816078
71.33,71.44,70.12,70.83,66.83,2179586
71.2,71.64,71.05,71.16,67.14,1839833
70.8,71.3,70.69,71.1,67.09,2072473
69.98,70.32,68.87,70.07,66.12,3143895
69.51,70.59,69.3,70.04,66.09,2009513
68.73,69.19,68.44,68.78,64.9,2718738
68.64,69.27,68.0,69.12,65.22,2520939
69.51,69.71,67.86,68.19,64.34,2375557
67.71,68.43,67.3,67.51,63.7,2958435
66.8,68.53,65.76,67.42,63.62,4643454
68.23,68.62,67.35,68.45,64.59,2872830
69.37,69.88,68.81,69.38,65.46,3146786
69.68,70.27,69.19,69.96,66.01,2344567
69.67,70.02,69.53,69.7,65.77,7657356
69.16,70.4,69.11,70.05,66.1,1728884
70.46,71.74,70.19,71.03,67.02,2631355
71.0,71.22,70.0,71.09,67.08,2284141
72.0,72.07,70.05,71.11,67.1,2935335
71.04,72.11,70.98,71.24,67.22,2228187
71.0,71.36,70.26,70.8,66.8,1728391
70.9,71.1,69.7,70.23,66.27,1982447
70.34,71.28,70.18,71.12,67.11,1885656
70.87,70.92,69.83,70.64,66.65,2199027
69.8,69.81,68.25,68.32,64.46,3717144
68.64,69.46,68.39,68.92,65.03,1692001
68.81,68.88,67.89,67.99,64.15,2505897
68.09,68.34,67.12,67.3,63.5,2158535
67.63,67.82,67.04,67.58,63.77,1625212
67.39,67.7,66.58,67.37,63.57,2648441
67.9,69.08,67.64,68.83,64.95,2272102
69.14,69.46,68.34,68.8,64.92,2028675
68.8,68.81,68.14,68.18,64.33,1811815
68.1,69.54,67.51,68.5,64.63,3248296
67.35,68.53,67.04,68.49,65.73,2261390
69.33,69.65,68.01,68.22,65.47,2245858
67.76,69.08,67.66,68.95,66.17,1910535
68.84,69.41,68.49,68.51,65.75,1995466
68.68,69.52,68.67,69.44,66.64,2399378
