Open,High,Low,Close,Adj Close,Volume
88.09,88.09,85.21,85.53,74.45,4337692
85.5,86.35,85.0,86.07,74.92,2649739
85.51,85.78,84.45,85.73,74.62,2509210
83.68,84.61,82.75,84.09,73.2,4010217
84.75,85.66,83.33,83.51,72.69,3476413
83.33,84.56,82.97,82.97,72.22,2556242
82.89,84.62,82.4,83.45,72.64,2838871
84.51,84.81,82.8,83.13,72.36,2680331
82.5,83.84,81.53,83.28,72.49,4664144
84.23,84.3,80.74,81.7,71.12,6386879
81.6,82.28,80.7,81.33,70.79,2105070
83.04,83.3,81.92,82.26,71.6,2429840
80.41,81.28,79.52,80.3,69.9,4021162
80.49,82.39,79.92,81.53,70.97,4289638
82.92,84.1,82.66,83.24,72.46,3431176
83.91,84.4,82.78,83.41,72.6,2987481
86.2,91.25,86.2,90.6,78.86,8973061
87.35,88.75,86.61,88.47,80.1,4729790
87.74,88.76,85.97,86.53,78.35,3661124
87.35,88.18,86.32,88.18,79.84,3422573
88.8,89.06,86.47,87.45,79.18,2134405
87.11,87.65,85.21,85.99,77.86,2835756
85.6,86.0,83.84,84.81,76.79,3080750
85.99,86.23,83.99,85.14,77.09,3379028
85.04,85.95,84.17,84.55,76.55,3018033
84.71,85.37,81.92,82.55,74.74,3588737
82.83,83.47,81.24,81.99,74.24,4020364
82.56,83.8,81.97,82.25,74.47,2757279
81.09,81.15,79.23,79.23,71.74,3779881
80.0,80.67,79.74,80.65,73.02,2849213
81.78,82.77,81.0,82.23,74.45,2548968
82.51,83.09,81.78,82.15,74.38,2099949
82.61,84.72,82.5,84.48,76.49,2356556
84.86,85.68,84.19,84.89,76.86,2345669
85.34,85.53,83.95,84.55,76.55,2667868
85.08,86.58,85.0,86.43,78.26,1814546
85.87,86.37,85.01,85.01,76.97,1784673
85.11,85.18,82.09,82.49,74.69,2822922
83.7,84.98,83.08,84.12,76.17,2175466
85.2,86.93,85.05,86.31,78.15,2671351
85.52,85.7,84.43,85.46,77.38,2506597
85.51,87.16,85.26,87.16,78.92,2196281
87.61,87.83,86.35,87.32,79.06,2221440
87.5,88.28,86.98,88.06,79.73,2283667
89.0,89.89,88.24,89.84,81.34,3397181
89.41,89.54,88.76,89.28,80.84,1693246
88.61,89.92,88.3,88.7,80.31,2414531
88.81,90.25,88.67,89.55,81.08,2398931
89.02,92.01,86.86,86.86,78.65,4506042
88.17,89.4,87.96,89.13,80.7,2259951
90.3,91.38,90.0,91.17,82.55,2367389
90.72,90.85,90.16,90.53,81.97,1719146
91.07,91.7,90.4,91.46,82.81,2606964
92.0,92.28,89.38,91.34,82.7,3167935
91.5,93.06,90.69,92.72,83.95,10955155
91.92,93.12,91.29,91.99,83.29,2049541
91.07,92.71,90.63,92.71,83.94,2417196
93.02,93.33,91.9,92.42,83.68,2319189
91.75,92.15,90.78,90.9,82.3,1909539
91.31,92.05,90.69,91.52,82.87,1335876
92.04,93.93,91.83,93.33,84.5,2505149
93.0,93.69,92.85,93.15,84.34,2714659
91.75,91.98,89.76,90.81,82.22,2694007
90.8,92.28,90.17,91.44,82.79,1621114
89.62,89.75,88.85,89.18,80.75,2532592
89.13,89.9,88.41,89.83,81.34,2016945
89.75,90.34,87.78,88.08,79.75,1999705
88.55,89.69,88.53,89.25,80.81,1836759
89.01,89.96,88.15,89.39,80.94,1808471
89.45,89.98,88.42,89.81,81.32,1325264
90.88,92.2,90.88,92.2,83.48,2358170
92.42,93.14,92.09,93.04,84.24,1838093
92.65,93.17,92.38,92.77,84.0,1887230
91.58,93.47,91.56,93.11,84.31,1573663
93.25,95.44,93.18,95.39,86.37,2828006
94.94,96.42,94.9,96.22,87.12,2100002
96.2,96.7,95.34,96.54,87.41,2372355
96.79,96.97,96.11,96.29,87.18,1817854
96.0,96.17,94.35,95.44,86.41,1997071
95.53,96.13,94.39,94.78,85.82,1662032
95.01,95.48,94.5,95.3,86.29,1237065
94.79,95.09,92.83,94.27,85.36,2213264
93.28,93.64,91.12,91.12,82.5,3481196
91.42,91.78,91.03,91.32,82.68,1420672
90.94,91.05,89.92,89.96,81.45,2395778
91.74,91.93,90.34,91.21,82.58,3183439
91.71,92.31,90.96,91.91,83.22,1964853
91.21,92.91,91.01,92.67,83.91,2826715
93.07,93.97,92.32,93.03,84.23,1791235
93.79,94.45,93.59,94.41,85.48,2143978
94.2,94.79,93.76,94.33,85.41,1895387
93.4,94.85,92.91,93.24,84.42,2597166
92.1,93.94,91.89,93.6,84.75,1959164
93.75,94.81,92.97,93.23,84.41,2265053
92.42,93.76,92.42,93.72,84.86,1578166
93.48,93.57,92.35,92.76,83.99,1839547
93.35,94.16,93.3,94.0,85.11,2316865
94.28,94.74,93.02,93.48,84.64,1996720
93.0,95.25,92.7,95.09,86.1,2071825
96.0,97.34,95.63,97.12,87.94,2363549
97.13,97.95,97.01,97.7,88.46,2024943
97.44,98.69,97.25,98.69,89.36,2243288
98.58,98.69,97.8,98.35,89.05,1138656
98.18,98.47,96.69,96.79,87.64,4615456
96.63,97.5,96.31,96.98,87.81,1815533
96.73,97.32,96.16,96.45,87.33,1487993
96.59,97.04,94.56,95.29,86.28,1892241
95.0,96.07,95.0,95.72,86.67,973311
96.39,97.95,96.39,97.36,88.15,1879746
