Open,High,Low,Close,Adj Close,Volume
17.83,17.83,17.41,17.57,17.01,2535091
17.73,17.85,17.36,17.72,17.16,1842440
17.67,17.67,17.05,17.37,16.82,2056390
16.85,16.92,16.47,16.75,16.22,2955234
16.85,17.1,16.36,16.36,15.85,2472544
16.3,16.72,16.18,16.18,15.67,1895610
16.16,16.42,15.95,16.09,15.58,3346019
16.28,16.47,15.87,15.94,15.44,2309971
15.85,16.03,15.3,15.88,15.38,4751478
15.81,15.97,15.11,15.24,14.76,3522932
15.26,15.52,15.03,15.11,14.63,2631221
15.48,15.73,15.12,15.19,14.71,3085627
14.9,14.97,14.59,14.66,14.2,3355098
14.65,15.15,14.45,15.13,14.65,3168878
15.44,15.44,14.94,15.02,14.55,3720157
15.2,15.22,14.85,14.97,14.5,2545697
14.73,15.39,14.49,15.35,14.87,2513468
15.31,15.4,14.82,15.02,14.55,2874746
14.87,15.1,14.57,14.71,14.25,4160624
14.94,15.02,14.12,14.23,13.79,5715185
14.18,14.22,13.85,14.2,13.9,3855972
14.17,14.19,13.22,13.35,13.07,4476310
13.29,13.74,13.02,13.47,13.18,5012509
13.73,14.36,13.47,14.16,13.87,6307071
14.0,14.26,13.69,13.95,13.66,5213984
14.08,14.2,13.23,13.32,13.04,4046181
13.34,13.41,12.59,12.84,12.57,5054368
12.92,13.51,12.82,13.22,12.94,4093561
13.05,13.17,12.56,12.9,12.63,3353958
13.0,14.02,12.77,14.02,13.72,6573135
14.2,14.27,13.76,14.01,13.71,4896417
14.09,14.2,13.44,13.57,13.28,3993688
14.01,14.93,13.95,14.82,14.51,6043842
14.97,15.05,14.35,14.81,14.49,4617220
14.82,15.07,14.64,14.84,14.53,3324865
15.03,15.61,15.03,15.56,15.23,3612759
15.4,15.47,14.89,14.95,14.63,2802863
14.95,15.1,14.4,14.49,14.18,2908508
14.74,14.9,14.43,14.52,14.21,2359425
14.72,15.18,14.65,15.09,14.77,2341879
14.94,15.64,14.86,15.61,15.28,3095046
15.6,16.18,15.56,16.15,15.81,3289688
16.25,16.49,16.01,16.37,16.02,2505171
16.39,16.69,16.34,16.51,16.17,2530325
16.55,17.04,16.41,17.03,16.67,3365523
16.9,17.24,16.58,17.18,16.82,2540646
17.0,17.15,16.44,16.56,16.21,2441457
16.48,16.86,16.34,16.5,16.16,2303893
16.53,16.92,16.12,16.12,15.78,2999828
16.43,17.5,16.39,17.49,17.12,3929207
17.62,17.93,17.26,17.55,17.18,2666863
17.44,17.5,17.14,17.25,16.88,1639899
17.28,17.41,17.09,17.27,16.91,1480940
17.47,17.68,17.15,17.49,17.12,2606589
17.5,17.78,17.26,17.53,17.16,3644421
17.39,17.65,17.17,17.21,16.85,1869465
17.16,17.29,16.86,17.29,16.92,1274107
17.47,17.52,17.08,17.23,16.86,1659470
17.1,17.1,16.51,16.89,16.53,2277928
17.0,17.27,16.69,16.81,16.45,1378469
16.94,18.39,16.94,18.19,17.81,4580064
18.08,18.48,17.86,18.26,17.87,2766586
18.85,19.75,18.85,19.16,18.75,6261992
19.14,19.24,18.43,19.05,18.64,2779953
18.6,18.63,17.92,18.16,17.78,2772845
18.27,18.72,18.12,18.51,18.12,2916324
18.52,18.61,17.95,18.01,17.63,2189419
18.0,18.81,17.99,18.66,18.27,2186837
18.59,19.24,18.45,19.14,18.73,2062181
19.17,19.48,19.02,19.36,18.95,2493645
19.73,20.73,19.73,20.53,20.1,4835530
20.56,20.8,20.13,20.4,19.96,2711542
20.49,20.75,20.36,20.5,20.07,3318865
20.16,20.84,19.85,20.76,20.33,2072704
20.85,21.42,20.83,21.42,20.97,3112155
21.26,21.74,21.08,21.73,21.27,2979976
21.77,21.92,20.97,21.25,20.8,3078487
21.13,21.68,20.98,21.68,21.23,2364777
21.6,21.64,20.64,20.83,20.39,2804625
19.92,20.53,19.76,20.32,19.89,3822413
20.26,20.5,20.06,20.32,19.89,2001604
20.0,21.08,19.94,20.97,20.53,2986129
20.8,20.85,20.31,20.31,19.88,1954602
20.22,20.5,20.08,20.39,19.95,1262375
20.32,20.36,19.17,19.43,19.02,2863922
19.4,19.78,19.32,19.38,18.97,2143696
19.44,19.57,19.08,19.23,18.82,2065604
19.15,19.58,18.84,19.39,18.98,2769496
19.56,19.56,18.27,18.36,17.97,3765660
17.9,18.57,17.32,18.45,18.06,6365657
18.73,19.1,18.38,19.03,18.63,3575064
19.0,19.28,18.54,18.61,18.22,2129335
18.42,18.74,18.3,18.67,18.28,1975168
18.83,19.28,18.6,18.95,18.55,2553775
18.8,19.04,18.63,18.89,18.49,1470478
18.75,18.75,17.91,18.06,17.68,2881115
18.31,18.7,18.31,18.53,18.14,1710968
18.59,18.59,18.05,18.29,17.9,1588984
18.23,18.75,18.18,18.68,18.28,1922647
18.93,19.15,18.73,19.12,18.72,1808324
19.17,19.94,19.17,19.82,19.4,2421990
19.84,19.92,19.47,19.66,19.24,2169082
19.65,19.7,19.45,19.58,19.17,837360
19.6,20.01,19.57,19.78,19.37,2011728
19.9,19.95,19.43,19.59,19.18,2254370
19.58,19.91,19.58,19.72,19.3,1146412
19.78,20.24,19.6,19.75,19.34,1874469
19.67,19.94,19.56,19.64,19.22,1579582
19.75,20.22,19.75,20.0,19.58,1438218
19.86,19.97,19.66,19.84,19.42,1110788
19.84,19.89,19.3,19.49,19.07,1573094
19.38,19.38,18.41,18.41,18.02,2725473
18.13,18.25,17.62,17.76,17.38,2965257
17.67,17.82,17.38,17.4,17.03,2254976
17.5,17.93,17.39,17.74,17.36,2556531
17.81,18.28,17.64,17.86,17.48,3078586
18.08,18.53,18.0,18.5,18.11,3509002
18.87,19.04,18.74,19.04,18.64,1974202
18.9,19.09,18.83,18.86,18.47,1550770
19.0,19.14,18.77,18.93,18.53,1377703
19.1,19.92,19.03,19.89,19.47,2689132
17.31,18.7,16.95,17.42,17.06,7968501
17.6,17.74,16.83,17.0,16.64,3814186
17.3,17.69,17.14,17.54,17.17,3100724
17.8,18.08,17.65,17.91,17.53,2279126
17.9,18.1,17.53,18.01,17.63,2158824
18.15,19.27,18.13,19.01,18.61,2750672
19.01,19.17,18.28,18.3,17.91,2055784
17.97,17.97,17.01,17.09,16.73,4356162
17.0,17.22,16.59,16.92,16.56,2510915
17.1,17.42,16.93,17.0,16.64,2104898
16.91,18.13,16.85,18.09,17.71,2861452
18.8,19.39,18.69,19.26,18.85,3687711
19.2,19.75,19.17,19.69,19.27,3000738
19.62,20.08,19.35,19.35,18.95,3184959
19.64,19.95,19.56,19.79,19.37,1832667
19.79,19.83,19.56,19.74,19.32,1372359
19.7,19.97,19.57,19.78,19.37,1167347
19.73,19.73,19.24,19.37,18.96,1357942
19.47,19.67,19.07,19.65,19.23,1803152
19.73,19.9,19.5,19.61,19.2,1156496
19.55,19.67,19.37,19.5,19.09,957981
19.55,19.99,19.4,19.8,19.38,1187562
19.81,19.92,19.5,19.83,19.41,1591259
19.93,20.18,19.9,19.9,19.47,1491638
19.88,20.54,19.83,20.33,19.9,2356540
20.49,20.57,20.35,20.5,20.07,1555988
20.62,20.76,20.1,20.15,19.72,1758225
