1. open,2. high,3. low,4. close,5. volume
50.29,50.29,50.29,50.29,100.0
50.29,50.29,50.29,50.29,0.0
49.9,49.91,49.9,49.91,200.0
49.91,49.91,49.91,49.91,0.0
49.91,49.91,49.91,49.91,0.0
49.86,49.91,49.86,49.91,2600.0
49.91,49.91,49.91,49.91,0.0
49.91,49.91,49.91,49.91,0.0
48.84,49.0,48.84,49.0,8200.0
49.0,49.0,49.0,49.0,0.0
48.74,48.74,48.74,48.74,200.0
48.74,48.74,48.74,48.74,0.0
48.97,48.97,48.97,48.97,300.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
48.97,48.97,48.97,48.97,0.0
49.48,49.48,49.48,49.48,10000.0
49.48,49.48,49.48,49.48,0.0
49.55,49.55,49.55,49.55,100.0
49.17,49.19,49.05,49.07,130200.0
49.07,49.07,49.07,49.07,0.0
48.92,48.92,48.92,48.92,1500.0
49.36,49.36,49.36,49.36,200.0
49.53,49.53,49.23,49.23,900.0
49.17,49.17,49.01,49.01,1200.0
49.28,49.28,49.19,49.19,1300.0
49.19,49.19,49.19,49.19,0.0
49.3,49.3,49.3,49.3,300.0
49.72,49.74,49.67,49.67,1100.0
49.34,49.52,49.34,49.52,6400.0
49.62,50.03,49.62,49.98,2500.0
49.96,49.96,49.96,49.96,200.0
50.04,50.06,49.97,49.97,2600.0
50.12,50.16,50.12,50.16,1400.0
50.44,50.61,50.44,50.61,500.0
50.7,50.7,50.7,50.7,400.0
50.57,50.58,50.56,50.58,800.0
50.62,50.79,50.62,50.77,900.0
50.52,50.61,50.52,50.61,800.0
50.53,50.55,50.52,50.52,900.0
50.72,50.72,50.72,50.72,500.0
50.75,50.75,50.75,50.75,100.0
50.75,50.75,50.75,50.75,0.0
50.48,50.48,50.48,50.48,4000.0
50.48,50.48,50.48,50.48,0.0
50.47,50.47,50.42,50.42,800.0
50.28,50.42,50.28,50.28,1600.0
50.49,50.49,50.49,50.49,200.0
50.57,50.57,50.35,50.38,400.0
50.63,50.96,50.63,50.81,13500.0
50.6,50.6,50.561,50.6,300.0
50.58,50.58,50.56,50.56,400.0
50.86,50.86,50.72,50.72,500.0
50.73,50.73,50.54,50.56,9100.0
50.75,50.75,50.75,50.75,800.0
50.97,51.07,50.97,51.07,1100.0
51.31,51.31,51.25,51.25,200.0
51.42,51.42,51.42,51.42,100.0
51.35,51.35,51.31,51.31,1100.0
51.55,51.55,51.544,51.544,700.0
51.38,52.19,51.38,52.02,3400.0
51.29,51.37,51.2,51.33,3600.0
51.48,51.66,51.48,51.64,48800.0
51.75,51.75,51.58,51.58,5100.0
51.9,52.0,51.9,51.994,700.0
52.28,52.71,52.28,52.61,11100.0
52.46,52.47,52.46,52.47,2100.0
52.53,52.53,52.26,52.26,2100.0
52.4,52.4,51.93,51.93,3800.0
52.28,52.42,52.08,52.08,2200.0
51.99,51.99,51.98,51.99,700.0
51.99,51.99,51.99,51.99,0.0
51.24,51.47,49.24,51.47,25300.0
51.24,51.24,50.6901,50.6901,1200.0
51.0,51.14,50.6,51.14,2200.0
50.94,51.2,50.94,51.2,6100.0
51.2,51.2,51.2,51.2,0.0
50.88,50.92,50.88,50.92,2200.0
51.23,51.32,51.21,51.32,2300.0
51.43,51.55,51.27,51.48,1700.0
51.44,51.54,51.2,51.54,7900.0
51.2,51.52,51.2,51.52,4000.0
51.67,51.67,51.45,51.46,4200.0
51.46,51.46,51.46,51.46,0.0
51.46,51.46,51.46,51.46,0.0
51.18,51.18,51.18,51.18,1000.0
51.18,51.18,51.18,51.18,0.0
50.89,50.99,50.85,50.99,4200.0
50.85,50.95,50.82,50.95,2500.0
50.95,50.95,50.95,50.95,0.0
50.79,50.87,50.66,50.87,1300.0
50.96,50.96,50.92,50.95,1400.0
51.1,51.5,51.1,51.5,2300.0
51.62,51.62,51.55,51.55,200.0
52.0,52.0,52.0,52.0,200.0
52.2399,52.2399,52.11,52.11,1400.0
52.19,52.22,52.19,52.22,1000.0
52.5901,52.65,52.55,52.65,2800.0
52.65,52.65,52.65,52.65,0.0
52.41,52.42,52.41,52.42,1000.0
52.44,52.44,52.44,52.44,900.0
52.46,52.55,52.46,52.55,600.0
52.14,52.3,52.14,52.3,300.0
52.47,52.49,52.4599,52.49,2300.0
52.49,52.49,52.49,52.49,0.0
52.73,52.73,52.55,52.64,1780.0
52.31,52.4701,52.31,52.38,3300.0
52.39,52.4,52.39,52.4,300.0
52.44,52.44,52.44,52.44,500.0
52.64,52.81,52.64,52.81,1700.0
52.81,52.81,52.81,52.81,0.0
52.88,52.88,52.88,52.88,10000.0
52.99,53.0,52.75,52.87,136400.0
52.95,52.95,52.9399,52.95,7600.0
53.35,53.35,53.35,53.35,200.0
53.52,53.81,53.34,53.81,9900.0
53.64,53.7,53.5,53.55,1900.0
53.77,53.85,53.77,53.8192,800.0
54.25,54.25,53.88,53.88,9000.0
54.1,55.12,54.1,55.06,2700.0
54.81,54.81,54.15,54.25,4700.0
54.0,54.19,53.9,53.9,4100.0
54.32,54.75,54.32,54.75,5800.0
54.12,54.13,54.12,54.13,4800.0
54.35,54.53,54.25,54.43,13900.0
54.55,54.55,54.27,54.27,300.0
54.24,54.27,54.02,54.02,2900.0
53.59,53.76,53.51,53.62,12400.0
52.99,53.25,52.99,53.01,7000.0
53.0,53.01,52.91,52.91,8800.0
53.31,53.31,53.1,53.31,300.0
53.19,53.4,52.84,53.39,8600.0
52.94,52.9832,52.68,52.68,11301.0
52.55,52.62,52.5,52.5,3400.0
52.67,52.8818,52.62,52.8818,10400.0
53.12,53.12,53.12,53.12,1000.0
53.11,53.81,53.11,53.68,12200.0
53.66,53.91,53.6,53.6,3100.0
53.3,53.3,53.0601,53.0601,6400.0
52.89,52.89,52.84,52.89,500.0
52.61,52.61,52.37,52.37,1700.0
52.82,52.82,52.82,52.82,200.0
52.91,53.36,52.91,53.19,5900.0
53.36,53.68,53.36,53.65,8700.0
53.63,54.07,53.63,54.07,3800.0
53.96,54.0399,53.91,53.97,2800.0
54.32,54.32,54.26,54.26,1400.0
54.37,54.37,54.28,54.37,1200.0
54.28,54.28,54.1999,54.1999,400.0
54.55,54.66,54.48,54.48,1900.0
54.41,54.49,53.92,54.01,6200.0
54.16,54.31,54.1,54.31,1800.0
54.35,54.64,54.35,54.64,2700.0
54.99,55.14,54.8,55.01,9100.0
54.97,55.04,54.7,54.78,7300.0
55.06,55.41,54.97,55.32,70600.0
55.08,55.15,54.95,55.14,13300.0
55.6,55.66,55.1501,55.56,9200.0
56.18,56.44,55.36,55.41,32600.0
55.12,55.21,54.64,54.65,7770.0
54.89,54.89,54.51,54.89,3300.0
55.23,55.2799,55.02,55.15,11800.0
54.86,54.98,54.64,54.78,6400.0
54.57,54.76,54.43,54.57,18500.0
55.04,55.04,54.876,54.96,1600.0
55.01,55.02,54.82,54.94,2500.0
54.7699,54.7699,54.62,54.66,45500.0
55.26,55.26,55.03,55.03,1300.0
54.85,54.85,54.7,54.7,3700.0
54.04,54.7,54.04,54.04,5900.0
54.28,54.418,54.18,54.3501,10600.0
54.72,54.81,54.634,54.7001,1900.0
54.28,54.43,54.28,54.43,1600.0
54.23,54.3699,54.12,54.29,2000.0
53.65,53.7,53.4299,53.43,6245.0
53.84,53.84,53.56,53.84,3100.0
53.5,53.5,53.13,53.13,2100.0
53.19,53.3,53.17,53.23,4600.0
53.95,53.97,53.55,53.87,5200.0
54.05,54.05,54.05,54.05,200.0
53.71,53.71,53.16,53.16,5300.0
53.26,53.2701,53.16,53.2,3000.0
53.13,53.37,53.12,53.36,2700.0
54.0499,54.08,54.0,54.08,800.0
55.0,55.0,55.0,55.0,200.0
54.7099,54.71,54.54,54.71,9000.0
54.69,54.7399,54.33,54.33,1400.0
53.9199,53.99,53.82,53.99,800.0
53.97,53.97,53.94,53.95,3100.0
54.26,54.26,54.26,54.26,300.0
54.37,54.7001,54.37,54.7001,2300.0
54.1499,54.1699,54.07,54.0801,2000.0
54.42,54.7,54.42,54.7,2700.0
55.23,55.38,54.58,54.58,8600.0
55.23,55.45,55.23,55.45,600.0
55.7,55.7,55.537,55.57,500.0
55.51,55.51,55.22,55.38,2600.0
55.14,55.89,55.14,55.8601,2500.0
55.89,56.0,55.89,55.99,1300.0
55.4,55.4,55.13,55.2,3500.0
55.21,55.21,55.129,55.129,200.0
55.3,55.3,55.06,55.06,1100.0
55.06,55.06,55.06,55.06,0.0
54.9281,55.24,54.92,55.24,20000.0
55.47,55.62,55.32,55.32,1900.0
53.32,54.69,49.82,54.38,2500.0
54.47,54.61,54.47,54.61,300.0
54.72,54.72,54.47,54.47,4200.0
54.95,55.03,54.95,55.03,6200.0
55.03,55.03,55.03,55.03,0.0
54.8,54.86,54.5,54.5708,147600.0
54.75,55.05,54.75,55.05,200.0
55.1101,55.1101,54.782,54.87,5600.0
55.14,55.27,55.14,55.27,300.0
55.08,55.2201,55.0,55.0,1500.0
54.57,54.57,54.57,54.57,280.0
54.248,54.35,53.9199,53.98,38559.0
54.1,54.1,53.67,53.85,16390.0
53.58,53.8,53.34,53.8,37805.0
53.67,53.96,53.6,53.96,5800.0
54.15,54.17,54.15,54.17,5500.0
53.95,53.95,53.85,53.859,13409.0
53.65,53.69,53.57,53.58,2600.0
53.35,53.48,53.3,53.3,1625.0
53.25,53.41,53.25,53.41,4200.0
53.86,53.866,53.66,53.66,7860.0
53.73,53.99,52.521,53.99,29845.0
54.18,54.24,53.84,53.85,1960.0
53.42,53.472,53.25,53.26,1320.0
53.33,53.33,53.31,53.31,719.0
53.2,53.2,53.02,53.02,450.0
53.0,53.08,52.9576,53.08,2605.0
53.35,53.58,53.35,53.58,500.0
53.8318,53.8318,53.73,53.73,599.0
53.97,54.08,53.97,54.064,1463.0
53.31,53.31,53.233,53.233,1600.0
53.23,53.24,53.03,53.03,5025.0
53.2,53.2299,53.2,53.2299,740.0
53.483,53.49,53.46,53.4699,500.0
53.3101,53.48,53.31,53.48,1200.0
53.81,53.81,53.81,53.81,100.0
53.66,53.772,53.58,53.76,8615.0
53.4,53.4,53.1792,53.1792,1130.0
53.46,54.05,53.36,54.05,932.0
