Open,High,Low,Close,Adj Close,Volume
27.69,27.95,27.2,27.6,24.33,2015731
28.07,28.15,27.6,27.79,24.49,1151990
27.63,27.65,27.01,27.22,23.99,1384557
26.7,26.94,26.18,26.7,23.54,2185327
26.72,26.93,26.28,26.28,23.16,1270058
26.25,26.9,26.15,26.39,23.25,1633429
26.4,27.27,26.25,26.72,23.55,1255019
26.94,27.18,26.58,26.6,23.45,1087297
26.49,26.6,26.01,26.1,23.0,1628553
26.0,26.2,25.15,25.42,22.4,2030465
25.41,25.82,25.32,25.39,22.38,1229118
25.88,26.06,25.78,26.0,22.92,1501407
25.43,25.7,24.92,24.99,22.03,1886188
25.03,26.01,24.95,25.94,22.86,2139258
26.4,27.88,26.4,27.37,24.12,2991199
27.36,27.75,27.2,27.63,24.35,1338363
27.24,27.43,26.83,27.35,24.11,1883965
27.48,27.7,26.88,27.07,23.86,1177910
26.94,27.37,26.78,26.83,23.65,1081138
27.15,28.11,27.03,28.01,24.69,1952066
27.99,28.11,27.7,28.03,24.7,1123352
27.98,28.26,27.88,28.2,24.85,1371414
28.25,28.28,27.59,28.0,24.68,1287460
28.47,28.62,27.8,27.83,24.52,1430653
27.81,27.92,26.89,26.89,23.7,1456981
27.0,27.1,25.5,25.64,22.6,1715069
25.53,25.72,25.09,25.6,22.56,1864722
25.74,27.25,25.69,26.85,23.67,2203461
26.55,26.82,26.21,26.21,23.1,1609710
26.33,26.61,26.25,26.49,23.35,1125532
27.17,27.34,26.94,27.12,23.9,1080560
27.24,27.25,26.62,26.74,23.57,1198725
26.78,27.54,26.78,27.5,24.24,866609
27.55,27.92,27.5,27.75,24.45,1015260
27.79,28.3,27.66,28.26,24.91,1183192
28.5,28.84,28.5,28.73,25.32,679241
28.58,28.74,28.42,28.48,25.1,769249
28.41,28.59,27.44,27.55,24.28,1012295
27.98,28.38,27.94,28.24,24.89,837418
28.53,28.78,28.25,28.37,25.0,634641
28.25,28.78,27.85,28.72,25.31,1457279
28.82,29.39,28.56,29.18,25.72,1473383
29.31,29.57,28.78,29.0,25.56,1369722
29.3,29.47,28.92,29.2,25.74,1252002
29.41,29.69,29.06,29.24,25.77,1033528
29.1,29.34,28.98,29.17,25.71,684896
29.06,29.15,28.56,29.0,25.56,1027519
29.1,29.46,28.86,28.95,25.52,1181765
28.93,30.09,28.89,29.15,25.69,2020846
29.53,30.27,29.41,30.26,26.67,1549151
30.57,30.85,30.4,30.85,27.19,1562237
30.76,30.98,30.73,30.93,27.26,1467075
31.0,31.57,31.0,31.5,27.76,1113338
31.69,32.12,31.32,32.12,28.31,1458210
32.08,32.31,30.99,31.28,27.57,3157162
31.07,31.7,31.0,31.45,27.72,856947
31.24,31.24,30.72,31.2,27.5,1259021
31.5,31.7,31.15,31.31,27.59,1231939
31.23,31.26,30.7,30.7,27.06,1281653
30.84,31.44,30.8,31.44,27.71,1125162
31.61,31.88,31.55,31.76,27.99,1490903
31.7,31.82,31.37,31.62,27.87,1198920
31.34,31.74,31.25,31.35,27.64,1729349
31.2,31.65,31.08,31.45,27.72,976513
31.01,31.68,31.01,31.44,27.71,1173489
31.6,31.85,31.39,31.81,28.04,900588
31.88,32.1,31.71,31.86,28.08,1187161
31.94,32.24,31.85,32.17,28.35,1183139
32.08,32.5,31.76,32.31,28.47,1088077
32.29,32.29,31.51,31.51,27.78,1458721
31.93,31.93,31.28,31.43,27.71,1514398
31.6,31.67,30.84,30.95,27.28,1326405
30.96,31.08,30.71,31.01,27.34,1251408
30.76,31.12,30.75,30.94,27.27,802720
31.16,31.18,30.9,30.98,27.3,1535018
30.91,31.08,30.64,30.64,27.0,1187359
30.63,30.69,29.62,29.67,26.15,2092811
29.69,29.82,29.34,29.4,25.91,1386675
29.52,29.82,29.4,29.45,25.96,1322222
29.62,29.88,29.42,29.58,26.08,1127156
29.71,29.82,29.49,29.6,26.09,883436
29.54,29.86,29.3,29.83,26.3,808191
29.48,29.81,29.39,29.39,25.9,1172497
29.32,29.83,29.32,29.81,26.27,776199
29.68,29.74,29.29,29.45,25.96,985782
29.4,29.62,29.28,29.36,25.88,841175
29.38,29.81,29.38,29.69,26.17,850053
29.58,29.75,29.48,29.63,26.11,836762
29.78,30.68,29.75,30.32,26.72,1443099
30.5,30.68,30.14,30.21,26.63,729476
30.23,30.39,30.05,30.39,26.78,1007474
30.78,30.78,29.92,30.15,26.57,1748970
29.35,30.01,29.24,29.98,27.27,1816079
30.27,30.56,30.0,30.08,27.36,1055153
29.9,30.42,29.7,30.4,27.66,1413214
30.39,30.39,29.88,29.9,27.2,900863
30.1,30.38,30.0,30.26,27.53,973571
30.42,30.47,30.1,30.17,27.44,973691
30.02,30.75,29.9,30.72,27.95,1068301
31.0,31.03,30.5,30.66,27.89,994469
30.6,30.94,30.58,30.94,28.15,662280
30.84,31.14,30.72,31.1,28.29,796104
31.08,31.33,31.05,31.19,28.38,441713
31.19,31.25,30.8,30.81,28.02,1549370
30.86,31.08,30.68,31.08,28.27,1082838
31.12,31.12,30.58,30.9,28.11,824835
30.99,31.54,30.88,31.25,28.43,962066
31.23,31.55,30.98,31.33,28.5,670020
31.42,31.96,31.36,31.96,29.07,1337885
31.88,32.25,31.82,32.12,29.22,1261282
32.1,32.38,31.85,32.21,29.3,967471
32.0,32.13,31.37,31.42,28.58,973891
31.01,31.24,30.93,30.97,28.17,981724
30.88,31.08,30.34,30.41,27.66,1214978
30.62,30.76,30.25,30.56,27.8,1035690
30.2,30.8,30.2,30.62,27.86,1357826
30.77,30.83,30.36,30.5,27.74,1562416
31.0,31.45,30.95,31.43,28.59,910352
31.3,31.56,31.28,31.36,28.53,1030746
31.51,32.02,31.44,31.78,28.91,1015340
31.88,32.65,31.59,31.8,28.92,1381650
30.0,31.9,29.75,31.5,28.66,2749505
32.48,32.78,32.02,32.24,29.33,2603749
32.9,33.1,32.03,32.14,29.24,1798619
32.44,32.73,32.31,32.69,29.73,1401655
32.65,33.03,32.53,32.75,29.79,2133948
33.0,33.08,32.57,32.62,29.67,1612221
32.71,32.88,32.29,32.56,29.62,1026686
32.48,32.62,32.24,32.56,29.63,1196301
32.33,32.63,32.24,32.28,29.36,1225076
32.48,32.52,31.83,31.92,29.03,1292532
31.76,32.67,31.7,32.6,29.66,1018836
32.53,33.15,32.47,33.0,30.02,919338
32.9,33.12,32.49,32.49,29.55,1285709
32.49,32.81,32.33,32.76,29.81,926868
33.12,33.18,32.81,33.0,30.02,1096088
33.11,33.57,32.96,33.28,30.27,1127048
33.4,33.56,33.13,33.37,30.36,823697
