Open,High,Low,Close,Adj Close,Volume
130.0,130.1,126.05,126.4,115.06,1844847
125.0,125.9,117.6,121.4,110.51,3018418
121.95,123.7,115.9,118.9,108.23,2003639
114.5,115.25,111.5,115.0,104.68,2420461
116.0,119.45,114.6,115.1,104.77,1645496
116.25,121.8,115.6,117.05,106.55,1796731
118.15,123.5,118.05,120.95,110.1,1612308
122.0,124.4,119.85,120.5,109.69,1732562
119.5,120.0,113.25,116.0,105.59,2349159
115.85,117.1,109.9,111.9,101.86,2367963
112.0,115.0,109.95,110.35,100.45,1420484
112.7,112.9,109.1,110.1,100.22,1405081
106.8,108.3,103.5,104.6,95.21,2112559
104.65,111.0,104.05,110.4,100.49,1896825
113.05,114.45,111.05,112.95,102.81,1726174
113.55,114.0,110.45,110.75,100.81,1094066
108.45,112.65,107.75,112.3,102.22,1151221
112.4,113.5,110.4,111.85,101.81,979171
111.35,112.5,108.1,108.65,98.9,1373800
110.9,111.2,105.9,106.9,97.31,1564656
107.35,107.4,104.0,105.9,96.4,1257806
106.0,106.2,103.55,103.8,94.49,1010791
102.95,103.15,100.15,101.4,92.3,1738313
102.5,102.6,98.86,101.0,91.94,1792183
100.6,105.3,99.6,103.15,93.89,2138944
104.2,104.9,97.5,97.96,89.17,2167683
98.0,98.72,93.19,95.52,86.95,2743129
96.19,99.15,95.36,97.37,88.63,1801882
96.7,96.85,92.7,94.0,85.56,1750297
95.69,96.46,94.09,95.2,86.66,1489085
98.1,102.75,97.65,101.75,92.62,1621931
103.05,103.7,98.78,100.15,91.16,1298875
100.05,105.15,100.05,104.3,94.94,1304592
105.45,107.45,103.05,105.45,95.99,1296236
104.75,105.15,100.8,102.05,92.89,1668793
103.55,106.7,103.25,106.35,96.81,1074332
105.15,106.2,102.95,103.3,94.03,879449
103.2,103.8,97.01,98.5,89.66,1950777
100.25,100.8,97.94,99.0,90.12,1197697
100.05,104.5,99.76,103.6,94.3,1534649
101.8,107.7,100.9,107.7,98.04,2007050
108.0,112.95,107.85,112.6,102.5,2139373
114.0,116.15,113.25,115.7,105.32,1640446
115.2,117.9,112.1,116.15,105.73,1445152
116.1,122.4,116.0,121.0,110.14,2076333
118.6,120.0,114.25,117.15,106.64,1599116
115.7,116.4,111.25,112.3,102.22,1651253
110.0,114.05,107.75,113.25,103.09,1800482
112.7,115.9,108.85,108.85,99.08,2138863
111.25,114.35,110.35,113.7,103.5,1264045
115.3,118.0,115.1,115.6,105.23,1075279
113.25,114.6,111.65,113.0,102.86,988407
113.35,115.65,113.15,114.65,104.36,963064
116.1,116.85,112.65,114.8,104.5,1787531
115.1,117.0,114.0,116.5,106.05,2228235
115.5,118.3,115.0,116.0,105.59,1263426
116.0,117.5,114.25,117.5,106.96,927885
117.95,118.8,116.35,117.2,106.68,984052
116.9,117.1,113.6,114.85,104.54,1099810
113.65,115.25,112.05,113.05,102.9,1011006
112.5,114.8,112.05,113.55,103.36,852998
113.1,114.35,111.65,111.85,101.81,795605
111.0,111.35,107.05,107.7,98.04,1215441
107.75,108.55,106.4,107.15,97.53,695642
105.5,105.5,102.35,102.85,93.62,1406117
103.4,104.9,101.25,103.5,94.21,1020790
104.0,104.55,101.7,102.35,93.17,921521
102.9,105.65,102.8,103.95,94.62,1008850
104.0,106.8,102.8,106.4,96.85,902091
